(3, 0, -46), [3, 0, 0], 3.23.d_a_abu 
(3, 0, 0), [3, 0, 0], 3.23.d_a_a 
(3, 0, 46), [3, 0, 0], 3.23.d_a_bu 
(3, 23, -23), [3, 0, 0], 3.23.d_x_ax 
(3, 23, 23), [3, 0, 0], 3.23.d_x_x 
(3, 23, 46), [3, 0, 0], 3.23.d_x_bu 
(3, 23, 69), [3, 0, 0], 3.23.d_x_cr 
(3, 23, 92), [3, 0, 0], 3.23.d_x_do 
(3, 23, 115), [3, 0, 0], 3.23.d_x_el 
(3, 23, 161), [3, 0, 0], 3.23.d_x_gf 
(3, 23, 184), [3, 0, 0], 3.23.d_x_hc 
(3, 23, 207), [3, 0, 0], 3.23.d_x_hz 
(3, 46, 92), [3, 0, 0], 3.23.d_bu_do 
(4, 0, -138), [4, 0, 0], 3.23.e_a_afi 
(4, 0, -46), [4, 0, 0], 3.23.e_a_abu 
(4, 0, 0), [4, 0, 0], 3.23.e_a_a 
(4, 23, -23), [4, 0, 0], 3.23.e_x_ax 
(4, 23, 23), [4, 0, 0], 3.23.e_x_x 
(4, 23, 46), [4, 0, 0], 3.23.e_x_bu 
(4, 23, 69), [4, 0, 0], 3.23.e_x_cr 
(4, 23, 92), [4, 0, 0], 3.23.e_x_do 
(4, 23, 115), [4, 0, 0], 3.23.e_x_el 
(4, 23, 138), [4, 0, 0], 3.23.e_x_fi 
(4, 23, 161), [4, 0, 0], 3.23.e_x_gf 
(4, 23, 207), [4, 0, 0], 3.23.e_x_hz 
(4, 23, 230), [4, 0, 0], 3.23.e_x_iw 
(4, 23, 253), [4, 0, 0], 3.23.e_x_jt 
(4, 46, 138), [4, 0, 0], 3.23.e_bu_fi 
(5, 0, -138), [5, 0, 0], 3.23.f_a_afi 
(5, 0, -92), [5, 0, 0], 3.23.f_a_ado 
(5, 0, -46), [5, 0, 0], 3.23.f_a_abu 
(5, 23, 23), [5, 0, 0], 3.23.f_x_x 
(5, 23, 46), [5, 0, 0], 3.23.f_x_bu 
(5, 23, 69), [5, 0, 0], 3.23.f_x_cr 
(5, 23, 92), [5, 0, 0], 3.23.f_x_do 
(5, 23, 115), [5, 0, 0], 3.23.f_x_el 
(5, 23, 138), [5, 0, 0], 3.23.f_x_fi 
(5, 23, 161), [5, 0, 0], 3.23.f_x_gf 
(5, 23, 184), [5, 0, 0], 3.23.f_x_hc 
(5, 23, 207), [5, 0, 0], 3.23.f_x_hz 
(5, 46, 138), [5, 0, 0], 3.23.f_bu_fi 
(5, 46, 184), [5, 0, 0], 3.23.f_bu_hc 
(6, 0, -92), [6, 0, 0], 3.23.g_a_ado 
