(1, 0, -75), [1, 0, 1], 3.25.b_a_acx 
(1, 0, 25), [1, 0, 1], 3.25.b_a_z 
(1, 0, 75), [1, 0, 3], 3.25.b_a_cx 
(1, 0, 125), [1, 0, 1], 3.25.b_a_ev 
(1, 0, 150), [1, 0, 2], 3.25.b_a_fu 
(1, 0, 175), [1, 0, 3], 3.25.b_a_gt 
(1, 5, 125), [1, 1, 1], 3.25.b_f_ev 
(1, 10, -125), [1, 2, 3], 3.25.b_k_aev 
(1, 10, -25), [1, 2, 3], 3.25.b_k_az 
(1, 10, 25), [1, 2, 1], 3.25.b_k_z 
(1, 10, 75), [1, 2, 3], 3.25.b_k_cx 
(1, 10, 125), [1, 2, 1], 3.25.b_k_ev 
(1, 15, -25), [1, 3, 3], 3.25.b_p_az 
(1, 15, 100), [1, 3, 0], 3.25.b_p_dw 
(1, 20, -25), [1, 0, 3], 3.25.b_u_az 
(1, 20, 25), [1, 0, 1], 3.25.b_u_z 
(1, 20, 75), [1, 0, 3], 3.25.b_u_cx 
(1, 20, 125), [1, 0, 1], 3.25.b_u_ev 
(1, 25, -50), [1, 1, 2], 3.25.b_z_aby 
(1, 30, -25), [1, 2, 3], 3.25.b_be_az 
(1, 30, 25), [1, 2, 1], 3.25.b_be_z 
(1, 30, 75), [1, 2, 3], 3.25.b_be_cx 
(1, 40, 25), [1, 0, 1], 3.25.b_bo_z 
(1, 45, 100), [1, 1, 0], 3.25.b_bt_dw 
(1, 60, 25), [1, 0, 1], 3.25.b_ci_z 
(2, -20, -125), [2, 0, 3], 3.25.c_au_aev 
(2, -20, -75), [2, 0, 1], 3.25.c_au_acx 
(2, -10, -225), [2, 2, 3], 3.25.c_ak_air 
(2, -10, -175), [2, 2, 1], 3.25.c_ak_agt 
(2, -10, -125), [2, 2, 3], 3.25.c_ak_aev 
(2, -10, -75), [2, 2, 1], 3.25.c_ak_acx 
(2, -10, 25), [2, 2, 1], 3.25.c_ak_z 
(2, -5, 25), [2, 3, 1], 3.25.c_af_z 
(2, 0, -175), [2, 0, 1], 3.25.c_a_agt 
(2, 0, -125), [2, 0, 3], 3.25.c_a_aev 
(2, 0, -100), [2, 0, 0], 3.25.c_a_adw 
(2, 0, -75), [2, 0, 1], 3.25.c_a_acx 
(2, 0, -25), [2, 0, 3], 3.25.c_a_az 
(2, 0, 25), [2, 0, 1], 3.25.c_a_z 
(2, 0, 75), [2, 0, 3], 3.25.c_a_cx 
(2, 0, 125), [2, 0, 1], 3.25.c_a_ev 
(2, 5, -50), [2, 1, 2], 3.25.c_f_aby 
(2, 5, 75), [2, 1, 3], 3.25.c_f_cx 
(2, 10, -125), [2, 2, 3], 3.25.c_k_aev 
(2, 10, -75), [2, 2, 1], 3.25.c_k_acx 
(2, 10, 25), [2, 2, 1], 3.25.c_k_z 
(2, 10, 75), [2, 2, 3], 3.25.c_k_cx 
(2, 10, 125), [2, 2, 1], 3.25.c_k_ev 
(2, 10, 175), [2, 2, 3], 3.25.c_k_gt 
(2, 20, -75), [2, 0, 1], 3.25.c_u_acx 
(2, 20, 25), [2, 0, 1], 3.25.c_u_z 
(2, 20, 75), [2, 0, 3], 3.25.c_u_cx 
(2, 20, 125), [2, 0, 1], 3.25.c_u_ev 
(2, 20, 175), [2, 0, 3], 3.25.c_u_gt 
(2, 25, 25), [2, 1, 1], 3.25.c_z_z 
(2, 25, 150), [2, 1, 2], 3.25.c_z_fu 
(2, 30, 25), [2, 2, 1], 3.25.c_be_z 
(2, 30, 75), [2, 2, 3], 3.25.c_be_cx 
(2, 30, 125), [2, 2, 1], 3.25.c_be_ev 
(2, 30, 175), [2, 2, 3], 3.25.c_be_gt 
(2, 40, 25), [2, 0, 1], 3.25.c_bo_z 
(2, 40, 75), [2, 0, 3], 3.25.c_bo_cx 
(2, 40, 125), [2, 0, 1], 3.25.c_bo_ev 
(2, 50, 75), [2, 2, 3], 3.25.c_by_cx 
(2, 50, 125), [2, 2, 1], 3.25.c_by_ev 
(2, 60, 75), [2, 0, 3], 3.25.c_ci_cx 
(3, -20, -175), [3, 0, 1], 3.25.d_au_agt 
(3, -20, -125), [3, 0, 3], 3.25.d_au_aev 
(3, -15, -125), [3, 1, 3], 3.25.d_ap_aev 
(3, -10, -250), [3, 2, 2], 3.25.d_ak_ajq 
(3, -10, -175), [3, 2, 1], 3.25.d_ak_agt 
(3, -10, -125), [3, 2, 3], 3.25.d_ak_aev 
(3, -10, -75), [3, 2, 1], 3.25.d_ak_acx 
(3, -10, -25), [3, 2, 3], 3.25.d_ak_az 
(3, -5, -75), [3, 3, 1], 3.25.d_af_acx 
(3, 0, -150), [3, 0, 2], 3.25.d_a_afu 
(3, 0, -125), [3, 0, 3], 3.25.d_a_aev 
(3, 0, -25), [3, 0, 3], 3.25.d_a_az 
(3, 0, 25), [3, 0, 1], 3.25.d_a_z 
(3, 0, 75), [3, 0, 3], 3.25.d_a_cx 
(3, 10, -75), [3, 2, 1], 3.25.d_k_acx 
(3, 10, -25), [3, 2, 3], 3.25.d_k_az 
(3, 10, 0), [3, 2, 0], 3.25.d_k_a 
