(-4, 10, -50), [0, 2, 2], 3.25.ae_k_aby 
(-4, 10, 0), [0, 2, 0], 3.25.ae_k_a 
(-4, 15, -175), [0, 3, 1], 3.25.ae_p_agt 
(-4, 15, -150), [0, 3, 2], 3.25.ae_p_afu 
(-4, 15, -125), [0, 3, 3], 3.25.ae_p_aev 
(-4, 15, -100), [0, 3, 0], 3.25.ae_p_adw 
(-4, 15, -50), [0, 3, 2], 3.25.ae_p_aby 
(-4, 15, 0), [0, 3, 0], 3.25.ae_p_a 
(-4, 15, 25), [0, 3, 1], 3.25.ae_p_z 
(-4, 20, -150), [0, 0, 2], 3.25.ae_u_afu 
(-4, 20, -100), [0, 0, 0], 3.25.ae_u_adw 
(-4, 20, -50), [0, 0, 2], 3.25.ae_u_aby 
(-4, 25, -275), [0, 1, 1], 3.25.ae_z_akp 
(-4, 25, -250), [0, 1, 2], 3.25.ae_z_ajq 
(-4, 25, -150), [0, 1, 2], 3.25.ae_z_afu 
(-4, 25, -125), [0, 1, 3], 3.25.ae_z_aev 
(-4, 25, -100), [0, 1, 0], 3.25.ae_z_adw 
(-4, 25, -75), [0, 1, 1], 3.25.ae_z_acx 
(-4, 25, -25), [0, 1, 3], 3.25.ae_z_az 
(-4, 30, -150), [0, 2, 2], 3.25.ae_be_afu 
(-4, 30, -100), [0, 2, 0], 3.25.ae_be_adw 
(-4, 30, -50), [0, 2, 2], 3.25.ae_be_aby 
(-4, 35, -250), [0, 3, 2], 3.25.ae_bj_ajq 
(-4, 35, -225), [0, 3, 3], 3.25.ae_bj_air 
(-4, 35, -125), [0, 3, 3], 3.25.ae_bj_aev 
(-4, 35, -100), [0, 3, 0], 3.25.ae_bj_adw 
(-4, 35, -50), [0, 3, 2], 3.25.ae_bj_aby 
(-4, 40, -100), [0, 0, 0], 3.25.ae_bo_adw 
(-4, 45, -175), [0, 1, 1], 3.25.ae_bt_agt 
(-4, 45, -150), [0, 1, 2], 3.25.ae_bt_afu 
(-4, 45, -100), [0, 1, 0], 3.25.ae_bt_adw 
(-4, 50, -150), [0, 2, 2], 3.25.ae_by_afu 
(-4, 55, -175), [0, 3, 1], 3.25.ae_cd_agt 
(-4, 55, -150), [0, 3, 2], 3.25.ae_cd_afu 
(-3, -20, 150), [1, 0, 2], 3.25.ad_au_fu 
(-3, -15, 75), [1, 1, 3], 3.25.ad_ap_cx 
(-3, -15, 150), [1, 1, 2], 3.25.ad_ap_fu 
(-3, -15, 175), [1, 1, 3], 3.25.ad_ap_gt 
(-3, -15, 200), [1, 1, 0], 3.25.ad_ap_hs 
(-3, -10, 50), [1, 2, 2], 3.25.ad_ak_by 
(-3, -10, 150), [1, 2, 2], 3.25.ad_ak_fu 
(-3, -10, 200), [1, 2, 0], 3.25.ad_ak_hs 
(-3, -5, 0), [1, 3, 0], 3.25.ad_af_a 
(-3, -5, 25), [1, 3, 1], 3.25.ad_af_z 
(-3, -5, 50), [1, 3, 2], 3.25.ad_af_by 
(-3, -5, 125), [1, 3, 1], 3.25.ad_af_ev 
(-3, -5, 150), [1, 3, 2], 3.25.ad_af_fu 
(-3, -5, 175), [1, 3, 3], 3.25.ad_af_gt 
(-3, 0, -50), [1, 0, 2], 3.25.ad_a_aby 
(-3, 0, 0), [1, 0, 0], 3.25.ad_a_a 
(-3, 0, 50), [1, 0, 2], 3.25.ad_a_by 
(-3, 0, 100), [1, 0, 0], 3.25.ad_a_dw 
(-3, 5, -125), [1, 1, 3], 3.25.ad_f_aev 
(-3, 5, -100), [1, 1, 0], 3.25.ad_f_adw 
(-3, 5, -75), [1, 1, 1], 3.25.ad_f_acx 
(-3, 5, -50), [1, 1, 2], 3.25.ad_f_aby 
(-3, 5, 0), [1, 1, 0], 3.25.ad_f_a 
(-3, 5, 25), [1, 1, 1], 3.25.ad_f_z 
(-3, 5, 50), [1, 1, 2], 3.25.ad_f_by 
(-3, 5, 75), [1, 1, 3], 3.25.ad_f_cx 
(-3, 5, 125), [1, 1, 1], 3.25.ad_f_ev 
(-3, 10, -100), [1, 2, 0], 3.25.ad_k_adw 
(-3, 10, -50), [1, 2, 2], 3.25.ad_k_aby 
(-3, 15, -225), [1, 3, 3], 3.25.ad_p_air 
(-3, 15, -200), [1, 3, 0], 3.25.ad_p_ahs 
(-3, 15, -175), [1, 3, 1], 3.25.ad_p_agt 
(-3, 15, -125), [1, 3, 3], 3.25.ad_p_aev 
(-3, 15, -100), [1, 3, 0], 3.25.ad_p_adw 
(-3, 15, -75), [1, 3, 1], 3.25.ad_p_acx 
(-3, 15, -50), [1, 3, 2], 3.25.ad_p_aby 
(-3, 15, 0), [1, 3, 0], 3.25.ad_p_a 
(-3, 15, 25), [1, 3, 1], 3.25.ad_p_z 
(-3, 15, 50), [1, 3, 2], 3.25.ad_p_by 
(-3, 15, 75), [1, 3, 3], 3.25.ad_p_cx 
(-3, 20, -250), [1, 0, 2], 3.25.ad_u_ajq 
(-3, 20, -200), [1, 0, 0], 3.25.ad_u_ahs 
(-3, 20, -100), [1, 0, 0], 3.25.ad_u_adw 
(-3, 20, 0), [1, 0, 0], 3.25.ad_u_a 
(-3, 20, 50), [1, 0, 2], 3.25.ad_u_by 
(-3, 25, -175), [1, 1, 1], 3.25.ad_z_agt 
(-3, 25, -125), [1, 1, 3], 3.25.ad_z_aev 
(-3, 25, -75), [1, 1, 1], 3.25.ad_z_acx 
(-3, 25, -50), [1, 1, 2], 3.25.ad_z_aby 
(-3, 25, -25), [1, 1, 3], 3.25.ad_z_az 
(-3, 30, -200), [1, 2, 0], 3.25.ad_be_ahs 
(-3, 30, -100), [1, 2, 0], 3.25.ad_be_adw 
(-3, 30, 0), [1, 2, 0], 3.25.ad_be_a 
(-3, 35, -200), [1, 3, 0], 3.25.ad_bj_ahs 
(-3, 35, -175), [1, 3, 1], 3.25.ad_bj_agt 
(-3, 35, -125), [1, 3, 3], 3.25.ad_bj_aev 
(-3, 35, -100), [1, 3, 0], 3.25.ad_bj_adw 
(-3, 35, -75), [1, 3, 1], 3.25.ad_bj_acx 
(-3, 35, -50), [1, 3, 2], 3.25.ad_bj_aby 
(-3, 40, -100), [1, 0, 0], 3.25.ad_bo_adw 
(-3, 40, -50), [1, 0, 2], 3.25.ad_bo_aby 
(-3, 45, -125), [1, 1, 3], 3.25.ad_bt_aev 
(-3, 45, -75), [1, 1, 1], 3.25.ad_bt_acx 
(-3, 55, -125), [1, 3, 3], 3.25.ad_cd_aev 
(-2, -20, 100), [2, 0, 0], 3.25.ac_au_dw 
(-2, -15, 50), [2, 1, 2], 3.25.ac_ap_by 
(-2, -15, 75), [2, 1, 3], 3.25.ac_ap_cx 
(-2, -15, 100), [2, 1, 0], 3.25.ac_ap_dw 
(-2, -15, 125), [2, 1, 1], 3.25.ac_ap_ev 
(-2, -15, 175), [2, 1, 3], 3.25.ac_ap_gt 
(-2, -10, 0), [2, 2, 0], 3.25.ac_ak_a 
(-2, -10, 50), [2, 2, 2], 3.25.ac_ak_by 
(-2, -10, 100), [2, 2, 0], 3.25.ac_ak_dw 
(-2, -10, 200), [2, 2, 0], 3.25.ac_ak_hs 
(-2, -5, -75), [2, 3, 1], 3.25.ac_af_acx 
(-2, -5, -50), [2, 3, 2], 3.25.ac_af_aby 
(-2, -5, 0), [2, 3, 0], 3.25.ac_af_a 
(-2, -5, 50), [2, 3, 2], 3.25.ac_af_by 
