(-3, 12, -80), [13, 12, 0], 3.16.ad_m_adc 
(-3, 12, -64), [13, 12, 0], 3.16.ad_m_acm 
(-3, 12, -48), [13, 12, 0], 3.16.ad_m_abw 
(-3, 12, -32), [13, 12, 0], 3.16.ad_m_abg 
(-3, 12, -16), [13, 12, 0], 3.16.ad_m_aq 
(-3, 12, 0), [13, 12, 0], 3.16.ad_m_a 
(-3, 12, 16), [13, 12, 0], 3.16.ad_m_q 
(-3, 16, -128), [13, 0, 0], 3.16.ad_q_aey 
(-3, 16, -80), [13, 0, 0], 3.16.ad_q_adc 
(-3, 16, -64), [13, 0, 0], 3.16.ad_q_acm 
(-3, 16, -48), [13, 0, 0], 3.16.ad_q_abw 
(-3, 16, -32), [13, 0, 0], 3.16.ad_q_abg 
(-3, 16, -16), [13, 0, 0], 3.16.ad_q_aq 
(-3, 20, -128), [13, 4, 0], 3.16.ad_u_aey 
(-3, 20, -112), [13, 4, 0], 3.16.ad_u_aei 
(-3, 20, -80), [13, 4, 0], 3.16.ad_u_adc 
(-3, 20, -64), [13, 4, 0], 3.16.ad_u_acm 
(-3, 20, -48), [13, 4, 0], 3.16.ad_u_abw 
(-3, 20, -32), [13, 4, 0], 3.16.ad_u_abg 
(-3, 20, -16), [13, 4, 0], 3.16.ad_u_aq 
(-3, 24, -112), [13, 8, 0], 3.16.ad_y_aei 
(-3, 24, -64), [13, 8, 0], 3.16.ad_y_acm 
(-3, 24, -48), [13, 8, 0], 3.16.ad_y_abw 
(-3, 24, -32), [13, 8, 0], 3.16.ad_y_abg 
(-3, 28, -80), [13, 12, 0], 3.16.ad_bc_adc 
(-3, 28, -48), [13, 12, 0], 3.16.ad_bc_abw 
(-3, 32, -80), [13, 0, 0], 3.16.ad_bg_adc 
(-3, 32, -64), [13, 0, 0], 3.16.ad_bg_acm 
(-3, 36, -80), [13, 4, 0], 3.16.ad_bk_adc 
(-1, -12, 16), [15, 4, 0], 3.16.ab_am_q 
(-1, -12, 32), [15, 4, 0], 3.16.ab_am_bg 
(-1, -12, 48), [15, 4, 0], 3.16.ab_am_bw 
(-1, -8, -16), [15, 8, 0], 3.16.ab_ai_aq 
(-1, -8, 0), [15, 8, 0], 3.16.ab_ai_a 
(-1, -8, 16), [15, 8, 0], 3.16.ab_ai_q 
(-1, -8, 32), [15, 8, 0], 3.16.ab_ai_bg 
(-1, -8, 48), [15, 8, 0], 3.16.ab_ai_bw 
(-1, -8, 64), [15, 8, 0], 3.16.ab_ai_cm 
(-1, -8, 80), [15, 8, 0], 3.16.ab_ai_dc 
(-1, -4, -48), [15, 12, 0], 3.16.ab_ae_abw 
(-1, -4, -16), [15, 12, 0], 3.16.ab_ae_aq 
(-1, -4, 0), [15, 12, 0], 3.16.ab_ae_a 
(-1, -4, 16), [15, 12, 0], 3.16.ab_ae_q 
(-1, -4, 32), [15, 12, 0], 3.16.ab_ae_bg 
(-1, -4, 48), [15, 12, 0], 3.16.ab_ae_bw 
(-1, -4, 64), [15, 12, 0], 3.16.ab_ae_cm 
(-1, -4, 80), [15, 12, 0], 3.16.ab_ae_dc 
(-1, -4, 96), [15, 12, 0], 3.16.ab_ae_ds 
(-1, -4, 112), [15, 12, 0], 3.16.ab_ae_ei 
(-1, 0, -80), [15, 0, 0], 3.16.ab_a_adc 
(-1, 0, -64), [15, 0, 0], 3.16.ab_a_acm 
(-1, 0, -48), [15, 0, 0], 3.16.ab_a_abw 
(-1, 0, -16), [15, 0, 0], 3.16.ab_a_aq 
(-1, 0, 0), [15, 0, 0], 3.16.ab_a_a 
(-1, 0, 32), [15, 0, 0], 3.16.ab_a_bg 
(-1, 0, 48), [15, 0, 0], 3.16.ab_a_bw 
(-1, 0, 64), [15, 0, 0], 3.16.ab_a_cm 
(-1, 0, 80), [15, 0, 0], 3.16.ab_a_dc 
(-1, 0, 96), [15, 0, 0], 3.16.ab_a_ds 
(-1, 4, -112), [15, 4, 0], 3.16.ab_e_aei 
(-1, 4, -96), [15, 4, 0], 3.16.ab_e_ads 
(-1, 4, -80), [15, 4, 0], 3.16.ab_e_adc 
(-1, 4, -64), [15, 4, 0], 3.16.ab_e_acm 
(-1, 4, -48), [15, 4, 0], 3.16.ab_e_abw 
(-1, 4, -16), [15, 4, 0], 3.16.ab_e_aq 
(-1, 4, 0), [15, 4, 0], 3.16.ab_e_a 
(-1, 4, 16), [15, 4, 0], 3.16.ab_e_q 
(-1, 4, 32), [15, 4, 0], 3.16.ab_e_bg 
(-1, 4, 48), [15, 4, 0], 3.16.ab_e_bw 
(-1, 4, 64), [15, 4, 0], 3.16.ab_e_cm 
(-1, 4, 80), [15, 4, 0], 3.16.ab_e_dc 
(-1, 8, -96), [15, 8, 0], 3.16.ab_i_ads 
(-1, 8, -80), [15, 8, 0], 3.16.ab_i_adc 
(-1, 8, -64), [15, 8, 0], 3.16.ab_i_acm 
(-1, 8, -48), [15, 8, 0], 3.16.ab_i_abw 
(-1, 8, -16), [15, 8, 0], 3.16.ab_i_aq 
(-1, 8, 0), [15, 8, 0], 3.16.ab_i_a 
(-1, 8, 16), [15, 8, 0], 3.16.ab_i_q 
