(7, 0, -114), [7, 0, 0], 3.19.h_a_aek 
(7, 19, 19), [7, 0, 0], 3.19.h_t_t 
(7, 19, 38), [7, 0, 0], 3.19.h_t_bm 
(7, 19, 57), [7, 0, 0], 3.19.h_t_cf 
(7, 38, 152), [7, 0, 0], 3.19.h_bm_fw 
(7, 38, 190), [7, 0, 0], 3.19.h_bm_hi 
(7, 38, 228), [7, 0, 0], 3.19.h_bm_iu 
(7, 57, 228), [7, 0, 0], 3.19.h_cf_iu 
(7, 57, 247), [7, 0, 0], 3.19.h_cf_jn 
(8, 19, 19), [8, 0, 0], 3.19.i_t_t 
(8, 38, 190), [8, 0, 0], 3.19.i_bm_hi 
(8, 57, 247), [8, 0, 0], 3.19.i_cf_jn 
(8, 57, 266), [8, 0, 0], 3.19.i_cf_kg 
(8, 57, 285), [8, 0, 0], 3.19.i_cf_kz 
(9, 19, -19), [9, 0, 0], 3.19.j_t_at 
(9, 38, 114), [9, 0, 0], 3.19.j_bm_ek 
(9, 38, 152), [9, 0, 0], 3.19.j_bm_fw 
(9, 57, 247), [9, 0, 0], 3.19.j_cf_jn 
(9, 57, 266), [9, 0, 0], 3.19.j_cf_kg 
(9, 57, 285), [9, 0, 0], 3.19.j_cf_kz 
(9, 57, 304), [9, 0, 0], 3.19.j_cf_ls 
(10, 38, 114), [10, 0, 0], 3.19.k_bm_ek 
(10, 57, 247), [10, 0, 0], 3.19.k_cf_jn 
(10, 57, 266), [10, 0, 0], 3.19.k_cf_kg 
(11, 38, 76), [11, 0, 0], 3.19.l_bm_cy 
(11, 57, 228), [11, 0, 0], 3.19.l_cf_iu 
(11, 76, 380), [11, 0, 0], 3.19.l_cy_oq 
(12, 95, 475), [12, 0, 0], 3.19.m_dr_sh 
(13, 95, 475), [13, 0, 0], 3.19.n_dr_sh 
(14, 95, 456), [14, 0, 0], 3.19.o_dr_ro 
(16, 133, 703), [16, 0, 0], 3.19.q_fd_bbb 
