(-10, 8, 55), [2, 0, 3], 3.25.ac_a_afu 
(-2, 0, -25), [2, 0, 3], 3.25.ac_a_by 
(-10, 8, 60), [2, 0, 0], 3.25.ac_f_ahs 
(-5, 3, -5), [3, 3, 3], 3.25.ac_f_gt 
(-5, 3, 5), [3, 3, 1], 3.25.ac_p_ev 
(5, -7, 35), [1, 1, 3], 3.25.ac_z_agt 
(-5, 3, 15), [3, 3, 3], 3.25.ac_z_cx 
(3, -5, 25), [3, 3, 1], 3.25.ac_bj_agt 
(5, -7, 45), [1, 1, 1], 3.25.ac_bj_aev 
(-5, 3, 30), [3, 3, 2], 3.25.ac_bo_a 
(5, -7, 55), [1, 1, 3], 3.25.ac_bt_acx 
(-5, 3, 45), [3, 3, 1], 3.25.ac_cd_acx 
(-10, 9, 45), [2, 1, 1], 3.25.ab_au_a 
(10, -11, 70), [2, 1, 2], 3.25.ab_ap_fu 
(-10, 9, 55), [2, 1, 3], 3.25.ab_ak_adw 
(-10, 9, 65), [2, 1, 1], 3.25.ab_a_ahs 
(-1, 0, -25), [3, 0, 3], 3.25.ab_a_z 
(-5, 4, -5), [3, 0, 3], 3.25.ab_a_ir 
(-5, 4, 10), [3, 0, 2], 3.25.ab_p_fu 
(-5, 4, 15), [3, 0, 3], 3.25.ab_u_ev 
(-5, 4, 20), [3, 0, 0], 3.25.ab_z_dw 
(5, -6, 35), [1, 2, 3], 3.25.ab_be_aev 
(5, -6, 45), [1, 2, 1], 3.25.ab_bo_acx 
(-1, 0, 50), [3, 0, 2], 3.25.ab_cx_aby 
(10, -9, 45), [2, 3, 1], 3.25.b_au_a 
(-10, 11, 70), [2, 3, 2], 3.25.b_ap_afu 
(10, -9, 55), [2, 3, 3], 3.25.b_ak_dw 
(5, -4, -5), [1, 0, 3], 3.25.b_a_air 
(1, 0, -25), [1, 0, 3], 3.25.b_a_az 
(10, -9, 65), [2, 3, 1], 3.25.b_a_hs 
(5, -4, 10), [1, 0, 2], 3.25.b_p_afu 
(5, -4, 15), [1, 0, 3], 3.25.b_u_aev 
(5, -4, 20), [1, 0, 0], 3.25.b_z_adw 
(-5, 6, 35), [3, 2, 3], 3.25.b_be_ev 
(-5, 6, 45), [3, 2, 1], 3.25.b_bo_cx 
(1, 0, 50), [1, 0, 2], 3.25.b_cx_by 
(10, -8, 35), [2, 0, 3], 3.25.c_au_aby 
(10, -8, 40), [2, 0, 0], 3.25.c_ap_a 
(2, 0, -25), [2, 0, 3], 3.25.c_a_aby 
(10, -8, 55), [2, 0, 3], 3.25.c_a_fu 
(5, -3, -5), [1, 1, 3], 3.25.c_f_agt 
(10, -8, 60), [2, 0, 0], 3.25.c_f_hs 
(5, -3, 5), [1, 1, 1], 3.25.c_p_aev 
