(2, 7, 10), [2, 3, 2], 3.25.t_gx_bpy 
(3, 6, 10), [3, 2, 2], 3.25.t_hb_brm 
(5, 6, 8), [1, 2, 0], 3.25.t_hl_btu 
(5, 7, 7), [1, 3, 3], 3.25.t_hm_btz 
(3, 7, 10), [3, 3, 2], 3.25.u_ho_buo 
(4, 6, 10), [0, 2, 2], 3.25.u_hr_bvs 
(5, 6, 9), [1, 2, 1], 3.25.u_hw_bww 
(5, 7, 8), [1, 3, 0], 3.25.u_hy_bxg 
(2, 9, 10), [2, 1, 2], 3.25.v_hv_bvi 
(3, 8, 10), [3, 0, 2], 3.25.v_ib_bxq 
(4, 7, 10), [0, 3, 2], 3.25.v_if_bze 
(5, 7, 9), [1, 3, 1], 3.25.v_ik_can 
(5, 8, 8), [1, 0, 0], 3.25.v_il_cas 
(3, 9, 10), [3, 1, 2], 3.25.w_io_cas 
(4, 8, 10), [0, 0, 2], 3.25.w_it_ccq 
(5, 8, 9), [1, 0, 1], 3.25.w_iy_cee 
(4, 9, 10), [0, 1, 2], 3.25.x_jh_cgc 
(5, 9, 9), [1, 1, 1], 3.25.x_jm_chv 
(6, 7, 10), [2, 3, 2], 3.25.x_jn_cik 
(6, 8, 10), [2, 0, 2], 3.25.y_kd_cmq 
(7, 7, 10), [3, 3, 2], 3.25.y_ke_cna 
(6, 9, 10), [2, 1, 2], 3.25.z_kt_cqw 
(7, 8, 10), [3, 0, 2], 3.25.z_kv_crq 
(7, 9, 10), [3, 1, 2], 3.25.ba_lm_cwg 
(8, 8, 10), [0, 0, 2], 3.25.ba_ln_cwq 
(8, 9, 10), [0, 1, 2], 3.25.bb_mf_dbq 
(9, 9, 10), [1, 1, 2], 3.25.bc_my_dha 
