(0, 5, 7), [0, 5, 7], 3.23.m_ea_vg 
(0, 6, 6), [0, 6, 6], 3.23.m_eb_vg 
(0, 4, 9), [0, 4, 9], 3.23.n_eb_xa 
(0, 5, 8), [0, 5, 8], 3.23.n_ef_xa 
(0, 6, 7), [0, 6, 7], 3.23.n_eh_xa 
(0, 5, 9), [0, 5, 9], 3.23.o_ek_yu 
(0, 6, 8), [0, 6, 8], 3.23.o_en_yu 
(0, 7, 7), [0, 7, 7], 3.23.o_eo_yu 
(0, 6, 9), [0, 6, 9], 3.23.p_et_bao 
(0, 7, 8), [0, 7, 8], 3.23.p_ev_bao 
(0, 7, 9), [0, 7, 9], 3.23.q_fc_bci 
(0, 8, 8), [0, 8, 8], 3.23.q_fd_bci 
(0, 8, 9), [0, 8, 9], 3.23.r_fl_bec 
(0, 9, 9), [0, 9, 9], 3.23.s_fu_bfw 
