(-4, -4, 10), [0, 0, 2], 3.25.c_l_ka 
(-5, -2, 9), [3, 2, 1], 3.25.c_w_hi 
(-7, 4, 5), [1, 0, 1], 3.25.c_bg_abo 
(-5, -1, 8), [3, 3, 0], 3.25.c_bg_fk 
(-6, 3, 5), [2, 3, 1], 3.25.c_bq_k 
(-5, 1, 6), [3, 1, 2], 3.25.c_bu_cs 
(-5, 3, 4), [3, 3, 0], 3.25.c_ca_bo 
(-4, 1, 5), [0, 1, 1], 3.25.c_ce_dc 
(-2, -1, 5), [2, 3, 1], 3.25.c_ck_eg 
(-8, 1, 10), [0, 1, 2], 3.25.d_ad_cs 
(-6, -1, 10), [2, 3, 2], 3.25.d_l_ic 
(-8, 5, 6), [0, 1, 2], 3.25.d_r_adm 
(-6, 4, 5), [2, 0, 1], 3.25.d_bp_be 
(-5, 2, 6), [3, 2, 2], 3.25.d_bv_dm 
(-5, 4, 4), [3, 0, 0], 3.25.d_bz_cs 
(-4, 2, 5), [0, 2, 1], 3.25.d_cf_eg 
(-10, 6, 8), [2, 2, 0], 3.25.e_ar_aku 
(-10, 7, 7), [2, 3, 3], 3.25.e_aq_ale 
(-9, 5, 8), [3, 1, 0], 3.25.e_ac_age 
(-8, 2, 10), [0, 2, 2], 3.25.e_ab_bo 
(-7, 1, 10), [1, 1, 2], 3.25.e_i_fa 
(-8, 5, 7), [0, 1, 3], 3.25.e_o_adc 
(-3, -3, 10), [1, 1, 2], 3.25.e_y_le 
(-7, 5, 6), [1, 1, 2], 3.25.e_bc_ak 
(-5, 1, 8), [3, 1, 0], 3.25.e_bm_ge 
(-5, 2, 7), [3, 2, 3], 3.25.e_bs_fa 
(-5, 3, 6), [3, 3, 2], 3.25.e_bw_eg 
(-4, 3, 5), [0, 3, 1], 3.25.e_cg_fk 
(-3, 2, 5), [1, 2, 1], 3.25.e_cm_go 
(-2, 1, 5), [2, 1, 1], 3.25.e_cq_hi 
(-8, 3, 10), [0, 3, 2], 3.25.f_b_k 
(-8, 5, 8), [0, 1, 0], 3.25.f_l_acs 
(-6, 1, 10), [2, 1, 2], 3.25.f_t_hi 
(-6, 5, 6), [2, 1, 2], 3.25.f_bn_cs 
(-5, 2, 8), [3, 2, 0], 3.25.f_bp_go 
(-5, 4, 6), [3, 0, 2], 3.25.f_bx_fa 
(-4, 4, 5), [0, 0, 1], 3.25.f_ch_go 
(-2, 2, 5), [2, 2, 1], 3.25.f_ct_iw 
(-10, 8, 8), [2, 0, 0], 3.25.g_av_anc 
(-8, 4, 10), [0, 0, 2], 3.25.g_d_au 
(-8, 5, 9), [0, 1, 1], 3.25.g_i_aci 
(-6, 2, 10), [2, 2, 2], 3.25.g_x_gy 
(-7, 5, 8), [1, 1, 0], 3.25.g_y_u 
(-6, 5, 7), [2, 1, 3], 3.25.g_bm_dm 
(-5, 2, 9), [3, 2, 1], 3.25.g_bm_ic 
(-2, -2, 10), [2, 2, 2], 3.25.g_bn_nc 
(-5, 3, 8), [3, 3, 0], 3.25.g_bs_gy 
(-5, 4, 7), [3, 0, 3], 3.25.g_bw_ge 
(-3, 4, 5), [1, 0, 1], 3.25.g_cq_jg 
(-2, 3, 5), [2, 3, 1], 3.25.g_cw_kk 
(-1, 2, 5), [3, 2, 1], 3.25.g_da_le 
(-6, 3, 10), [2, 3, 2], 3.25.h_bb_go 
(-6, 5, 8), [2, 1, 0], 3.25.h_bl_eg 
(-4, 1, 10), [0, 1, 2], 3.25.h_bp_ly 
(-5, 4, 8), [3, 0, 0], 3.25.h_bv_hi 
(-5, 6, 6), [3, 2, 2], 3.25.h_bz_go 
(-4, 5, 6), [0, 1, 2], 3.25.h_cj_iw 
(-2, 4, 5), [2, 0, 1], 3.25.h_cz_ly 
(-8, 6, 10), [0, 2, 2], 3.25.i_h_adc 
(-6, 4, 10), [2, 0, 2], 3.25.i_bf_ge 
(-6, 5, 9), [2, 1, 1], 3.25.i_bk_fa 
(-5, 4, 9), [3, 0, 1], 3.25.i_bu_im 
(-4, 2, 10), [0, 2, 2], 3.25.i_bv_mi 
(-5, 6, 7), [3, 2, 3], 3.25.i_ca_hi 
(-3, 1, 10), [1, 1, 2], 3.25.i_ca_og 
(-4, 5, 7), [0, 1, 3], 3.25.i_ck_ka 
(-3, 5, 6), [1, 1, 2], 3.25.i_cu_ly 
(-1, 4, 5), [3, 0, 1], 3.25.i_di_oq 
(1, 2, 5), [1, 2, 1], 3.25.i_do_pu 
(-8, 7, 10), [0, 3, 2], 3.25.j_j_aeg 
(-5, 6, 8), [3, 2, 0], 3.25.j_cb_ic 
(-4, 3, 10), [0, 3, 2], 3.25.j_cb_ms 
(-4, 5, 8), [0, 1, 0], 3.25.j_cl_le 
(-2, 5, 6), [2, 1, 2], 3.25.j_df_pa 
(-8, 8, 10), [0, 0, 2], 3.25.k_l_afk 
(-6, 6, 10), [2, 2, 2], 3.25.k_bn_fk 
(-5, 6, 9), [3, 2, 1], 3.25.k_cc_iw 
(-5, 7, 8), [3, 3, 0], 3.25.k_ce_im 
(-4, 4, 10), [0, 0, 2], 3.25.k_ch_nc 
(-4, 5, 9), [0, 1, 1], 3.25.k_cm_mi 
(-2, 2, 10), [2, 2, 2], 3.25.k_ct_rs 
(-1, 1, 10), [3, 1, 2], 3.25.k_cw_sw 
(-3, 5, 8), [1, 1, 0], 3.25.k_cy_oq 
(-2, 5, 7), [2, 1, 3], 3.25.k_di_qo 
(-1, 5, 6), [3, 1, 2], 3.25.k_dq_sc 
(1, 4, 5), [1, 0, 1], 3.25.k_ea_ua 
(2, 3, 5), [2, 3, 1], 3.25.k_ec_uk 
(-8, 9, 10), [0, 1, 2], 3.25.l_n_ago 
(-6, 7, 10), [2, 3, 2], 3.25.l_br_fa 
(-5, 8, 8), [3, 0, 0], 3.25.l_ch_iw 
(-2, 5, 8), [2, 1, 0], 3.25.l_dl_sc 
(-6, 8, 10), [2, 0, 2], 3.25.m_bv_eq 
(-5, 8, 9), [3, 0, 1], 3.25.m_ck_jg 
(-4, 6, 10), [0, 2, 2], 3.25.m_ct_nw 
(-2, 4, 10), [2, 0, 2], 3.25.m_dj_ua 
(-2, 5, 9), [2, 1, 1], 3.25.m_do_tq 
