(0, 3, 5), [0, 3, 5], 3.19.i_cu_ls 
(0, 4, 4), [0, 4, 4], 3.19.i_cv_ls 
(0, 1, 8), [0, 1, 8], 3.19.j_cn_ne 
(0, 2, 7), [0, 2, 7], 3.19.j_ct_ne 
(0, 3, 6), [0, 3, 6], 3.19.j_cx_ne 
(0, 4, 5), [0, 4, 5], 3.19.j_cz_ne 
(0, 2, 8), [0, 2, 8], 3.19.k_cv_oq 
(0, 3, 7), [0, 3, 7], 3.19.k_da_oq 
(0, 4, 6), [0, 4, 6], 3.19.k_dd_oq 
(0, 5, 5), [0, 5, 5], 3.19.k_de_oq 
(0, 3, 8), [0, 3, 8], 3.19.l_dd_qc 
(0, 4, 7), [0, 4, 7], 3.19.l_dh_qc 
(0, 5, 6), [0, 5, 6], 3.19.l_dj_qc 
(0, 4, 8), [0, 4, 8], 3.19.m_dl_ro 
(0, 5, 7), [0, 5, 7], 3.19.m_do_ro 
(0, 6, 6), [0, 6, 6], 3.19.m_dp_ro 
(0, 5, 8), [0, 5, 8], 3.19.n_dt_ta 
(0, 6, 7), [0, 6, 7], 3.19.n_dv_ta 
(0, 6, 8), [0, 6, 8], 3.19.o_eb_um 
(0, 7, 7), [0, 7, 7], 3.19.o_ec_um 
(0, 7, 8), [0, 7, 8], 3.19.p_ej_vy 
(0, 8, 8), [0, 8, 8], 3.19.q_er_xk 
