(-1, -1, 20), [7, 7, 4], 3.8.ab_ab_u 
(-1, -1, 24), [7, 7, 0], 3.8.ab_ab_y 
(-1, -1, 28), [7, 7, 4], 3.8.ab_ab_bc 
(-1, -1, 32), [7, 7, 0], 3.8.ab_ab_bg 
(-1, -1, 40), [7, 7, 0], 3.8.ab_ab_bo 
(-1, 1, -32), [7, 1, 0], 3.8.ab_b_abg 
(-1, 1, -24), [7, 1, 0], 3.8.ab_b_ay 
(-1, 1, -20), [7, 1, 4], 3.8.ab_b_au 
(-1, 1, -12), [7, 1, 4], 3.8.ab_b_am 
(-1, 1, -8), [7, 1, 0], 3.8.ab_b_ai 
(-1, 1, -4), [7, 1, 4], 3.8.ab_b_ae 
(-1, 1, 0), [7, 1, 0], 3.8.ab_b_a 
(-1, 1, 4), [7, 1, 4], 3.8.ab_b_e 
(-1, 1, 8), [7, 1, 0], 3.8.ab_b_i 
(-1, 1, 12), [7, 1, 4], 3.8.ab_b_m 
(-1, 1, 16), [7, 1, 0], 3.8.ab_b_q 
(-1, 1, 20), [7, 1, 4], 3.8.ab_b_u 
(-1, 1, 24), [7, 1, 0], 3.8.ab_b_y 
(-1, 1, 32), [7, 1, 0], 3.8.ab_b_bg 
(-1, 3, -44), [7, 3, 4], 3.8.ab_d_abs 
(-1, 3, -40), [7, 3, 0], 3.8.ab_d_abo 
(-1, 3, -36), [7, 3, 4], 3.8.ab_d_abk 
(-1, 3, -32), [7, 3, 0], 3.8.ab_d_abg 
(-1, 3, -28), [7, 3, 4], 3.8.ab_d_abc 
(-1, 3, -24), [7, 3, 0], 3.8.ab_d_ay 
(-1, 3, -12), [7, 3, 4], 3.8.ab_d_am 
(-1, 3, -8), [7, 3, 0], 3.8.ab_d_ai 
(-1, 3, -4), [7, 3, 4], 3.8.ab_d_ae 
(-1, 3, 0), [7, 3, 0], 3.8.ab_d_a 
(-1, 3, 4), [7, 3, 4], 3.8.ab_d_e 
(-1, 3, 8), [7, 3, 0], 3.8.ab_d_i 
(-1, 3, 12), [7, 3, 4], 3.8.ab_d_m 
(-1, 3, 16), [7, 3, 0], 3.8.ab_d_q 
(-1, 3, 24), [7, 3, 0], 3.8.ab_d_y 
