(-14, 104, -555), [2, 0, 1], 3.25.ao_ea_avj 
(-14, 106, -605), [2, 2, 3], 3.25.ao_ec_axh 
(-14, 106, -595), [2, 2, 1], 3.25.ao_ec_awx 
(-14, 106, -585), [2, 2, 3], 3.25.ao_ec_awn 
(-14, 106, -580), [2, 2, 0], 3.25.ao_ec_awi 
(-14, 106, -565), [2, 2, 3], 3.25.ao_ec_avt 
(-14, 107, -615), [2, 3, 1], 3.25.ao_ed_axr 
(-14, 107, -595), [2, 3, 1], 3.25.ao_ed_awx 
(-14, 108, -615), [2, 0, 1], 3.25.ao_ee_axr 
(-14, 108, -605), [2, 0, 3], 3.25.ao_ee_axh 
(-14, 108, -595), [2, 0, 1], 3.25.ao_ee_awx 
(-14, 108, -585), [2, 0, 3], 3.25.ao_ee_awn 
(-14, 109, -635), [2, 1, 1], 3.25.ao_ef_ayl 
(-14, 109, -610), [2, 1, 2], 3.25.ao_ef_axm 
(-14, 111, -610), [2, 3, 2], 3.25.ao_eh_axm 
(-14, 112, -665), [2, 0, 3], 3.25.ao_ei_azp 
(-14, 112, -655), [2, 0, 1], 3.25.ao_ei_azf 
(-14, 112, -645), [2, 0, 3], 3.25.ao_ei_ayv 
(-14, 112, -635), [2, 0, 1], 3.25.ao_ei_ayl 
(-14, 112, -615), [2, 0, 1], 3.25.ao_ei_axr 
(-14, 113, -655), [2, 1, 1], 3.25.ao_ej_azf 
(-14, 113, -645), [2, 1, 3], 3.25.ao_ej_ayv 
(-14, 114, -685), [2, 2, 3], 3.25.ao_ek_abaj 
(-14, 114, -665), [2, 2, 3], 3.25.ao_ek_azp 
(-14, 114, -660), [2, 2, 0], 3.25.ao_ek_azk 
(-14, 114, -655), [2, 2, 1], 3.25.ao_ek_azf 
(-14, 114, -645), [2, 2, 3], 3.25.ao_ek_ayv 
(-14, 114, -635), [2, 2, 1], 3.25.ao_ek_ayl 
(-14, 116, -705), [2, 0, 3], 3.25.ao_em_abbd 
(-14, 116, -695), [2, 0, 1], 3.25.ao_em_abat 
(-14, 116, -685), [2, 0, 3], 3.25.ao_em_abaj 
(-14, 116, -665), [2, 0, 3], 3.25.ao_em_azp 
(-14, 116, -655), [2, 0, 1], 3.25.ao_em_azf 
(-14, 116, -645), [2, 0, 3], 3.25.ao_em_ayv 
(-14, 117, -710), [2, 1, 2], 3.25.ao_en_abbi 
(-14, 118, -715), [2, 2, 1], 3.25.ao_eo_abbn 
(-14, 118, -705), [2, 2, 3], 3.25.ao_eo_abbd 
(-14, 118, -695), [2, 2, 1], 3.25.ao_eo_abat 
(-14, 118, -685), [2, 2, 3], 3.25.ao_eo_abaj 
(-14, 118, -665), [2, 2, 3], 3.25.ao_eo_azp 
(-14, 119, -735), [2, 3, 1], 3.25.ao_ep_abch 
(-14, 121, -735), [2, 1, 1], 3.25.ao_er_abch 
(-14, 121, -715), [2, 1, 1], 3.25.ao_er_abbn 
(-14, 121, -695), [2, 1, 1], 3.25.ao_er_abat 
(-14, 121, -685), [2, 1, 3], 3.25.ao_er_abaj 
(-14, 122, -745), [2, 2, 3], 3.25.ao_es_abcr 
(-14, 122, -740), [2, 2, 0], 3.25.ao_es_abcm 
