(-7, 20, -52), [1, 0, 0], 3.13.ah_u_aca 
(-7, 21, -52), [1, 1, 0], 3.13.ah_v_aca 
(-7, 21, -39), [1, 1, 1], 3.13.ah_v_abn 
(-7, 22, -52), [1, 2, 0], 3.13.ah_w_aca 
(-7, 23, -65), [1, 3, 3], 3.13.ah_x_acn 
(-7, 24, -78), [1, 0, 2], 3.13.ah_y_ada 
(-7, 25, -91), [1, 1, 1], 3.13.ah_z_adn 
(-7, 25, -65), [1, 1, 3], 3.13.ah_z_acn 
(-7, 27, -104), [1, 3, 0], 3.13.ah_bb_aea 
(-7, 27, -91), [1, 3, 1], 3.13.ah_bb_adn 
(-7, 27, -78), [1, 3, 2], 3.13.ah_bb_ada 
(-7, 28, -104), [1, 0, 0], 3.13.ah_bc_aea 
(-7, 28, -78), [1, 0, 2], 3.13.ah_bc_ada 
(-7, 29, -117), [1, 1, 3], 3.13.ah_bd_aen 
(-7, 29, -104), [1, 1, 0], 3.13.ah_bd_aea 
(-7, 29, -91), [1, 1, 1], 3.13.ah_bd_adn 
(-7, 30, -104), [1, 2, 0], 3.13.ah_be_aea 
(-7, 31, -130), [1, 3, 2], 3.13.ah_bf_afa 
(-7, 31, -117), [1, 3, 3], 3.13.ah_bf_aen 
(-7, 31, -104), [1, 3, 0], 3.13.ah_bf_aea 
(-7, 32, -130), [1, 0, 2], 3.13.ah_bg_afa 
(-7, 33, -143), [1, 1, 1], 3.13.ah_bh_afn 
(-7, 33, -130), [1, 1, 2], 3.13.ah_bh_afa 
(-7, 33, -117), [1, 1, 3], 3.13.ah_bh_aen 
(-7, 33, -104), [1, 1, 0], 3.13.ah_bh_aea 
(-7, 34, -130), [1, 2, 2], 3.13.ah_bi_afa 
(-7, 35, -156), [1, 3, 0], 3.13.ah_bj_aga 
(-7, 35, -143), [1, 3, 1], 3.13.ah_bj_afn 
(-7, 35, -130), [1, 3, 2], 3.13.ah_bj_afa 
(-7, 35, -117), [1, 3, 3], 3.13.ah_bj_aen 
(-7, 36, -130), [1, 0, 2], 3.13.ah_bk_afa 
(-7, 37, -169), [1, 1, 3], 3.13.ah_bl_agn 
(-7, 37, -156), [1, 1, 0], 3.13.ah_bl_aga 
(-7, 37, -143), [1, 1, 1], 3.13.ah_bl_afn 
(-7, 37, -130), [1, 1, 2], 3.13.ah_bl_afa 
(-7, 38, -156), [1, 2, 0], 3.13.ah_bm_aga 
(-7, 40, -156), [1, 0, 0], 3.13.ah_bo_aga 
(-7, 41, -169), [1, 1, 3], 3.13.ah_bp_agn 
(-7, 41, -156), [1, 1, 0], 3.13.ah_bp_aga 
(-7, 41, -143), [1, 1, 1], 3.13.ah_bp_afn 
(-7, 42, -156), [1, 2, 0], 3.13.ah_bq_aga 
(-7, 43, -169), [1, 3, 3], 3.13.ah_br_agn 
(-7, 43, -156), [1, 3, 0], 3.13.ah_br_aga 
(-7, 44, -156), [1, 0, 0], 3.13.ah_bs_aga 
(-7, 45, -169), [1, 1, 3], 3.13.ah_bt_agn 
(-7, 47, -169), [1, 3, 3], 3.13.ah_bv_agn 
(-6, -9, 130), [2, 3, 2], 3.13.ag_aj_fa 
(-6, -5, 104), [2, 3, 0], 3.13.ag_af_ea 
(-6, -3, 91), [2, 1, 3], 3.13.ag_ad_dn 
(-6, -2, 78), [2, 2, 2], 3.13.ag_ac_da 
(-6, 1, 65), [2, 1, 1], 3.13.ag_b_cn 
(-6, 2, 52), [2, 2, 0], 3.13.ag_c_ca 
(-6, 3, 52), [2, 3, 0], 3.13.ag_d_ca 
(-6, 4, 52), [2, 0, 0], 3.13.ag_e_ca 
(-6, 7, 13), [2, 3, 1], 3.13.ag_h_n 
(-6, 7, 26), [2, 3, 2], 3.13.ag_h_ba 
(-6, 8, 26), [2, 0, 2], 3.13.ag_i_ba 
(-6, 9, 0), [2, 1, 0], 3.13.ag_j_a 
(-6, 9, 13), [2, 1, 1], 3.13.ag_j_n 
(-6, 10, 0), [2, 2, 0], 3.13.ag_k_a 
(-6, 11, -13), [2, 3, 3], 3.13.ag_l_an 
(-6, 11, 0), [2, 3, 0], 3.13.ag_l_a 
(-6, 12, 0), [2, 0, 0], 3.13.ag_m_a 
(-6, 14, -26), [2, 2, 2], 3.13.ag_o_aba 
(-6, 15, -39), [2, 3, 1], 3.13.ag_p_abn 
(-6, 15, -26), [2, 3, 2], 3.13.ag_p_aba 
(-6, 15, -13), [2, 3, 3], 3.13.ag_p_an 
(-6, 16, -52), [2, 0, 0], 3.13.ag_q_aca 
(-6, 16, -26), [2, 0, 2], 3.13.ag_q_aba 
(-6, 17, -52), [2, 1, 0], 3.13.ag_r_aca 
(-6, 17, -39), [2, 1, 1], 3.13.ag_r_abn 
(-6, 17, -26), [2, 1, 2], 3.13.ag_r_aba 
(-6, 18, -52), [2, 2, 0], 3.13.ag_s_aca 
(-6, 19, -52), [2, 3, 0], 3.13.ag_t_aca 
(-6, 19, -39), [2, 3, 1], 3.13.ag_t_abn 
(-6, 20, -78), [2, 0, 2], 3.13.ag_u_ada 
(-6, 20, -52), [2, 0, 0], 3.13.ag_u_aca 
(-6, 21, -78), [2, 1, 2], 3.13.ag_v_ada 
(-6, 21, -65), [2, 1, 3], 3.13.ag_v_acn 
(-6, 22, -52), [2, 2, 0], 3.13.ag_w_aca 
(-6, 23, -91), [2, 3, 1], 3.13.ag_x_adn 
(-6, 23, -78), [2, 3, 2], 3.13.ag_x_ada 
(-6, 23, -65), [2, 3, 3], 3.13.ag_x_acn 
(-6, 23, -52), [2, 3, 0], 3.13.ag_x_aca 
(-6, 24, -104), [2, 0, 0], 3.13.ag_y_aea 
(-6, 24, -78), [2, 0, 2], 3.13.ag_y_ada 
(-6, 25, -104), [2, 1, 0], 3.13.ag_z_aea 
(-6, 25, -91), [2, 1, 1], 3.13.ag_z_adn 
(-6, 25, -78), [2, 1, 2], 3.13.ag_z_ada 
(-6, 25, -65), [2, 1, 3], 3.13.ag_z_acn 
(-6, 27, -130), [2, 3, 2], 3.13.ag_bb_afa 
(-6, 27, -117), [2, 3, 3], 3.13.ag_bb_aen 
(-6, 27, -104), [2, 3, 0], 3.13.ag_bb_aea 
(-6, 27, -91), [2, 3, 1], 3.13.ag_bb_adn 
(-6, 27, -78), [2, 3, 2], 3.13.ag_bb_ada 
(-6, 28, -130), [2, 0, 2], 3.13.ag_bc_afa 
(-6, 28, -104), [2, 0, 0], 3.13.ag_bc_aea 
(-6, 28, -78), [2, 0, 2], 3.13.ag_bc_ada 
(-6, 29, -143), [2, 1, 1], 3.13.ag_bd_afn 
(-6, 29, -130), [2, 1, 2], 3.13.ag_bd_afa 
(-6, 29, -117), [2, 1, 3], 3.13.ag_bd_aen 
(-6, 29, -104), [2, 1, 0], 3.13.ag_bd_aea 
(-6, 29, -91), [2, 1, 1], 3.13.ag_bd_adn 
(-6, 30, -130), [2, 2, 2], 3.13.ag_be_afa 
(-6, 30, -104), [2, 2, 0], 3.13.ag_be_aea 
