(-7, 14, -17), [10, 14, 0], 3.17.ah_o_ar 
(-7, 14, 17), [10, 14, 0], 3.17.ah_o_r 
(-7, 16, -17), [10, 16, 0], 3.17.ah_q_ar 
(-7, 18, -17), [10, 1, 0], 3.17.ah_s_ar 
(-7, 20, -51), [10, 3, 0], 3.17.ah_u_abz 
(-7, 20, -17), [10, 3, 0], 3.17.ah_u_ar 
(-7, 22, -51), [10, 5, 0], 3.17.ah_w_abz 
(-7, 24, -85), [10, 7, 0], 3.17.ah_y_adh 
(-7, 24, -51), [10, 7, 0], 3.17.ah_y_abz 
(-7, 26, -85), [10, 9, 0], 3.17.ah_ba_adh 
(-7, 28, -119), [10, 11, 0], 3.17.ah_bc_aep 
(-7, 28, -85), [10, 11, 0], 3.17.ah_bc_adh 
(-7, 30, -119), [10, 13, 0], 3.17.ah_be_aep 
(-7, 30, -85), [10, 13, 0], 3.17.ah_be_adh 
(-7, 32, -153), [10, 15, 0], 3.17.ah_bg_afx 
(-7, 32, -119), [10, 15, 0], 3.17.ah_bg_aep 
(-7, 36, -187), [10, 2, 0], 3.17.ah_bk_ahf 
(-7, 36, -153), [10, 2, 0], 3.17.ah_bk_afx 
(-7, 36, -119), [10, 2, 0], 3.17.ah_bk_aep 
(-7, 38, -153), [10, 4, 0], 3.17.ah_bm_afx 
(-7, 40, -187), [10, 6, 0], 3.17.ah_bo_ahf 
(-7, 40, -153), [10, 6, 0], 3.17.ah_bo_afx 
(-7, 42, -221), [10, 8, 0], 3.17.ah_bq_ain 
(-7, 42, -187), [10, 8, 0], 3.17.ah_bq_ahf 
(-7, 42, -153), [10, 8, 0], 3.17.ah_bq_afx 
(-7, 44, -221), [10, 10, 0], 3.17.ah_bs_ain 
(-7, 44, -187), [10, 10, 0], 3.17.ah_bs_ahf 
(-7, 46, -221), [10, 12, 0], 3.17.ah_bu_ain 
(-7, 48, -221), [10, 14, 0], 3.17.ah_bw_ain 
(-7, 48, -187), [10, 14, 0], 3.17.ah_bw_ahf 
(-7, 50, -221), [10, 16, 0], 3.17.ah_by_ain 
(-7, 50, -187), [10, 16, 0], 3.17.ah_by_ahf 
