(-2, 2, 15), [2, 2, 3], 3.9.ac_c_p 
(-2, 2, 21), [2, 2, 1], 3.9.ac_c_v 
(-2, 2, 24), [2, 2, 0], 3.9.ac_c_y 
(-2, 2, 27), [2, 2, 3], 3.9.ac_c_bb 
(-2, 2, 33), [2, 2, 1], 3.9.ac_c_bh 
(-2, 4, -39), [2, 0, 1], 3.9.ac_e_abn 
(-2, 4, -33), [2, 0, 3], 3.9.ac_e_abh 
(-2, 4, -27), [2, 0, 1], 3.9.ac_e_abb 
(-2, 4, -15), [2, 0, 1], 3.9.ac_e_ap 
(-2, 4, -9), [2, 0, 3], 3.9.ac_e_aj 
(-2, 4, -3), [2, 0, 1], 3.9.ac_e_ad 
(-2, 4, 3), [2, 0, 3], 3.9.ac_e_d 
(-2, 4, 9), [2, 0, 1], 3.9.ac_e_j 
(-2, 4, 15), [2, 0, 3], 3.9.ac_e_p 
(-2, 4, 21), [2, 0, 1], 3.9.ac_e_v 
(-2, 5, -45), [2, 1, 3], 3.9.ac_f_abt 
(-2, 5, -39), [2, 1, 1], 3.9.ac_f_abn 
(-2, 5, -33), [2, 1, 3], 3.9.ac_f_abh 
(-2, 5, 3), [2, 1, 3], 3.9.ac_f_d 
(-2, 5, 6), [2, 1, 2], 3.9.ac_f_g 
(-2, 5, 15), [2, 1, 3], 3.9.ac_f_p 
(-2, 7, -57), [2, 3, 3], 3.9.ac_h_acf 
(-2, 7, -54), [2, 3, 2], 3.9.ac_h_acc 
(-2, 7, -45), [2, 3, 3], 3.9.ac_h_abt 
(-2, 7, 3), [2, 3, 3], 3.9.ac_h_d 
(-2, 8, -57), [2, 0, 3], 3.9.ac_i_acf 
(-2, 8, -45), [2, 0, 3], 3.9.ac_i_abt 
(-2, 8, -33), [2, 0, 3], 3.9.ac_i_abh 
(-2, 8, -27), [2, 0, 1], 3.9.ac_i_abb 
(-2, 8, -21), [2, 0, 3], 3.9.ac_i_av 
(-2, 8, -15), [2, 0, 1], 3.9.ac_i_ap 
(-2, 8, -9), [2, 0, 3], 3.9.ac_i_aj 
(-2, 8, -3), [2, 0, 1], 3.9.ac_i_ad 
(-2, 8, 3), [2, 0, 3], 3.9.ac_i_d 
(-2, 8, 6), [2, 0, 2], 3.9.ac_i_g 
(-2, 8, 9), [2, 0, 1], 3.9.ac_i_j 
(-2, 10, -51), [2, 2, 1], 3.9.ac_k_abz 
(-2, 10, -45), [2, 2, 3], 3.9.ac_k_abt 
(-2, 10, -39), [2, 2, 1], 3.9.ac_k_abn 
(-2, 10, -33), [2, 2, 3], 3.9.ac_k_abh 
(-2, 10, -27), [2, 2, 1], 3.9.ac_k_abb 
(-2, 10, -21), [2, 2, 3], 3.9.ac_k_av 
(-2, 10, -15), [2, 2, 1], 3.9.ac_k_ap 
(-2, 10, -12), [2, 2, 0], 3.9.ac_k_am 
(-2, 10, -9), [2, 2, 3], 3.9.ac_k_aj 
(-2, 10, -3), [2, 2, 1], 3.9.ac_k_ad 
(-2, 10, 3), [2, 2, 3], 3.9.ac_k_d 
(-2, 11, -30), [2, 3, 2], 3.9.ac_l_abe 
(-2, 11, -3), [2, 3, 1], 3.9.ac_l_ad 
(-2, 13, -45), [2, 1, 3], 3.9.ac_n_abt 
(-2, 13, -27), [2, 1, 1], 3.9.ac_n_abb 
(-2, 14, -45), [2, 2, 3], 3.9.ac_o_abt 
(-2, 14, -39), [2, 2, 1], 3.9.ac_o_abn 
(-2, 14, -33), [2, 2, 3], 3.9.ac_o_abh 
(-2, 14, -27), [2, 2, 1], 3.9.ac_o_abb 
(-2, 14, -21), [2, 2, 3], 3.9.ac_o_av 
(-2, 14, -9), [2, 2, 3], 3.9.ac_o_aj 
(-2, 16, -39), [2, 0, 1], 3.9.ac_q_abn 
(-2, 16, -33), [2, 0, 3], 3.9.ac_q_abh 
(-2, 16, -27), [2, 0, 1], 3.9.ac_q_abb 
(-2, 16, -21), [2, 0, 3], 3.9.ac_q_av 
(-2, 16, -15), [2, 0, 1], 3.9.ac_q_ap 
(-2, 17, -42), [2, 1, 2], 3.9.ac_r_abq 
(-2, 17, -33), [2, 1, 3], 3.9.ac_r_abh 
(-2, 17, -18), [2, 1, 2], 3.9.ac_r_as 
(-2, 19, -39), [2, 3, 1], 3.9.ac_t_abn 
(-2, 19, -33), [2, 3, 3], 3.9.ac_t_abh 
(-2, 19, -30), [2, 3, 2], 3.9.ac_t_abe 
(-2, 19, -24), [2, 3, 0], 3.9.ac_t_ay 
(-2, 20, -39), [2, 0, 1], 3.9.ac_u_abn 
(-2, 20, -27), [2, 0, 1], 3.9.ac_u_abb 
(-2, 22, -33), [2, 2, 3], 3.9.ac_w_abh 
(-2, 22, -27), [2, 2, 1], 3.9.ac_w_abb 
(-1, -8, 15), [3, 0, 3], 3.9.ab_ai_p 
(-1, -8, 18), [3, 0, 2], 3.9.ab_ai_s 
(-1, -8, 21), [3, 0, 1], 3.9.ab_ai_v 
(-1, -7, 9), [3, 1, 1], 3.9.ab_ah_j 
(-1, -7, 15), [3, 1, 3], 3.9.ab_ah_p 
(-1, -7, 24), [3, 1, 0], 3.9.ab_ah_y 
(-1, -7, 27), [3, 1, 3], 3.9.ab_ah_bb 
(-1, -5, 12), [3, 3, 0], 3.9.ab_af_m 
(-1, -4, -9), [3, 0, 3], 3.9.ab_ae_aj 
(-1, -4, -6), [3, 0, 2], 3.9.ab_ae_ag 
(-1, -4, -3), [3, 0, 1], 3.9.ab_ae_ad 
