(-3, -9, 55), [1, 3, 3], 3.11.ad_aj_cd 
(-3, -8, 55), [1, 0, 3], 3.11.ad_ai_cd 
(-3, -8, 77), [1, 0, 1], 3.11.ad_ai_cz 
(-3, -6, 33), [1, 2, 1], 3.11.ad_ag_bh 
(-3, -6, 55), [1, 2, 3], 3.11.ad_ag_cd 
(-3, -6, 77), [1, 2, 1], 3.11.ad_ag_cz 
(-3, -4, 33), [1, 0, 1], 3.11.ad_ae_bh 
(-3, -4, 55), [1, 0, 3], 3.11.ad_ae_cd 
(-3, -2, 11), [1, 2, 3], 3.11.ad_ac_l 
(-3, -2, 33), [1, 2, 1], 3.11.ad_ac_bh 
(-3, -2, 55), [1, 2, 3], 3.11.ad_ac_cd 
(-3, 2, -11), [1, 2, 1], 3.11.ad_c_al 
(-3, 2, 11), [1, 2, 3], 3.11.ad_c_l 
(-3, 2, 33), [1, 2, 1], 3.11.ad_c_bh 
(-3, 4, -33), [1, 0, 3], 3.11.ad_e_abh 
(-3, 4, 11), [1, 0, 3], 3.11.ad_e_l 
(-3, 4, 33), [1, 0, 1], 3.11.ad_e_bh 
(-3, 6, -33), [1, 2, 3], 3.11.ad_g_abh 
(-3, 6, -11), [1, 2, 1], 3.11.ad_g_al 
(-3, 6, 11), [1, 2, 3], 3.11.ad_g_l 
(-3, 8, -55), [1, 0, 1], 3.11.ad_i_acd 
(-3, 8, -33), [1, 0, 3], 3.11.ad_i_abh 
(-3, 8, -11), [1, 0, 1], 3.11.ad_i_al 
(-3, 8, 11), [1, 0, 3], 3.11.ad_i_l 
(-3, 10, -55), [1, 2, 1], 3.11.ad_k_acd 
(-3, 10, -33), [1, 2, 3], 3.11.ad_k_abh 
(-3, 10, -11), [1, 2, 1], 3.11.ad_k_al 
(-3, 12, -77), [1, 0, 3], 3.11.ad_m_acz 
(-3, 12, -55), [1, 0, 1], 3.11.ad_m_acd 
(-3, 12, -33), [1, 0, 3], 3.11.ad_m_abh 
(-3, 14, -77), [1, 2, 3], 3.11.ad_o_acz 
(-3, 14, -55), [1, 2, 1], 3.11.ad_o_acd 
(-3, 14, -33), [1, 2, 3], 3.11.ad_o_abh 
(-3, 14, -11), [1, 2, 1], 3.11.ad_o_al 
(-3, 16, -77), [1, 0, 3], 3.11.ad_q_acz 
(-3, 16, -55), [1, 0, 1], 3.11.ad_q_acd 
(-3, 16, -33), [1, 0, 3], 3.11.ad_q_abh 
(-3, 18, -55), [1, 2, 1], 3.11.ad_s_acd 
(-3, 18, -33), [1, 2, 3], 3.11.ad_s_abh 
(-3, 20, -55), [1, 0, 1], 3.11.ad_u_acd 
(-3, 20, -33), [1, 0, 3], 3.11.ad_u_abh 
(-3, 26, -55), [1, 2, 1], 3.11.ad_ba_acd 
(-3, 28, -55), [1, 0, 1], 3.11.ad_bc_acd 
(-2, -8, 33), [2, 0, 1], 3.11.ac_ai_bh 
(-2, -8, 55), [2, 0, 3], 3.11.ac_ai_cd 
(-2, -6, 11), [2, 2, 3], 3.11.ac_ag_l 
(-2, -6, 33), [2, 2, 1], 3.11.ac_ag_bh 
(-2, -6, 55), [2, 2, 3], 3.11.ac_ag_cd 
(-2, -6, 77), [2, 2, 1], 3.11.ac_ag_cz 
(-2, -4, 11), [2, 0, 3], 3.11.ac_ae_l 
(-2, -4, 33), [2, 0, 1], 3.11.ac_ae_bh 
(-2, -4, 55), [2, 0, 3], 3.11.ac_ae_cd 
(-2, -2, -11), [2, 2, 1], 3.11.ac_ac_al 
(-2, -2, 11), [2, 2, 3], 3.11.ac_ac_l 
(-2, -2, 33), [2, 2, 1], 3.11.ac_ac_bh 
(-2, -2, 55), [2, 2, 3], 3.11.ac_ac_cd 
(-2, 2, -33), [2, 2, 3], 3.11.ac_c_abh 
(-2, 2, -11), [2, 2, 1], 3.11.ac_c_al 
(-2, 2, 11), [2, 2, 3], 3.11.ac_c_l 
(-2, 2, 33), [2, 2, 1], 3.11.ac_c_bh 
(-2, 4, -55), [2, 0, 1], 3.11.ac_e_acd 
(-2, 4, -33), [2, 0, 3], 3.11.ac_e_abh 
(-2, 4, -11), [2, 0, 1], 3.11.ac_e_al 
(-2, 4, 11), [2, 0, 3], 3.11.ac_e_l 
(-2, 4, 33), [2, 0, 1], 3.11.ac_e_bh 
(-2, 6, -55), [2, 2, 1], 3.11.ac_g_acd 
(-2, 6, -33), [2, 2, 3], 3.11.ac_g_abh 
(-2, 6, -11), [2, 2, 1], 3.11.ac_g_al 
(-2, 6, 11), [2, 2, 3], 3.11.ac_g_l 
(-2, 8, -77), [2, 0, 3], 3.11.ac_i_acz 
(-2, 8, -55), [2, 0, 1], 3.11.ac_i_acd 
(-2, 8, -33), [2, 0, 3], 3.11.ac_i_abh 
(-2, 8, -11), [2, 0, 1], 3.11.ac_i_al 
(-2, 8, 11), [2, 0, 3], 3.11.ac_i_l 
(-2, 10, -55), [2, 2, 1], 3.11.ac_k_acd 
(-2, 10, -33), [2, 2, 3], 3.11.ac_k_abh 
(-2, 10, -11), [2, 2, 1], 3.11.ac_k_al 
(-2, 10, 11), [2, 2, 3], 3.11.ac_k_l 
(-2, 12, -55), [2, 0, 1], 3.11.ac_m_acd 
(-2, 12, -33), [2, 0, 3], 3.11.ac_m_abh 
(-2, 12, -11), [2, 0, 1], 3.11.ac_m_al 
(-2, 12, 11), [2, 0, 3], 3.11.ac_m_l 
(-2, 14, -55), [2, 2, 1], 3.11.ac_o_acd 
(-2, 14, -33), [2, 2, 3], 3.11.ac_o_abh 
(-2, 14, -11), [2, 2, 1], 3.11.ac_o_al 
(-2, 16, -55), [2, 0, 1], 3.11.ac_q_acd 
(-2, 16, -33), [2, 0, 3], 3.11.ac_q_abh 
(-2, 16, -11), [2, 0, 1], 3.11.ac_q_al 
(-2, 18, -55), [2, 2, 1], 3.11.ac_s_acd 
(-2, 18, -33), [2, 2, 3], 3.11.ac_s_abh 
(-2, 18, -11), [2, 2, 1], 3.11.ac_s_al 
