(-4, -2, 42), [5, 7, 6], 3.9.ae_ac_bq 
(-4, -1, 36), [5, 8, 0], 3.9.ae_ab_bk 
(-4, 1, 18), [5, 1, 0], 3.9.ae_b_s 
(-4, 1, 21), [5, 1, 3], 3.9.ae_b_v 
(-4, 1, 24), [5, 1, 6], 3.9.ae_b_y 
(-4, 1, 27), [5, 1, 0], 3.9.ae_b_bb 
(-4, 1, 30), [5, 1, 3], 3.9.ae_b_be 
(-4, 2, 18), [5, 2, 0], 3.9.ae_c_s 
(-4, 4, 0), [5, 4, 0], 3.9.ae_e_a 
(-4, 5, -9), [5, 5, 0], 3.9.ae_f_aj 
(-4, 5, -3), [5, 5, 6], 3.9.ae_f_ad 
(-4, 5, 0), [5, 5, 0], 3.9.ae_f_a 
(-4, 5, 6), [5, 5, 6], 3.9.ae_f_g 
(-4, 5, 9), [5, 5, 0], 3.9.ae_f_j 
(-4, 5, 12), [5, 5, 3], 3.9.ae_f_m 
(-4, 7, -18), [5, 7, 0], 3.9.ae_h_as 
(-4, 7, -12), [5, 7, 6], 3.9.ae_h_am 
(-4, 7, -9), [5, 7, 0], 3.9.ae_h_aj 
(-4, 7, -6), [5, 7, 3], 3.9.ae_h_ag 
(-4, 7, 0), [5, 7, 0], 3.9.ae_h_a 
(-4, 8, -24), [5, 8, 3], 3.9.ae_i_ay 
(-4, 8, -18), [5, 8, 0], 3.9.ae_i_as 
(-4, 8, -12), [5, 8, 6], 3.9.ae_i_am 
(-4, 8, 0), [5, 8, 0], 3.9.ae_i_a 
(-4, 10, -36), [5, 1, 0], 3.9.ae_k_abk 
(-4, 10, -24), [5, 1, 3], 3.9.ae_k_ay 
(-4, 10, -18), [5, 1, 0], 3.9.ae_k_as 
(-4, 10, -6), [5, 1, 3], 3.9.ae_k_ag 
(-4, 11, -45), [5, 2, 0], 3.9.ae_l_abt 
(-4, 11, -42), [5, 2, 3], 3.9.ae_l_abq 
(-4, 11, -39), [5, 2, 6], 3.9.ae_l_abn 
(-4, 11, -36), [5, 2, 0], 3.9.ae_l_abk 
(-4, 11, -33), [5, 2, 3], 3.9.ae_l_abh 
(-4, 11, -30), [5, 2, 6], 3.9.ae_l_abe 
(-4, 11, -24), [5, 2, 3], 3.9.ae_l_ay 
(-4, 11, -18), [5, 2, 0], 3.9.ae_l_as 
(-4, 11, -12), [5, 2, 6], 3.9.ae_l_am 
(-4, 13, -57), [5, 4, 6], 3.9.ae_n_acf 
(-4, 13, -54), [5, 4, 0], 3.9.ae_n_acc 
(-4, 13, -48), [5, 4, 6], 3.9.ae_n_abw 
(-4, 13, -45), [5, 4, 0], 3.9.ae_n_abt 
