(-10, 57, -232), [6, 9, 8], 3.16.ak_cf_aiy 
(-10, 59, -276), [6, 11, 12], 3.16.ak_ch_akq 
(-10, 59, -264), [6, 11, 8], 3.16.ak_ch_ake 
(-10, 59, -244), [6, 11, 12], 3.16.ak_ch_ajk 
(-10, 61, -280), [6, 13, 8], 3.16.ak_cj_aku 
(-10, 61, -256), [6, 13, 0], 3.16.ak_cj_ajw 
(-10, 63, -308), [6, 15, 12], 3.16.ak_cl_alw 
(-10, 63, -304), [6, 15, 0], 3.16.ak_cl_als 
(-10, 63, -272), [6, 15, 0], 3.16.ak_cl_akm 
(-10, 65, -312), [6, 1, 8], 3.16.ak_cn_ama 
(-10, 67, -328), [6, 3, 8], 3.16.ak_cp_amq 
(-10, 67, -324), [6, 3, 12], 3.16.ak_cp_amm 
(-10, 67, -316), [6, 3, 4], 3.16.ak_cp_ame 
(-10, 67, -308), [6, 3, 12], 3.16.ak_cp_alw 
(-10, 67, -292), [6, 3, 12], 3.16.ak_cp_alg 
(-10, 69, -328), [6, 5, 8], 3.16.ak_cr_amq 
(-10, 69, -312), [6, 5, 8], 3.16.ak_cr_ama 
(-10, 71, -312), [6, 7, 8], 3.16.ak_ct_ama 
(-9, 17, 28), [7, 1, 12], 3.16.aj_r_bc 
(-9, 19, 12), [7, 3, 12], 3.16.aj_t_m 
(-9, 21, -4), [7, 5, 12], 3.16.aj_v_ae 
(-9, 23, -20), [7, 7, 12], 3.16.aj_x_au 
(-9, 23, -16), [7, 7, 0], 3.16.aj_x_aq 
(-9, 25, -36), [7, 9, 12], 3.16.aj_z_abk 
(-9, 25, -32), [7, 9, 0], 3.16.aj_z_abg 
(-9, 27, -52), [7, 11, 12], 3.16.aj_bb_aca 
(-9, 27, -48), [7, 11, 0], 3.16.aj_bb_abw 
(-9, 27, -44), [7, 11, 4], 3.16.aj_bb_abs 
(-9, 29, -68), [7, 13, 12], 3.16.aj_bd_acq 
(-9, 29, -64), [7, 13, 0], 3.16.aj_bd_acm 
(-9, 29, -60), [7, 13, 4], 3.16.aj_bd_aci 
(-9, 31, -84), [7, 15, 12], 3.16.aj_bf_adg 
(-9, 31, -80), [7, 15, 0], 3.16.aj_bf_adc 
