(-7, 37, -156), [6, 11, 0], 3.13.ah_bl_aga 
(-7, 37, -143), [6, 11, 0], 3.13.ah_bl_afn 
(-7, 37, -130), [6, 11, 0], 3.13.ah_bl_afa 
(-7, 38, -156), [6, 12, 0], 3.13.ah_bm_aga 
(-7, 40, -156), [6, 1, 0], 3.13.ah_bo_aga 
(-7, 41, -169), [6, 2, 0], 3.13.ah_bp_agn 
(-7, 41, -156), [6, 2, 0], 3.13.ah_bp_aga 
(-7, 41, -143), [6, 2, 0], 3.13.ah_bp_afn 
(-7, 42, -156), [6, 3, 0], 3.13.ah_bq_aga 
(-7, 43, -169), [6, 4, 0], 3.13.ah_br_agn 
(-7, 43, -156), [6, 4, 0], 3.13.ah_br_aga 
(-7, 44, -156), [6, 5, 0], 3.13.ah_bs_aga 
(-7, 45, -169), [6, 6, 0], 3.13.ah_bt_agn 
(-7, 47, -169), [6, 8, 0], 3.13.ah_bv_agn 
(-6, -9, 130), [7, 4, 0], 3.13.ag_aj_fa 
(-6, -5, 104), [7, 8, 0], 3.13.ag_af_ea 
(-6, -3, 91), [7, 10, 0], 3.13.ag_ad_dn 
(-6, -2, 78), [7, 11, 0], 3.13.ag_ac_da 
(-6, 1, 65), [7, 1, 0], 3.13.ag_b_cn 
(-6, 2, 52), [7, 2, 0], 3.13.ag_c_ca 
(-6, 3, 52), [7, 3, 0], 3.13.ag_d_ca 
(-6, 4, 52), [7, 4, 0], 3.13.ag_e_ca 
(-6, 7, 13), [7, 7, 0], 3.13.ag_h_n 
(-6, 7, 26), [7, 7, 0], 3.13.ag_h_ba 
(-6, 8, 26), [7, 8, 0], 3.13.ag_i_ba 
(-6, 9, 0), [7, 9, 0], 3.13.ag_j_a 
(-6, 9, 13), [7, 9, 0], 3.13.ag_j_n 
(-6, 10, 0), [7, 10, 0], 3.13.ag_k_a 
(-6, 11, -13), [7, 11, 0], 3.13.ag_l_an 
(-6, 11, 0), [7, 11, 0], 3.13.ag_l_a 
(-6, 12, 0), [7, 12, 0], 3.13.ag_m_a 
(-6, 14, -26), [7, 1, 0], 3.13.ag_o_aba 
(-6, 15, -39), [7, 2, 0], 3.13.ag_p_abn 
(-6, 15, -26), [7, 2, 0], 3.13.ag_p_aba 
(-6, 15, -13), [7, 2, 0], 3.13.ag_p_an 
(-6, 16, -52), [7, 3, 0], 3.13.ag_q_aca 
(-6, 16, -26), [7, 3, 0], 3.13.ag_q_aba 
(-6, 17, -52), [7, 4, 0], 3.13.ag_r_aca 
(-6, 17, -39), [7, 4, 0], 3.13.ag_r_abn 
(-6, 17, -26), [7, 4, 0], 3.13.ag_r_aba 
(-6, 18, -52), [7, 5, 0], 3.13.ag_s_aca 
(-6, 19, -52), [7, 6, 0], 3.13.ag_t_aca 
(-6, 19, -39), [7, 6, 0], 3.13.ag_t_abn 
(-6, 20, -78), [7, 7, 0], 3.13.ag_u_ada 
(-6, 20, -52), [7, 7, 0], 3.13.ag_u_aca 
(-6, 21, -78), [7, 8, 0], 3.13.ag_v_ada 
(-6, 21, -65), [7, 8, 0], 3.13.ag_v_acn 
(-6, 22, -52), [7, 9, 0], 3.13.ag_w_aca 
(-6, 23, -91), [7, 10, 0], 3.13.ag_x_adn 
(-6, 23, -78), [7, 10, 0], 3.13.ag_x_ada 
(-6, 23, -65), [7, 10, 0], 3.13.ag_x_acn 
(-6, 23, -52), [7, 10, 0], 3.13.ag_x_aca 
(-6, 24, -104), [7, 11, 0], 3.13.ag_y_aea 
(-6, 24, -78), [7, 11, 0], 3.13.ag_y_ada 
(-6, 25, -104), [7, 12, 0], 3.13.ag_z_aea 
(-6, 25, -91), [7, 12, 0], 3.13.ag_z_adn 
(-6, 25, -78), [7, 12, 0], 3.13.ag_z_ada 
(-6, 25, -65), [7, 12, 0], 3.13.ag_z_acn 
(-6, 27, -130), [7, 1, 0], 3.13.ag_bb_afa 
(-6, 27, -117), [7, 1, 0], 3.13.ag_bb_aen 
(-6, 27, -104), [7, 1, 0], 3.13.ag_bb_aea 
(-6, 27, -91), [7, 1, 0], 3.13.ag_bb_adn 
(-6, 27, -78), [7, 1, 0], 3.13.ag_bb_ada 
(-6, 28, -130), [7, 2, 0], 3.13.ag_bc_afa 
(-6, 28, -104), [7, 2, 0], 3.13.ag_bc_aea 
(-6, 28, -78), [7, 2, 0], 3.13.ag_bc_ada 
(-6, 29, -143), [7, 3, 0], 3.13.ag_bd_afn 
(-6, 29, -130), [7, 3, 0], 3.13.ag_bd_afa 
(-6, 29, -117), [7, 3, 0], 3.13.ag_bd_aen 
(-6, 29, -104), [7, 3, 0], 3.13.ag_bd_aea 
(-6, 29, -91), [7, 3, 0], 3.13.ag_bd_adn 
(-6, 30, -130), [7, 4, 0], 3.13.ag_be_afa 
(-6, 30, -104), [7, 4, 0], 3.13.ag_be_aea 
(-6, 31, -130), [7, 5, 0], 3.13.ag_bf_afa 
(-6, 31, -117), [7, 5, 0], 3.13.ag_bf_aen 
(-6, 31, -104), [7, 5, 0], 3.13.ag_bf_aea 
(-6, 32, -130), [7, 6, 0], 3.13.ag_bg_afa 
(-6, 32, -104), [7, 6, 0], 3.13.ag_bg_aea 
(-6, 33, -143), [7, 7, 0], 3.13.ag_bh_afn 
(-6, 33, -130), [7, 7, 0], 3.13.ag_bh_afa 
(-6, 33, -117), [7, 7, 0], 3.13.ag_bh_aen 
(-6, 33, -104), [7, 7, 0], 3.13.ag_bh_aea 
(-6, 35, -143), [7, 9, 0], 3.13.ag_bj_afn 
(-6, 35, -130), [7, 9, 0], 3.13.ag_bj_afa 
(-6, 37, -143), [7, 11, 0], 3.13.ag_bl_afn 
(-6, 37, -130), [7, 11, 0], 3.13.ag_bl_afa 
(-6, 37, -117), [7, 11, 0], 3.13.ag_bl_aen 
(-6, 38, -130), [7, 12, 0], 3.13.ag_bm_afa 
(-6, 40, -130), [7, 1, 0], 3.13.ag_bo_afa 
