(-8, 52, -238), [9, 1, 0], 3.17.ai_ca_aje 
(-8, 52, -204), [9, 1, 0], 3.17.ai_ca_ahw 
(-8, 53, -255), [9, 2, 0], 3.17.ai_cb_ajv 
(-8, 53, -238), [9, 2, 0], 3.17.ai_cb_aje 
(-8, 53, -221), [9, 2, 0], 3.17.ai_cb_ain 
(-8, 54, -238), [9, 3, 0], 3.17.ai_cc_aje 
(-8, 55, -255), [9, 4, 0], 3.17.ai_cd_ajv 
(-8, 55, -238), [9, 4, 0], 3.17.ai_cd_aje 
(-8, 55, -221), [9, 4, 0], 3.17.ai_cd_ain 
(-8, 56, -238), [9, 5, 0], 3.17.ai_ce_aje 
(-8, 57, -255), [9, 6, 0], 3.17.ai_cf_ajv 
(-8, 57, -238), [9, 6, 0], 3.17.ai_cf_aje 
(-8, 58, -238), [9, 7, 0], 3.17.ai_cg_aje 
(-8, 59, -238), [9, 8, 0], 3.17.ai_ch_aje 
(-8, 61, -255), [9, 10, 0], 3.17.ai_cj_ajv 
(-7, -12, 204), [10, 5, 0], 3.17.ah_am_hw 
(-7, -5, 153), [10, 12, 0], 3.17.ah_af_fx 
(-7, -4, 136), [10, 13, 0], 3.17.ah_ae_fg 
(-7, -3, 136), [10, 14, 0], 3.17.ah_ad_fg 
(-7, -1, 119), [10, 16, 0], 3.17.ah_ab_ep 
(-7, 1, 102), [10, 1, 0], 3.17.ah_b_dy 
(-7, 2, 102), [10, 2, 0], 3.17.ah_c_dy 
(-7, 3, 85), [10, 3, 0], 3.17.ah_d_dh 
(-7, 4, 68), [10, 4, 0], 3.17.ah_e_cq 
(-7, 5, 68), [10, 5, 0], 3.17.ah_f_cq 
(-7, 7, 51), [10, 7, 0], 3.17.ah_h_bz 
(-7, 7, 68), [10, 7, 0], 3.17.ah_h_cq 
(-7, 8, 34), [10, 8, 0], 3.17.ah_i_bi 
(-7, 9, 51), [10, 9, 0], 3.17.ah_j_bz 
(-7, 10, 34), [10, 10, 0], 3.17.ah_k_bi 
(-7, 11, 17), [10, 11, 0], 3.17.ah_l_r 
(-7, 11, 34), [10, 11, 0], 3.17.ah_l_bi 
(-7, 12, 0), [10, 12, 0], 3.17.ah_m_a 
(-7, 12, 34), [10, 12, 0], 3.17.ah_m_bi 
(-7, 13, 0), [10, 13, 0], 3.17.ah_n_a 
(-7, 13, 17), [10, 13, 0], 3.17.ah_n_r 
(-7, 14, 0), [10, 14, 0], 3.17.ah_o_a 
(-7, 15, -17), [10, 15, 0], 3.17.ah_p_ar 
(-7, 15, 0), [10, 15, 0], 3.17.ah_p_a 
(-7, 15, 17), [10, 15, 0], 3.17.ah_p_r 
(-7, 16, -34), [10, 16, 0], 3.17.ah_q_abi 
(-7, 16, 0), [10, 16, 0], 3.17.ah_q_a 
(-7, 18, -34), [10, 1, 0], 3.17.ah_s_abi 
(-7, 19, -51), [10, 2, 0], 3.17.ah_t_abz 
(-7, 19, -34), [10, 2, 0], 3.17.ah_t_abi 
(-7, 19, -17), [10, 2, 0], 3.17.ah_t_ar 
(-7, 20, -34), [10, 3, 0], 3.17.ah_u_abi 
(-7, 21, -68), [10, 4, 0], 3.17.ah_v_acq 
(-7, 21, -51), [10, 4, 0], 3.17.ah_v_abz 
(-7, 21, -34), [10, 4, 0], 3.17.ah_v_abi 
(-7, 22, -68), [10, 5, 0], 3.17.ah_w_acq 
(-7, 22, -34), [10, 5, 0], 3.17.ah_w_abi 
(-7, 23, -85), [10, 6, 0], 3.17.ah_x_adh 
(-7, 23, -68), [10, 6, 0], 3.17.ah_x_acq 
(-7, 23, -51), [10, 6, 0], 3.17.ah_x_abz 
(-7, 24, -68), [10, 7, 0], 3.17.ah_y_acq 
(-7, 25, -102), [10, 8, 0], 3.17.ah_z_ady 
(-7, 25, -85), [10, 8, 0], 3.17.ah_z_adh 
(-7, 25, -51), [10, 8, 0], 3.17.ah_z_abz 
(-7, 26, -68), [10, 9, 0], 3.17.ah_ba_acq 
(-7, 27, -119), [10, 10, 0], 3.17.ah_bb_aep 
(-7, 27, -102), [10, 10, 0], 3.17.ah_bb_ady 
(-7, 27, -85), [10, 10, 0], 3.17.ah_bb_adh 
(-7, 28, -102), [10, 11, 0], 3.17.ah_bc_ady 
(-7, 28, -68), [10, 11, 0], 3.17.ah_bc_acq 
(-7, 29, -119), [10, 12, 0], 3.17.ah_bd_aep 
(-7, 29, -85), [10, 12, 0], 3.17.ah_bd_adh 
(-7, 30, -136), [10, 13, 0], 3.17.ah_be_afg 
(-7, 30, -102), [10, 13, 0], 3.17.ah_be_ady 
(-7, 31, -153), [10, 14, 0], 3.17.ah_bf_afx 
(-7, 31, -136), [10, 14, 0], 3.17.ah_bf_afg 
(-7, 31, -119), [10, 14, 0], 3.17.ah_bf_aep 
(-7, 31, -102), [10, 14, 0], 3.17.ah_bf_ady 
(-7, 31, -85), [10, 14, 0], 3.17.ah_bf_adh 
(-7, 32, -136), [10, 15, 0], 3.17.ah_bg_afg 
(-7, 32, -102), [10, 15, 0], 3.17.ah_bg_ady 
(-7, 33, -170), [10, 16, 0], 3.17.ah_bh_ago 
(-7, 33, -153), [10, 16, 0], 3.17.ah_bh_afx 
(-7, 33, -136), [10, 16, 0], 3.17.ah_bh_afg 
(-7, 33, -119), [10, 16, 0], 3.17.ah_bh_aep 
(-7, 33, -102), [10, 16, 0], 3.17.ah_bh_ady 
(-7, 35, -187), [10, 1, 0], 3.17.ah_bj_ahf 
(-7, 35, -170), [10, 1, 0], 3.17.ah_bj_ago 
(-7, 35, -153), [10, 1, 0], 3.17.ah_bj_afx 
(-7, 35, -136), [10, 1, 0], 3.17.ah_bj_afg 
(-7, 35, -119), [10, 1, 0], 3.17.ah_bj_aep 
(-7, 36, -170), [10, 2, 0], 3.17.ah_bk_ago 
