(-9, 41, -153), [3, 1, 3], 3.17.aj_bp_afx 
(-9, 41, -136), [3, 1, 0], 3.17.aj_bp_afg 
(-9, 43, -187), [3, 3, 1], 3.17.aj_br_ahf 
(-9, 43, -170), [3, 3, 2], 3.17.aj_br_ago 
(-9, 43, -153), [3, 3, 3], 3.17.aj_br_afx 
(-9, 44, -170), [3, 0, 2], 3.17.aj_bs_ago 
(-9, 45, -204), [3, 1, 0], 3.17.aj_bt_ahw 
(-9, 45, -187), [3, 1, 1], 3.17.aj_bt_ahf 
(-9, 45, -170), [3, 1, 2], 3.17.aj_bt_ago 
(-9, 46, -204), [3, 2, 0], 3.17.aj_bu_ahw 
(-9, 46, -170), [3, 2, 2], 3.17.aj_bu_ago 
(-9, 47, -221), [3, 3, 3], 3.17.aj_bv_ain 
(-9, 47, -204), [3, 3, 0], 3.17.aj_bv_ahw 
(-9, 47, -187), [3, 3, 1], 3.17.aj_bv_ahf 
(-9, 48, -204), [3, 0, 0], 3.17.aj_bw_ahw 
(-9, 49, -238), [3, 1, 2], 3.17.aj_bx_aje 
(-9, 49, -221), [3, 1, 3], 3.17.aj_bx_ain 
(-9, 49, -187), [3, 1, 1], 3.17.aj_bx_ahf 
(-9, 50, -238), [3, 2, 2], 3.17.aj_by_aje 
(-9, 50, -204), [3, 2, 0], 3.17.aj_by_ahw 
(-9, 52, -238), [3, 0, 2], 3.17.aj_ca_aje 
(-9, 53, -255), [3, 1, 1], 3.17.aj_cb_ajv 
(-9, 53, -238), [3, 1, 2], 3.17.aj_cb_aje 
(-9, 53, -221), [3, 1, 3], 3.17.aj_cb_ain 
(-9, 54, -272), [3, 2, 0], 3.17.aj_cc_akm 
(-9, 55, -272), [3, 3, 0], 3.17.aj_cd_akm 
(-9, 55, -255), [3, 3, 1], 3.17.aj_cd_ajv 
(-9, 55, -238), [3, 3, 2], 3.17.aj_cd_aje 
(-9, 56, -272), [3, 0, 0], 3.17.aj_ce_akm 
(-9, 56, -238), [3, 0, 2], 3.17.aj_ce_aje 
(-9, 57, -289), [3, 1, 3], 3.17.aj_cf_ald 
(-9, 57, -272), [3, 1, 0], 3.17.aj_cf_akm 
