(-9, 34, -114), [10, 15, 0], 3.19.aj_bi_aek 
(-9, 35, -114), [10, 16, 0], 3.19.aj_bj_aek 
(-9, 35, -95), [10, 16, 0], 3.19.aj_bj_adr 
(-9, 36, -114), [10, 17, 0], 3.19.aj_bk_aek 
(-9, 37, -133), [10, 18, 0], 3.19.aj_bl_afd 
(-9, 39, -133), [10, 1, 0], 3.19.aj_bn_afd 
(-9, 40, -152), [10, 2, 0], 3.19.aj_bo_afw 
(-9, 41, -171), [10, 3, 0], 3.19.aj_bp_agp 
(-9, 41, -152), [10, 3, 0], 3.19.aj_bp_afw 
(-9, 41, -133), [10, 3, 0], 3.19.aj_bp_afd 
(-9, 42, -152), [10, 4, 0], 3.19.aj_bq_afw 
(-9, 43, -171), [10, 5, 0], 3.19.aj_br_agp 
(-9, 43, -152), [10, 5, 0], 3.19.aj_br_afw 
(-9, 44, -190), [10, 6, 0], 3.19.aj_bs_ahi 
(-9, 44, -152), [10, 6, 0], 3.19.aj_bs_afw 
(-9, 45, -209), [10, 7, 0], 3.19.aj_bt_aib 
(-9, 45, -190), [10, 7, 0], 3.19.aj_bt_ahi 
(-9, 45, -171), [10, 7, 0], 3.19.aj_bt_agp 
(-9, 47, -228), [10, 9, 0], 3.19.aj_bv_aiu 
(-9, 47, -209), [10, 9, 0], 3.19.aj_bv_aib 
(-9, 47, -190), [10, 9, 0], 3.19.aj_bv_ahi 
(-9, 48, -228), [10, 10, 0], 3.19.aj_bw_aiu 
(-9, 48, -190), [10, 10, 0], 3.19.aj_bw_ahi 
(-9, 49, -247), [10, 11, 0], 3.19.aj_bx_ajn 
(-9, 49, -228), [10, 11, 0], 3.19.aj_bx_aiu 
(-9, 49, -209), [10, 11, 0], 3.19.aj_bx_aib 
(-9, 49, -190), [10, 11, 0], 3.19.aj_bx_ahi 
(-9, 50, -228), [10, 12, 0], 3.19.aj_by_aiu 
(-9, 51, -266), [10, 13, 0], 3.19.aj_bz_akg 
(-9, 51, -247), [10, 13, 0], 3.19.aj_bz_ajn 
(-9, 51, -228), [10, 13, 0], 3.19.aj_bz_aiu 
(-9, 51, -209), [10, 13, 0], 3.19.aj_bz_aib 
(-9, 52, -266), [10, 14, 0], 3.19.aj_ca_akg 
(-9, 52, -228), [10, 14, 0], 3.19.aj_ca_aiu 
(-9, 53, -285), [10, 15, 0], 3.19.aj_cb_akz 
(-9, 53, -266), [10, 15, 0], 3.19.aj_cb_akg 
(-9, 53, -247), [10, 15, 0], 3.19.aj_cb_ajn 
(-9, 53, -228), [10, 15, 0], 3.19.aj_cb_aiu 
(-9, 54, -266), [10, 16, 0], 3.19.aj_cc_akg 
(-9, 54, -228), [10, 16, 0], 3.19.aj_cc_aiu 
(-9, 55, -285), [10, 17, 0], 3.19.aj_cd_akz 
(-9, 55, -266), [10, 17, 0], 3.19.aj_cd_akg 
(-9, 55, -247), [10, 17, 0], 3.19.aj_cd_ajn 
(-9, 55, -228), [10, 17, 0], 3.19.aj_cd_aiu 
(-9, 56, -304), [10, 18, 0], 3.19.aj_ce_als 
(-9, 56, -266), [10, 18, 0], 3.19.aj_ce_akg 
(-9, 58, -304), [10, 1, 0], 3.19.aj_cg_als 
(-9, 59, -323), [10, 2, 0], 3.19.aj_ch_aml 
(-9, 59, -304), [10, 2, 0], 3.19.aj_ch_als 
(-9, 59, -285), [10, 2, 0], 3.19.aj_ch_akz 
(-9, 59, -266), [10, 2, 0], 3.19.aj_ch_akg 
(-9, 59, -247), [10, 2, 0], 3.19.aj_ch_ajn 
(-9, 60, -304), [10, 3, 0], 3.19.aj_ci_als 
(-9, 60, -266), [10, 3, 0], 3.19.aj_ci_akg 
(-9, 61, -323), [10, 4, 0], 3.19.aj_cj_aml 
(-9, 61, -304), [10, 4, 0], 3.19.aj_cj_als 
(-9, 61, -285), [10, 4, 0], 3.19.aj_cj_akz 
(-9, 61, -266), [10, 4, 0], 3.19.aj_cj_akg 
(-9, 62, -304), [10, 5, 0], 3.19.aj_ck_als 
(-9, 62, -266), [10, 5, 0], 3.19.aj_ck_akg 
(-9, 63, -323), [10, 6, 0], 3.19.aj_cl_aml 
(-9, 63, -304), [10, 6, 0], 3.19.aj_cl_als 
(-9, 63, -285), [10, 6, 0], 3.19.aj_cl_akz 
(-9, 64, -304), [10, 7, 0], 3.19.aj_cm_als 
(-9, 65, -323), [10, 8, 0], 3.19.aj_cn_aml 
(-9, 65, -304), [10, 8, 0], 3.19.aj_cn_als 
(-9, 65, -285), [10, 8, 0], 3.19.aj_cn_akz 
(-9, 66, -304), [10, 9, 0], 3.19.aj_co_als 
(-9, 67, -323), [10, 10, 0], 3.19.aj_cp_aml 
(-9, 67, -304), [10, 10, 0], 3.19.aj_cp_als 
(-9, 68, -304), [10, 11, 0], 3.19.aj_cq_als 
(-9, 69, -323), [10, 12, 0], 3.19.aj_cr_aml 
(-9, 69, -304), [10, 12, 0], 3.19.aj_cr_als 
(-9, 71, -323), [10, 14, 0], 3.19.aj_ct_aml 
(-9, 73, -323), [10, 16, 0], 3.19.aj_cv_aml 
(-9, 81, -361), [10, 5, 0], 3.19.aj_dd_anx 
(-8, -10, 228), [11, 9, 0], 3.19.ai_ak_iu 
(-8, -3, 171), [11, 16, 0], 3.19.ai_ad_gp 
(-8, -1, 152), [11, 18, 0], 3.19.ai_ab_fw 
(-8, 3, 114), [11, 3, 0], 3.19.ai_d_ek 
(-8, 4, 114), [11, 4, 0], 3.19.ai_e_ek 
(-8, 5, 114), [11, 5, 0], 3.19.ai_f_ek 
(-8, 8, 76), [11, 8, 0], 3.19.ai_i_cy 
(-8, 9, 76), [11, 9, 0], 3.19.ai_j_cy 
(-8, 10, 76), [11, 10, 0], 3.19.ai_k_cy 
(-8, 11, 57), [11, 11, 0], 3.19.ai_l_cf 
(-8, 13, 38), [11, 13, 0], 3.19.ai_n_bm 
(-8, 14, 38), [11, 14, 0], 3.19.ai_o_bm 
(-8, 15, 19), [11, 15, 0], 3.19.ai_p_t 
(-8, 15, 38), [11, 15, 0], 3.19.ai_p_bm 
(-8, 16, 0), [11, 16, 0], 3.19.ai_q_a 
(-8, 17, 0), [11, 17, 0], 3.19.ai_r_a 
(-8, 17, 19), [11, 17, 0], 3.19.ai_r_t 
(-8, 18, 0), [11, 18, 0], 3.19.ai_s_a 
(-8, 20, 0), [11, 1, 0], 3.19.ai_u_a 
(-8, 21, -38), [11, 2, 0], 3.19.ai_v_abm 
(-8, 21, -19), [11, 2, 0], 3.19.ai_v_at 
