(-4, 20, -65), [9, 7, 0], 3.13.ae_u_acn 
(-4, 20, -39), [9, 7, 0], 3.13.ae_u_abn 
(-4, 22, -117), [9, 9, 0], 3.13.ae_w_aen 
(-4, 22, -91), [9, 9, 0], 3.13.ae_w_adn 
(-4, 22, -65), [9, 9, 0], 3.13.ae_w_acn 
(-4, 22, -39), [9, 9, 0], 3.13.ae_w_abn 
(-4, 24, -91), [9, 11, 0], 3.13.ae_y_adn 
(-4, 24, -65), [9, 11, 0], 3.13.ae_y_acn 
(-4, 28, -91), [9, 2, 0], 3.13.ae_bc_adn 
(-4, 28, -65), [9, 2, 0], 3.13.ae_bc_acn 
(-4, 30, -91), [9, 4, 0], 3.13.ae_be_adn 
(-4, 32, -91), [9, 6, 0], 3.13.ae_bg_adn 
(-4, 34, -91), [9, 8, 0], 3.13.ae_bi_adn 
(-4, 36, -91), [9, 10, 0], 3.13.ae_bk_adn 
(-3, -12, 78), [10, 1, 0], 3.13.ad_am_da 
(-3, -10, 65), [10, 3, 0], 3.13.ad_ak_cn 
(-3, -10, 91), [10, 3, 0], 3.13.ad_ak_dn 
(-3, -8, 65), [10, 5, 0], 3.13.ad_ai_cn 
(-3, -8, 91), [10, 5, 0], 3.13.ad_ai_dn 
(-3, -6, 39), [10, 7, 0], 3.13.ad_ag_bn 
(-3, -6, 65), [10, 7, 0], 3.13.ad_ag_cn 
(-3, -6, 91), [10, 7, 0], 3.13.ad_ag_dn 
(-3, -4, 39), [10, 9, 0], 3.13.ad_ae_bn 
(-3, -4, 65), [10, 9, 0], 3.13.ad_ae_cn 
(-3, -2, 39), [10, 11, 0], 3.13.ad_ac_bn 
(-3, -2, 65), [10, 11, 0], 3.13.ad_ac_cn 
(-3, 2, -13), [10, 2, 0], 3.13.ad_c_an 
(-3, 2, 13), [10, 2, 0], 3.13.ad_c_n 
(-3, 2, 39), [10, 2, 0], 3.13.ad_c_bn 
(-3, 4, -39), [10, 4, 0], 3.13.ad_e_abn 
(-3, 4, -13), [10, 4, 0], 3.13.ad_e_an 
(-3, 4, 13), [10, 4, 0], 3.13.ad_e_n 
(-3, 4, 39), [10, 4, 0], 3.13.ad_e_bn 
(-3, 6, -39), [10, 6, 0], 3.13.ad_g_abn 
(-3, 6, -13), [10, 6, 0], 3.13.ad_g_an 
(-3, 6, 13), [10, 6, 0], 3.13.ad_g_n 
(-3, 6, 39), [10, 6, 0], 3.13.ad_g_bn 
(-3, 8, -65), [10, 8, 0], 3.13.ad_i_acn 
(-3, 8, -39), [10, 8, 0], 3.13.ad_i_abn 
(-3, 8, -13), [10, 8, 0], 3.13.ad_i_an 
(-3, 8, 13), [10, 8, 0], 3.13.ad_i_n 
(-3, 10, -65), [10, 10, 0], 3.13.ad_k_acn 
(-3, 10, -39), [10, 10, 0], 3.13.ad_k_abn 
(-3, 10, -13), [10, 10, 0], 3.13.ad_k_an 
(-3, 10, 13), [10, 10, 0], 3.13.ad_k_n 
(-3, 12, -91), [10, 12, 0], 3.13.ad_m_adn 
(-3, 12, -65), [10, 12, 0], 3.13.ad_m_acn 
(-3, 12, -39), [10, 12, 0], 3.13.ad_m_abn 
(-3, 12, 13), [10, 12, 0], 3.13.ad_m_n 
(-3, 14, -91), [10, 1, 0], 3.13.ad_o_adn 
(-3, 14, -65), [10, 1, 0], 3.13.ad_o_acn 
(-3, 14, -39), [10, 1, 0], 3.13.ad_o_abn 
(-3, 14, -13), [10, 1, 0], 3.13.ad_o_an 
(-3, 16, -91), [10, 3, 0], 3.13.ad_q_adn 
(-3, 16, -65), [10, 3, 0], 3.13.ad_q_acn 
(-3, 16, -39), [10, 3, 0], 3.13.ad_q_abn 
(-3, 18, -91), [10, 5, 0], 3.13.ad_s_adn 
(-3, 18, -65), [10, 5, 0], 3.13.ad_s_acn 
(-3, 18, -39), [10, 5, 0], 3.13.ad_s_abn 
(-3, 18, -13), [10, 5, 0], 3.13.ad_s_an 
(-3, 20, -91), [10, 7, 0], 3.13.ad_u_adn 
(-3, 20, -65), [10, 7, 0], 3.13.ad_u_acn 
(-3, 20, -39), [10, 7, 0], 3.13.ad_u_abn 
(-3, 22, -65), [10, 9, 0], 3.13.ad_w_acn 
(-3, 22, -39), [10, 9, 0], 3.13.ad_w_abn 
(-3, 24, -65), [10, 11, 0], 3.13.ad_y_acn 
(-3, 24, -39), [10, 11, 0], 3.13.ad_y_abn 
(-3, 30, -65), [10, 4, 0], 3.13.ad_be_acn 
(-3, 32, -65), [10, 6, 0], 3.13.ad_bg_acn 
(-3, 34, -65), [10, 8, 0], 3.13.ad_bi_acn 
(-2, -11, 65), [11, 2, 0], 3.13.ac_al_cn 
(-2, -10, 39), [11, 3, 0], 3.13.ac_ak_bn 
(-2, -10, 65), [11, 3, 0], 3.13.ac_ak_cn 
(-2, -8, 39), [11, 5, 0], 3.13.ac_ai_bn 
(-2, -8, 65), [11, 5, 0], 3.13.ac_ai_cn 
(-2, -6, 13), [11, 7, 0], 3.13.ac_ag_n 
(-2, -6, 39), [11, 7, 0], 3.13.ac_ag_bn 
(-2, -6, 65), [11, 7, 0], 3.13.ac_ag_cn 
(-2, -6, 91), [11, 7, 0], 3.13.ac_ag_dn 
(-2, -4, 13), [11, 9, 0], 3.13.ac_ae_n 
(-2, -4, 39), [11, 9, 0], 3.13.ac_ae_bn 
