(-9, 20, 23), [14, 20, 0], 3.23.aj_u_x 
(-9, 22, 23), [14, 22, 0], 3.23.aj_w_x 
(-9, 24, -23), [14, 1, 0], 3.23.aj_y_ax 
(-9, 26, -23), [14, 3, 0], 3.23.aj_ba_ax 
(-9, 28, -69), [14, 5, 0], 3.23.aj_bc_acr 
(-9, 28, -23), [14, 5, 0], 3.23.aj_bc_ax 
(-9, 30, -69), [14, 7, 0], 3.23.aj_be_acr 
(-9, 32, -69), [14, 9, 0], 3.23.aj_bg_acr 
(-9, 34, -115), [14, 11, 0], 3.23.aj_bi_ael 
(-9, 34, -69), [14, 11, 0], 3.23.aj_bi_acr 
(-9, 36, -115), [14, 13, 0], 3.23.aj_bk_ael 
(-9, 38, -161), [14, 15, 0], 3.23.aj_bm_agf 
(-9, 38, -115), [14, 15, 0], 3.23.aj_bm_ael 
(-9, 40, -161), [14, 17, 0], 3.23.aj_bo_agf 
(-9, 40, -115), [14, 17, 0], 3.23.aj_bo_ael 
(-9, 42, -207), [14, 19, 0], 3.23.aj_bq_ahz 
(-9, 42, -161), [14, 19, 0], 3.23.aj_bq_agf 
(-9, 44, -207), [14, 21, 0], 3.23.aj_bs_ahz 
(-9, 44, -161), [14, 21, 0], 3.23.aj_bs_agf 
(-9, 48, -253), [14, 2, 0], 3.23.aj_bw_ajt 
(-9, 48, -207), [14, 2, 0], 3.23.aj_bw_ahz 
(-9, 50, -253), [14, 4, 0], 3.23.aj_by_ajt 
(-9, 50, -207), [14, 4, 0], 3.23.aj_by_ahz 
(-9, 52, -299), [14, 6, 0], 3.23.aj_ca_aln 
(-9, 52, -253), [14, 6, 0], 3.23.aj_ca_ajt 
(-9, 52, -207), [14, 6, 0], 3.23.aj_ca_ahz 
(-9, 54, -299), [14, 8, 0], 3.23.aj_cc_aln 
(-9, 54, -253), [14, 8, 0], 3.23.aj_cc_ajt 
(-9, 56, -299), [14, 10, 0], 3.23.aj_ce_aln 
(-9, 56, -253), [14, 10, 0], 3.23.aj_ce_ajt 
(-9, 58, -345), [14, 12, 0], 3.23.aj_cg_anh 
(-9, 58, -299), [14, 12, 0], 3.23.aj_cg_aln 
(-9, 58, -253), [14, 12, 0], 3.23.aj_cg_ajt 
(-9, 60, -345), [14, 14, 0], 3.23.aj_ci_anh 
(-9, 60, -299), [14, 14, 0], 3.23.aj_ci_aln 
(-9, 62, -391), [14, 16, 0], 3.23.aj_ck_apb 
(-9, 62, -345), [14, 16, 0], 3.23.aj_ck_anh 
(-9, 62, -299), [14, 16, 0], 3.23.aj_ck_aln 
(-9, 64, -391), [14, 18, 0], 3.23.aj_cm_apb 
(-9, 64, -299), [14, 18, 0], 3.23.aj_cm_aln 
(-9, 66, -391), [14, 20, 0], 3.23.aj_co_apb 
(-9, 66, -345), [14, 20, 0], 3.23.aj_co_anh 
(-9, 68, -391), [14, 22, 0], 3.23.aj_cq_apb 
(-9, 68, -345), [14, 22, 0], 3.23.aj_cq_anh 
(-9, 70, -391), [14, 1, 0], 3.23.aj_cs_apb 
(-9, 70, -345), [14, 1, 0], 3.23.aj_cs_anh 
(-9, 72, -391), [14, 3, 0], 3.23.aj_cu_apb 
(-9, 72, -345), [14, 3, 0], 3.23.aj_cu_anh 
(-9, 74, -391), [14, 5, 0], 3.23.aj_cw_apb 
(-9, 74, -345), [14, 5, 0], 3.23.aj_cw_anh 
(-9, 76, -391), [14, 7, 0], 3.23.aj_cy_apb 
(-9, 78, -391), [14, 9, 0], 3.23.aj_da_apb 
(-9, 80, -391), [14, 11, 0], 3.23.aj_dc_apb 
(-9, 84, -391), [14, 15, 0], 3.23.aj_dg_apb 
(-8, -22, 368), [15, 1, 0], 3.23.ai_aw_oe 
(-8, -20, 345), [15, 3, 0], 3.23.ai_au_nh 
(-8, -14, 299), [15, 9, 0], 3.23.ai_ao_ln 
(-8, -11, 253), [15, 12, 0], 3.23.ai_al_jt 
(-8, -10, 253), [15, 13, 0], 3.23.ai_ak_jt 
(-8, -6, 207), [15, 17, 0], 3.23.ai_ag_hz 
(-8, -4, 207), [15, 19, 0], 3.23.ai_ae_hz 
(-8, 2, 161), [15, 2, 0], 3.23.ai_c_gf 
(-8, 4, 115), [15, 4, 0], 3.23.ai_e_el 
(-8, 6, 115), [15, 6, 0], 3.23.ai_g_el 
(-8, 8, 115), [15, 8, 0], 3.23.ai_i_el 
(-8, 10, 69), [15, 10, 0], 3.23.ai_k_cr 
(-8, 12, 69), [15, 12, 0], 3.23.ai_m_cr 
(-8, 13, 23), [15, 13, 0], 3.23.ai_n_x 
(-8, 14, 23), [15, 14, 0], 3.23.ai_o_x 
(-8, 14, 69), [15, 14, 0], 3.23.ai_o_cr 
(-8, 16, 23), [15, 16, 0], 3.23.ai_q_x 
(-8, 18, -23), [15, 18, 0], 3.23.ai_s_ax 
