(-2, 13, -12), [2, 1, 0], 3.8.ac_n_am 
(-2, 15, -36), [2, 3, 0], 3.8.ac_p_abk 
(-2, 15, -20), [2, 3, 0], 3.8.ac_p_au 
(-2, 17, -28), [2, 1, 0], 3.8.ac_r_abc 
(-2, 19, -24), [2, 3, 0], 3.8.ac_t_ay 
(0, -5, -16), [0, 3, 0], 3.8.a_af_aq 
(0, -5, -12), [0, 3, 0], 3.8.a_af_am 
(0, -5, -8), [0, 3, 0], 3.8.a_af_ai 
(0, -5, -4), [0, 3, 0], 3.8.a_af_ae 
(0, -5, 4), [0, 3, 0], 3.8.a_af_e 
(0, -5, 8), [0, 3, 0], 3.8.a_af_i 
(0, -5, 12), [0, 3, 0], 3.8.a_af_m 
(0, -5, 16), [0, 3, 0], 3.8.a_af_q 
(0, -3, -28), [0, 1, 0], 3.8.a_ad_abc 
(0, -3, -24), [0, 1, 0], 3.8.a_ad_ay 
(0, -3, -16), [0, 1, 0], 3.8.a_ad_aq 
(0, -3, -12), [0, 1, 0], 3.8.a_ad_am 
(0, -3, -8), [0, 1, 0], 3.8.a_ad_ai 
(0, -3, -4), [0, 1, 0], 3.8.a_ad_ae 
(0, -3, 4), [0, 1, 0], 3.8.a_ad_e 
(0, -3, 8), [0, 1, 0], 3.8.a_ad_i 
(0, -3, 12), [0, 1, 0], 3.8.a_ad_m 
(0, -3, 16), [0, 1, 0], 3.8.a_ad_q 
(0, -3, 24), [0, 1, 0], 3.8.a_ad_y 
(0, -3, 28), [0, 1, 0], 3.8.a_ad_bc 
(0, -1, -32), [0, 3, 0], 3.8.a_ab_abg 
(0, -1, -28), [0, 3, 0], 3.8.a_ab_abc 
(0, -1, -20), [0, 3, 0], 3.8.a_ab_au 
(0, -1, -16), [0, 3, 0], 3.8.a_ab_aq 
(0, -1, -12), [0, 3, 0], 3.8.a_ab_am 
(0, -1, -8), [0, 3, 0], 3.8.a_ab_ai 
(0, -1, -4), [0, 3, 0], 3.8.a_ab_ae 
(0, -1, 4), [0, 3, 0], 3.8.a_ab_e 
(0, -1, 8), [0, 3, 0], 3.8.a_ab_i 
(0, -1, 12), [0, 3, 0], 3.8.a_ab_m 
(0, -1, 16), [0, 3, 0], 3.8.a_ab_q 
(0, -1, 20), [0, 3, 0], 3.8.a_ab_u 
(0, -1, 28), [0, 3, 0], 3.8.a_ab_bc 
(0, -1, 32), [0, 3, 0], 3.8.a_ab_bg 
(0, 1, -32), [0, 1, 0], 3.8.a_b_abg 
(0, 1, -24), [0, 1, 0], 3.8.a_b_ay 
(0, 1, -20), [0, 1, 0], 3.8.a_b_au 
(0, 1, -16), [0, 1, 0], 3.8.a_b_aq 
(0, 1, -12), [0, 1, 0], 3.8.a_b_am 
(0, 1, -8), [0, 1, 0], 3.8.a_b_ai 
(0, 1, -4), [0, 1, 0], 3.8.a_b_ae 
(0, 1, 4), [0, 1, 0], 3.8.a_b_e 
(0, 1, 8), [0, 1, 0], 3.8.a_b_i 
(0, 1, 12), [0, 1, 0], 3.8.a_b_m 
(0, 1, 16), [0, 1, 0], 3.8.a_b_q 
(0, 1, 20), [0, 1, 0], 3.8.a_b_u 
(0, 1, 24), [0, 1, 0], 3.8.a_b_y 
(0, 1, 32), [0, 1, 0], 3.8.a_b_bg 
(0, 3, -32), [0, 3, 0], 3.8.a_d_abg 
(0, 3, -28), [0, 3, 0], 3.8.a_d_abc 
(0, 3, -24), [0, 3, 0], 3.8.a_d_ay 
(0, 3, -16), [0, 3, 0], 3.8.a_d_aq 
(0, 3, -12), [0, 3, 0], 3.8.a_d_am 
(0, 3, -8), [0, 3, 0], 3.8.a_d_ai 
(0, 3, -4), [0, 3, 0], 3.8.a_d_ae 
(0, 3, 4), [0, 3, 0], 3.8.a_d_e 
(0, 3, 8), [0, 3, 0], 3.8.a_d_i 
(0, 3, 12), [0, 3, 0], 3.8.a_d_m 
(0, 3, 16), [0, 3, 0], 3.8.a_d_q 
(0, 3, 24), [0, 3, 0], 3.8.a_d_y 
(0, 3, 28), [0, 3, 0], 3.8.a_d_bc 
(0, 3, 32), [0, 3, 0], 3.8.a_d_bg 
(0, 5, -28), [0, 1, 0], 3.8.a_f_abc 
(0, 5, -20), [0, 1, 0], 3.8.a_f_au 
(0, 5, -16), [0, 1, 0], 3.8.a_f_aq 
(0, 5, -8), [0, 1, 0], 3.8.a_f_ai 
(0, 5, -4), [0, 1, 0], 3.8.a_f_ae 
(0, 5, 4), [0, 1, 0], 3.8.a_f_e 
(0, 5, 8), [0, 1, 0], 3.8.a_f_i 
(0, 5, 16), [0, 1, 0], 3.8.a_f_q 
