(-13, 107, -575), [10, 15, 0], 3.23.an_ed_awd 
(-13, 109, -621), [10, 17, 0], 3.23.an_ef_axx 
(-13, 111, -621), [10, 19, 0], 3.23.an_eh_axx 
(-13, 113, -621), [10, 21, 0], 3.23.an_ej_axx 
(-13, 116, -644), [10, 1, 0], 3.23.an_em_ayu 
(-13, 117, -644), [10, 2, 0], 3.23.an_en_ayu 
(-13, 118, -644), [10, 3, 0], 3.23.an_eo_ayu 
(-12, 47, -115), [11, 1, 0], 3.23.am_bv_ael 
(-12, 49, -138), [11, 3, 0], 3.23.am_bx_afi 
(-12, 54, -184), [11, 8, 0], 3.23.am_cc_ahc 
(-12, 57, -207), [11, 11, 0], 3.23.am_cf_ahz 
(-12, 59, -230), [11, 13, 0], 3.23.am_ch_aiw 
(-12, 60, -230), [11, 14, 0], 3.23.am_ci_aiw 
(-12, 61, -253), [11, 15, 0], 3.23.am_cj_ajt 
(-12, 63, -253), [11, 17, 0], 3.23.am_cl_ajt 
(-12, 64, -276), [11, 18, 0], 3.23.am_cm_akq 
(-12, 65, -276), [11, 19, 0], 3.23.am_cn_akq 
(-12, 66, -276), [11, 20, 0], 3.23.am_co_akq 
(-12, 67, -299), [11, 21, 0], 3.23.am_cp_aln 
(-12, 70, -322), [11, 1, 0], 3.23.am_cs_amk 
(-12, 71, -345), [11, 2, 0], 3.23.am_ct_anh 
(-12, 71, -322), [11, 2, 0], 3.23.am_ct_amk 
(-12, 72, -322), [11, 3, 0], 3.23.am_cu_amk 
(-12, 73, -368), [11, 4, 0], 3.23.am_cv_aoe 
(-12, 74, -368), [11, 5, 0], 3.23.am_cw_aoe 
(-12, 75, -368), [11, 6, 0], 3.23.am_cx_aoe 
(-12, 75, -345), [11, 6, 0], 3.23.am_cx_anh 
(-12, 76, -368), [11, 7, 0], 3.23.am_cy_aoe 
(-12, 77, -391), [11, 8, 0], 3.23.am_cz_apb 
(-12, 77, -368), [11, 8, 0], 3.23.am_cz_aoe 
(-12, 78, -414), [11, 9, 0], 3.23.am_da_apy 
(-12, 79, -414), [11, 10, 0], 3.23.am_db_apy 
(-12, 79, -391), [11, 10, 0], 3.23.am_db_apb 
(-12, 80, -414), [11, 11, 0], 3.23.am_dc_apy 
(-12, 81, -414), [11, 12, 0], 3.23.am_dd_apy 
(-12, 83, -460), [11, 14, 0], 3.23.am_df_ars 
