(-5, -14, 171), [14, 5, 0], 3.19.af_ao_gp 
(-5, -12, 133), [14, 7, 0], 3.19.af_am_fd 
(-5, -12, 171), [14, 7, 0], 3.19.af_am_gp 
(-5, -10, 133), [14, 9, 0], 3.19.af_ak_fd 
(-5, -10, 171), [14, 9, 0], 3.19.af_ak_gp 
(-5, -8, 95), [14, 11, 0], 3.19.af_ai_dr 
(-5, -8, 133), [14, 11, 0], 3.19.af_ai_fd 
(-5, -6, 95), [14, 13, 0], 3.19.af_ag_dr 
(-5, -6, 133), [14, 13, 0], 3.19.af_ag_fd 
(-5, -4, 95), [14, 15, 0], 3.19.af_ae_dr 
(-5, -4, 133), [14, 15, 0], 3.19.af_ae_fd 
(-5, -2, 57), [14, 17, 0], 3.19.af_ac_cf 
(-5, -2, 95), [14, 17, 0], 3.19.af_ac_dr 
(-5, 2, 19), [14, 2, 0], 3.19.af_c_t 
(-5, 2, 57), [14, 2, 0], 3.19.af_c_cf 
(-5, 2, 95), [14, 2, 0], 3.19.af_c_dr 
(-5, 4, 19), [14, 4, 0], 3.19.af_e_t 
(-5, 4, 57), [14, 4, 0], 3.19.af_e_cf 
(-5, 6, 19), [14, 6, 0], 3.19.af_g_t 
(-5, 6, 57), [14, 6, 0], 3.19.af_g_cf 
(-5, 8, -19), [14, 8, 0], 3.19.af_i_at 
(-5, 8, 19), [14, 8, 0], 3.19.af_i_t 
(-5, 8, 57), [14, 8, 0], 3.19.af_i_cf 
(-5, 10, -57), [14, 10, 0], 3.19.af_k_acf 
(-5, 10, -19), [14, 10, 0], 3.19.af_k_at 
(-5, 10, 19), [14, 10, 0], 3.19.af_k_t 
(-5, 12, -57), [14, 12, 0], 3.19.af_m_acf 
(-5, 12, -19), [14, 12, 0], 3.19.af_m_at 
(-5, 12, 19), [14, 12, 0], 3.19.af_m_t 
(-5, 14, -95), [14, 14, 0], 3.19.af_o_adr 
(-5, 14, -57), [14, 14, 0], 3.19.af_o_acf 
(-5, 14, -19), [14, 14, 0], 3.19.af_o_at 
