(-3, 12, -22), [1, 0, 2], 3.5.ad_m_aw 
(-3, 13, -29), [1, 1, 3], 3.5.ad_n_abd 
(-3, 13, -27), [1, 1, 1], 3.5.ad_n_abb 
(-3, 13, -23), [1, 1, 1], 3.5.ad_n_ax 
(-3, 14, -28), [1, 2, 0], 3.5.ad_o_abc 
(-3, 14, -26), [1, 2, 2], 3.5.ad_o_aba 
(-3, 15, -27), [1, 3, 1], 3.5.ad_p_abb 
(-2, -4, 16), [2, 0, 0], 3.5.ac_ae_q 
(-2, -4, 22), [2, 0, 2], 3.5.ac_ae_w 
(-2, -3, 14), [2, 1, 2], 3.5.ac_ad_o 
(-2, -3, 19), [2, 1, 3], 3.5.ac_ad_t 
(-2, -3, 24), [2, 1, 0], 3.5.ac_ad_y 
(-2, -2, 12), [2, 2, 0], 3.5.ac_ac_m 
(-2, -2, 18), [2, 2, 2], 3.5.ac_ac_s 
(-2, -1, 3), [2, 3, 3], 3.5.ac_ab_d 
(-2, -1, 4), [2, 3, 0], 3.5.ac_ab_e 
(-2, -1, 6), [2, 3, 2], 3.5.ac_ab_g 
(-2, -1, 8), [2, 3, 0], 3.5.ac_ab_i 
(-2, -1, 9), [2, 3, 1], 3.5.ac_ab_j 
(-2, -1, 13), [2, 3, 1], 3.5.ac_ab_n 
(-2, -1, 14), [2, 3, 2], 3.5.ac_ab_o 
(-2, -1, 16), [2, 3, 0], 3.5.ac_ab_q 
(-2, -1, 17), [2, 3, 1], 3.5.ac_ab_r 
(-2, 0, -2), [2, 0, 2], 3.5.ac_a_ac 
(-2, 0, 2), [2, 0, 2], 3.5.ac_a_c 
(-2, 0, 4), [2, 0, 0], 3.5.ac_a_e 
(-2, 0, 6), [2, 0, 2], 3.5.ac_a_g 
(-2, 0, 12), [2, 0, 0], 3.5.ac_a_m 
(-2, 1, -4), [2, 1, 0], 3.5.ac_b_ae 
(-2, 1, -2), [2, 1, 2], 3.5.ac_b_ac 
(-2, 1, -1), [2, 1, 3], 3.5.ac_b_ab 
(-2, 1, 1), [2, 1, 1], 3.5.ac_b_b 
