(-5, 18, -47), [3, 2, 1], 3.7.af_s_abv 
(-5, 18, -45), [3, 2, 3], 3.7.af_s_abt 
(-5, 20, -69), [3, 0, 3], 3.7.af_u_acr 
(-5, 20, -67), [3, 0, 1], 3.7.af_u_acp 
(-5, 20, -61), [3, 0, 3], 3.7.af_u_acj 
(-5, 20, -59), [3, 0, 1], 3.7.af_u_ach 
(-5, 20, -57), [3, 0, 3], 3.7.af_u_acf 
(-5, 20, -55), [3, 0, 1], 3.7.af_u_acd 
(-5, 20, -53), [3, 0, 3], 3.7.af_u_acb 
(-5, 20, -51), [3, 0, 1], 3.7.af_u_abz 
(-5, 22, -69), [3, 2, 3], 3.7.af_w_acr 
(-5, 22, -68), [3, 2, 0], 3.7.af_w_acq 
(-5, 22, -65), [3, 2, 3], 3.7.af_w_acn 
(-5, 22, -61), [3, 2, 3], 3.7.af_w_acj 
(-5, 22, -59), [3, 2, 1], 3.7.af_w_ach 
(-5, 22, -57), [3, 2, 3], 3.7.af_w_acf 
(-5, 24, -67), [3, 0, 1], 3.7.af_y_acp 
(-5, 24, -65), [3, 0, 3], 3.7.af_y_acn 
(-5, 25, -67), [3, 1, 1], 3.7.af_z_acp 
(-5, 26, -69), [3, 2, 3], 3.7.af_ba_acr 
(-4, -6, 51), [0, 2, 3], 3.7.ae_ag_bz 
(-4, -6, 53), [0, 2, 1], 3.7.ae_ag_cb 
(-4, -6, 55), [0, 2, 3], 3.7.ae_ag_cd 
(-4, -5, 46), [0, 3, 2], 3.7.ae_af_bu 
(-4, -5, 50), [0, 3, 2], 3.7.ae_af_by 
(-4, -4, 41), [0, 0, 1], 3.7.ae_ae_bp 
(-4, -4, 43), [0, 0, 3], 3.7.ae_ae_br 
(-4, -4, 45), [0, 0, 1], 3.7.ae_ae_bt 
(-4, -4, 46), [0, 0, 2], 3.7.ae_ae_bu 
(-4, -3, 37), [0, 1, 1], 3.7.ae_ad_bl 
(-4, -3, 38), [0, 1, 2], 3.7.ae_ad_bm 
(-4, -3, 41), [0, 1, 1], 3.7.ae_ad_bp 
(-4, -2, 31), [0, 2, 3], 3.7.ae_ac_bf 
(-4, -2, 33), [0, 2, 1], 3.7.ae_ac_bh 
(-4, -2, 37), [0, 2, 1], 3.7.ae_ac_bl 
(-4, -1, 25), [0, 3, 1], 3.7.ae_ab_z 
(-4, -1, 27), [0, 3, 3], 3.7.ae_ab_bb 
(-4, -1, 30), [0, 3, 2], 3.7.ae_ab_be 
(-4, -1, 33), [0, 3, 1], 3.7.ae_ab_bh 
(-4, 0, 19), [0, 0, 3], 3.7.ae_a_t 
(-4, 0, 23), [0, 0, 3], 3.7.ae_a_x 
(-4, 0, 25), [0, 0, 1], 3.7.ae_a_z 
(-4, 0, 27), [0, 0, 3], 3.7.ae_a_bb 
(-4, 1, 22), [0, 1, 2], 3.7.ae_b_w 
(-4, 2, 9), [0, 2, 1], 3.7.ae_c_j 
(-4, 2, 11), [0, 2, 3], 3.7.ae_c_l 
(-4, 2, 13), [0, 2, 1], 3.7.ae_c_n 
(-4, 2, 15), [0, 2, 3], 3.7.ae_c_p 
(-4, 2, 17), [0, 2, 1], 3.7.ae_c_r 
(-4, 2, 19), [0, 2, 3], 3.7.ae_c_t 
(-4, 3, 5), [0, 3, 1], 3.7.ae_d_f 
(-4, 4, -1), [0, 0, 3], 3.7.ae_e_ab 
(-4, 4, 1), [0, 0, 1], 3.7.ae_e_b 
(-4, 4, 3), [0, 0, 3], 3.7.ae_e_d 
(-4, 4, 5), [0, 0, 1], 3.7.ae_e_f 
(-4, 4, 9), [0, 0, 1], 3.7.ae_e_j 
(-4, 4, 11), [0, 0, 3], 3.7.ae_e_l 
(-4, 6, -11), [0, 2, 1], 3.7.ae_g_al 
(-4, 6, -9), [0, 2, 3], 3.7.ae_g_aj 
(-4, 6, -5), [0, 2, 3], 3.7.ae_g_af 
(-4, 6, -3), [0, 2, 1], 3.7.ae_g_ad 
(-4, 6, -1), [0, 2, 3], 3.7.ae_g_ab 
(-4, 6, 1), [0, 2, 1], 3.7.ae_g_b 
(-4, 6, 3), [0, 2, 3], 3.7.ae_g_d 
(-4, 7, -17), [0, 3, 3], 3.7.ae_h_ar 
(-4, 7, -1), [0, 3, 3], 3.7.ae_h_ab 
(-4, 8, -23), [0, 0, 1], 3.7.ae_i_ax 
(-4, 8, -19), [0, 0, 1], 3.7.ae_i_at 
(-4, 8, -17), [0, 0, 3], 3.7.ae_i_ar 
(-4, 8, -15), [0, 0, 1], 3.7.ae_i_ap 
(-4, 8, -13), [0, 0, 3], 3.7.ae_i_an 
(-4, 8, -11), [0, 0, 1], 3.7.ae_i_al 
(-4, 8, -9), [0, 0, 3], 3.7.ae_i_aj 
(-4, 8, -5), [0, 0, 3], 3.7.ae_i_af 
(-4, 10, -33), [0, 2, 3], 3.7.ae_k_abh 
(-4, 10, -31), [0, 2, 1], 3.7.ae_k_abf 
(-4, 10, -29), [0, 2, 3], 3.7.ae_k_abd 
(-4, 10, -27), [0, 2, 1], 3.7.ae_k_abb 
(-4, 10, -25), [0, 2, 3], 3.7.ae_k_az 
(-4, 10, -23), [0, 2, 1], 3.7.ae_k_ax 
(-4, 10, -19), [0, 2, 1], 3.7.ae_k_at 
(-4, 10, -17), [0, 2, 3], 3.7.ae_k_ar 
(-4, 10, -15), [0, 2, 1], 3.7.ae_k_ap 
(-4, 10, -13), [0, 2, 3], 3.7.ae_k_an 
(-4, 12, -43), [0, 0, 1], 3.7.ae_m_abr 
(-4, 12, -41), [0, 0, 3], 3.7.ae_m_abp 
(-4, 12, -39), [0, 0, 1], 3.7.ae_m_abn 
(-4, 12, -37), [0, 0, 3], 3.7.ae_m_abl 
(-4, 12, -33), [0, 0, 3], 3.7.ae_m_abh 
(-4, 12, -31), [0, 0, 1], 3.7.ae_m_abf 
(-4, 12, -29), [0, 0, 3], 3.7.ae_m_abd 
(-4, 12, -27), [0, 0, 1], 3.7.ae_m_abb 
(-4, 12, -25), [0, 0, 3], 3.7.ae_m_az 
(-4, 12, -23), [0, 0, 1], 3.7.ae_m_ax 
(-4, 12, -19), [0, 0, 1], 3.7.ae_m_at 
(-4, 13, -47), [0, 1, 1], 3.7.ae_n_abv 
(-4, 14, -55), [0, 2, 1], 3.7.ae_o_acd 
(-4, 14, -53), [0, 2, 3], 3.7.ae_o_acb 
(-4, 14, -51), [0, 2, 1], 3.7.ae_o_abz 
(-4, 14, -47), [0, 2, 1], 3.7.ae_o_abv 
(-4, 14, -45), [0, 2, 3], 3.7.ae_o_abt 
(-4, 14, -43), [0, 2, 1], 3.7.ae_o_abr 
(-4, 14, -41), [0, 2, 3], 3.7.ae_o_abp 
(-4, 14, -39), [0, 2, 1], 3.7.ae_o_abn 
