(-17, 136, -741), [6, 21, 18], 3.23.ar_fg_abcn 
(-17, 136, -739), [6, 21, 20], 3.23.ar_fg_abcl 
(-17, 137, -752), [6, 22, 7], 3.23.ar_fh_abcy 
(-17, 138, -761), [6, 0, 21], 3.23.ar_fi_abdh 
(-17, 138, -757), [6, 0, 2], 3.23.ar_fi_abdd 
(-17, 140, -781), [6, 2, 1], 3.23.ar_fk_abeb 
(-17, 140, -780), [6, 2, 2], 3.23.ar_fk_abea 
(-17, 140, -779), [6, 2, 3], 3.23.ar_fk_abdz 
(-17, 140, -777), [6, 2, 5], 3.23.ar_fk_abdx 
(-17, 140, -775), [6, 2, 7], 3.23.ar_fk_abdv 
(-17, 140, -772), [6, 2, 10], 3.23.ar_fk_abds 
(-17, 141, -780), [6, 3, 2], 3.23.ar_fl_abea 
(-17, 142, -799), [6, 4, 6], 3.23.ar_fm_abet 
(-17, 142, -797), [6, 4, 8], 3.23.ar_fm_aber 
(-17, 142, -795), [6, 4, 10], 3.23.ar_fm_abep 
(-17, 142, -793), [6, 4, 12], 3.23.ar_fm_aben 
(-17, 142, -789), [6, 4, 16], 3.23.ar_fm_abej 
(-17, 143, -797), [6, 5, 8], 3.23.ar_fn_aber 
(-17, 144, -819), [6, 6, 9], 3.23.ar_fo_abfn 
(-17, 144, -815), [6, 6, 13], 3.23.ar_fo_abfj 
(-17, 144, -813), [6, 6, 15], 3.23.ar_fo_abfh 
(-17, 144, -811), [6, 6, 17], 3.23.ar_fo_abff 
(-17, 144, -808), [6, 6, 20], 3.23.ar_fo_abfc 
(-17, 144, -807), [6, 6, 21], 3.23.ar_fo_abfb 
(-17, 146, -837), [6, 8, 14], 3.23.ar_fq_abgf 
(-17, 146, -835), [6, 8, 16], 3.23.ar_fq_abgd 
(-17, 146, -833), [6, 8, 18], 3.23.ar_fq_abgb 
(-17, 146, -829), [6, 8, 22], 3.23.ar_fq_abfx 
(-17, 146, -825), [6, 8, 3], 3.23.ar_fq_abft 
(-17, 146, -823), [6, 8, 5], 3.23.ar_fq_abfr 
(-17, 148, -857), [6, 10, 17], 3.23.ar_fs_abgz 
(-17, 148, -855), [6, 10, 19], 3.23.ar_fs_abgx 
(-17, 148, -853), [6, 10, 21], 3.23.ar_fs_abgv 
(-17, 148, -852), [6, 10, 22], 3.23.ar_fs_abgu 
(-17, 148, -849), [6, 10, 2], 3.23.ar_fs_abgr 
(-17, 148, -847), [6, 10, 4], 3.23.ar_fs_abgp 
(-17, 148, -843), [6, 10, 8], 3.23.ar_fs_abgl 
(-17, 148, -841), [6, 10, 10], 3.23.ar_fs_abgj 
(-17, 148, -839), [6, 10, 12], 3.23.ar_fs_abgh 
(-17, 149, -847), [6, 11, 4], 3.23.ar_ft_abgp 
(-17, 150, -877), [6, 12, 20], 3.23.ar_fu_abht 
(-17, 150, -876), [6, 12, 21], 3.23.ar_fu_abhs 
(-17, 150, -875), [6, 12, 22], 3.23.ar_fu_abhr 
(-17, 150, -873), [6, 12, 1], 3.23.ar_fu_abhp 
(-17, 150, -871), [6, 12, 3], 3.23.ar_fu_abhn 
(-17, 150, -869), [6, 12, 5], 3.23.ar_fu_abhl 
(-17, 150, -867), [6, 12, 7], 3.23.ar_fu_abhj 
(-17, 150, -865), [6, 12, 9], 3.23.ar_fu_abhh 
(-17, 150, -861), [6, 12, 13], 3.23.ar_fu_abhd 
(-17, 150, -857), [6, 12, 17], 3.23.ar_fu_abgz 
(-17, 150, -855), [6, 12, 19], 3.23.ar_fu_abgx 
(-17, 152, -896), [6, 14, 1], 3.23.ar_fw_abim 
(-17, 152, -895), [6, 14, 2], 3.23.ar_fw_abil 
(-17, 152, -893), [6, 14, 4], 3.23.ar_fw_abij 
(-17, 152, -891), [6, 14, 6], 3.23.ar_fw_abih 
(-17, 152, -889), [6, 14, 8], 3.23.ar_fw_abif 
(-17, 152, -887), [6, 14, 10], 3.23.ar_fw_abid 
(-17, 152, -885), [6, 14, 12], 3.23.ar_fw_abib 
(-17, 152, -883), [6, 14, 14], 3.23.ar_fw_abhz 
(-17, 152, -879), [6, 14, 18], 3.23.ar_fw_abhv 
