(1, -2, -1), [1, 2, 3], 3.4.b_ac_ab 
(1, -1, -15), [1, 3, 1], 3.4.b_ab_ap 
(1, -1, 1), [1, 3, 1], 3.4.b_ab_b 
(1, 0, -11), [1, 0, 1], 3.4.b_a_al 
(1, 0, -9), [1, 0, 3], 3.4.b_a_aj 
(1, 0, -7), [1, 0, 1], 3.4.b_a_ah 
(1, 0, -5), [1, 0, 3], 3.4.b_a_af 
(1, 0, -3), [1, 0, 1], 3.4.b_a_ad 
(1, 0, -1), [1, 0, 3], 3.4.b_a_ab 
(1, 0, 1), [1, 0, 1], 3.4.b_a_b 
(1, 0, 3), [1, 0, 3], 3.4.b_a_d 
(1, 0, 5), [1, 0, 1], 3.4.b_a_f 
(1, 0, 7), [1, 0, 3], 3.4.b_a_h 
(1, 1, -5), [1, 1, 3], 3.4.b_b_af 
(1, 2, -7), [1, 2, 1], 3.4.b_c_ah 
(1, 2, -5), [1, 2, 3], 3.4.b_c_af 
(1, 2, -3), [1, 2, 1], 3.4.b_c_ad 
(1, 2, -1), [1, 2, 3], 3.4.b_c_ab 
(1, 2, 1), [1, 2, 1], 3.4.b_c_b 
(1, 2, 3), [1, 2, 3], 3.4.b_c_d 
(1, 2, 5), [1, 2, 1], 3.4.b_c_f 
(1, 2, 7), [1, 2, 3], 3.4.b_c_h 
(1, 2, 9), [1, 2, 1], 3.4.b_c_j 
(1, 2, 11), [1, 2, 3], 3.4.b_c_l 
(1, 2, 13), [1, 2, 1], 3.4.b_c_n 
(1, 2, 15), [1, 2, 3], 3.4.b_c_p 
(1, 4, -3), [1, 0, 1], 3.4.b_e_ad 
(1, 4, -1), [1, 0, 3], 3.4.b_e_ab 
(1, 4, 1), [1, 0, 1], 3.4.b_e_b 
(1, 4, 3), [1, 0, 3], 3.4.b_e_d 
(1, 4, 5), [1, 0, 1], 3.4.b_e_f 
(1, 4, 7), [1, 0, 3], 3.4.b_e_h 
(1, 4, 9), [1, 0, 1], 3.4.b_e_j 
(1, 4, 11), [1, 0, 3], 3.4.b_e_l 
(1, 4, 13), [1, 0, 1], 3.4.b_e_n 
(1, 6, 1), [1, 2, 1], 3.4.b_g_b 
(1, 6, 3), [1, 2, 3], 3.4.b_g_d 
(1, 6, 5), [1, 2, 1], 3.4.b_g_f 
(1, 6, 7), [1, 2, 3], 3.4.b_g_h 
(1, 6, 9), [1, 2, 1], 3.4.b_g_j 
(1, 6, 11), [1, 2, 3], 3.4.b_g_l 
(1, 8, 5), [1, 0, 1], 3.4.b_i_f 
(1, 8, 7), [1, 0, 3], 3.4.b_i_h 
(1, 8, 9), [1, 0, 1], 3.4.b_i_j 
(1, 9, 7), [1, 1, 3], 3.4.b_j_h 
