(-14, 103, -513), [3, 1, 14], 3.17.ao_dz_att 
(-14, 103, -512), [3, 1, 15], 3.17.ao_dz_ats 
(-14, 103, -509), [3, 1, 1], 3.17.ao_dz_atp 
(-14, 103, -507), [3, 1, 3], 3.17.ao_dz_atn 
(-14, 103, -506), [3, 1, 4], 3.17.ao_dz_atm 
(-14, 103, -505), [3, 1, 5], 3.17.ao_dz_atl 
(-14, 103, -504), [3, 1, 6], 3.17.ao_dz_atk 
(-14, 103, -503), [3, 1, 7], 3.17.ao_dz_atj 
(-14, 103, -502), [3, 1, 8], 3.17.ao_dz_ati 
(-14, 103, -499), [3, 1, 11], 3.17.ao_dz_atf 
(-14, 103, -498), [3, 1, 12], 3.17.ao_dz_ate 
(-14, 104, -520), [3, 2, 7], 3.17.ao_ea_aua 
(-14, 104, -518), [3, 2, 9], 3.17.ao_ea_aty 
(-14, 104, -514), [3, 2, 13], 3.17.ao_ea_atu 
(-14, 104, -512), [3, 2, 15], 3.17.ao_ea_ats 
(-14, 104, -508), [3, 2, 2], 3.17.ao_ea_ato 
(-14, 105, -528), [3, 3, 16], 3.17.ao_eb_aui 
(-14, 105, -526), [3, 3, 1], 3.17.ao_eb_aug 
(-14, 105, -525), [3, 3, 2], 3.17.ao_eb_auf 
(-14, 105, -522), [3, 3, 5], 3.17.ao_eb_auc 
(-14, 105, -520), [3, 3, 7], 3.17.ao_eb_aua 
(-14, 105, -519), [3, 3, 8], 3.17.ao_eb_atz 
(-14, 105, -518), [3, 3, 9], 3.17.ao_eb_aty 
(-14, 105, -516), [3, 3, 11], 3.17.ao_eb_atw 
(-14, 105, -515), [3, 3, 12], 3.17.ao_eb_atv 
(-14, 105, -514), [3, 3, 13], 3.17.ao_eb_atu 
(-14, 105, -513), [3, 3, 14], 3.17.ao_eb_att 
(-14, 106, -534), [3, 4, 10], 3.17.ao_ec_auo 
(-14, 106, -530), [3, 4, 14], 3.17.ao_ec_auk 
(-14, 106, -524), [3, 4, 3], 3.17.ao_ec_aue 
(-14, 106, -522), [3, 4, 5], 3.17.ao_ec_auc 
(-14, 106, -520), [3, 4, 7], 3.17.ao_ec_aua 
(-14, 107, -542), [3, 5, 2], 3.17.ao_ed_auw 
(-14, 107, -538), [3, 5, 6], 3.17.ao_ed_aus 
(-14, 107, -537), [3, 5, 7], 3.17.ao_ed_aur 
(-14, 107, -536), [3, 5, 8], 3.17.ao_ed_auq 
(-14, 107, -535), [3, 5, 9], 3.17.ao_ed_aup 
(-14, 107, -534), [3, 5, 10], 3.17.ao_ed_auo 
(-14, 107, -533), [3, 5, 11], 3.17.ao_ed_aun 
(-14, 107, -532), [3, 5, 12], 3.17.ao_ed_aum 
(-14, 107, -530), [3, 5, 14], 3.17.ao_ed_auk 
(-14, 107, -529), [3, 5, 15], 3.17.ao_ed_auj 
