(-19, 176, -1053), [6, 1, 22], 3.25.at_gu_abon 
(-19, 176, -1052), [6, 1, 23], 3.25.at_gu_abom 
(-19, 176, -1051), [6, 1, 24], 3.25.at_gu_abol 
(-19, 177, -1064), [6, 2, 11], 3.25.at_gv_aboy 
(-19, 177, -1059), [6, 2, 16], 3.25.at_gv_abot 
(-19, 178, -1079), [6, 3, 21], 3.25.at_gw_abpn 
(-19, 178, -1077), [6, 3, 23], 3.25.at_gw_abpl 
(-19, 178, -1076), [6, 3, 24], 3.25.at_gw_abpk 
(-19, 178, -1073), [6, 3, 2], 3.25.at_gw_abph 
(-19, 178, -1071), [6, 3, 4], 3.25.at_gw_abpf 
(-19, 178, -1069), [6, 3, 6], 3.25.at_gw_abpd 
(-19, 179, -1088), [6, 4, 12], 3.25.at_gx_abpw 
(-19, 179, -1087), [6, 4, 13], 3.25.at_gx_abpv 
(-19, 180, -1099), [6, 5, 1], 3.25.at_gy_abqh 
(-19, 180, -1098), [6, 5, 2], 3.25.at_gy_abqg 
(-19, 180, -1093), [6, 5, 7], 3.25.at_gy_abqb 
(-19, 180, -1091), [6, 5, 9], 3.25.at_gy_abpz 
(-19, 180, -1089), [6, 5, 11], 3.25.at_gy_abpx 
(-19, 180, -1087), [6, 5, 13], 3.25.at_gy_abpv 
(-19, 181, -1109), [6, 6, 16], 3.25.at_gz_abqr 
(-19, 181, -1108), [6, 6, 17], 3.25.at_gz_abqq 
(-19, 182, -1119), [6, 7, 6], 3.25.at_ha_abrb 
(-19, 182, -1118), [6, 7, 7], 3.25.at_ha_abra 
(-19, 182, -1117), [6, 7, 8], 3.25.at_ha_abqz 
(-19, 182, -1116), [6, 7, 9], 3.25.at_ha_abqy 
(-19, 182, -1113), [6, 7, 12], 3.25.at_ha_abqv 
(-19, 182, -1109), [6, 7, 16], 3.25.at_ha_abqr 
(-19, 182, -1107), [6, 7, 18], 3.25.at_ha_abqp 
(-19, 182, -1101), [6, 7, 24], 3.25.at_ha_abqj 
(-19, 183, -1127), [6, 8, 23], 3.25.at_hb_abrj 
(-19, 183, -1116), [6, 8, 9], 3.25.at_hb_abqy 
(-19, 183, -1111), [6, 8, 14], 3.25.at_hb_abqt 
(-19, 184, -1139), [6, 9, 11], 3.25.at_hc_abrv 
(-19, 184, -1137), [6, 9, 13], 3.25.at_hc_abrt 
(-19, 184, -1134), [6, 9, 16], 3.25.at_hc_abrq 
(-19, 184, -1131), [6, 9, 19], 3.25.at_hc_abrn 
(-19, 184, -1129), [6, 9, 21], 3.25.at_hc_abrl 
(-19, 184, -1127), [6, 9, 23], 3.25.at_hc_abrj 
(-19, 184, -1123), [6, 9, 2], 3.25.at_hc_abrf 
(-19, 184, -1119), [6, 9, 6], 3.25.at_hc_abrb 
(-19, 185, -1149), [6, 10, 1], 3.25.at_hd_absf 
(-19, 185, -1148), [6, 10, 2], 3.25.at_hd_abse 
(-19, 185, -1144), [6, 10, 6], 3.25.at_hd_absa 
(-19, 185, -1129), [6, 10, 21], 3.25.at_hd_abrl 
(-19, 185, -1128), [6, 10, 22], 3.25.at_hd_abrk 
(-19, 186, -1153), [6, 11, 22], 3.25.at_he_absj 
(-19, 186, -1151), [6, 11, 24], 3.25.at_he_absh 
(-19, 186, -1149), [6, 11, 1], 3.25.at_he_absf 
(-19, 186, -1147), [6, 11, 3], 3.25.at_he_absd 
(-19, 186, -1146), [6, 11, 4], 3.25.at_he_absc 
(-19, 186, -1143), [6, 11, 7], 3.25.at_he_abrz 
(-19, 186, -1141), [6, 11, 9], 3.25.at_he_abrx 
(-19, 186, -1138), [6, 11, 12], 3.25.at_he_abru 
(-19, 186, -1137), [6, 11, 13], 3.25.at_he_abrt 
(-19, 187, -1159), [6, 12, 16], 3.25.at_hf_absp 
(-19, 187, -1156), [6, 12, 19], 3.25.at_hf_absm 
(-19, 187, -1152), [6, 12, 23], 3.25.at_hf_absi 
(-19, 187, -1144), [6, 12, 6], 3.25.at_hf_absa 
(-19, 188, -1163), [6, 13, 12], 3.25.at_hg_abst 
(-19, 188, -1161), [6, 13, 14], 3.25.at_hg_absr 
(-19, 188, -1159), [6, 13, 16], 3.25.at_hg_absp 
(-19, 188, -1154), [6, 13, 21], 3.25.at_hg_absk 
(-19, 188, -1151), [6, 13, 24], 3.25.at_hg_absh 
(-19, 189, -1169), [6, 14, 6], 3.25.at_hh_absz 
(-19, 189, -1168), [6, 14, 7], 3.25.at_hh_absy 
(-19, 189, -1161), [6, 14, 14], 3.25.at_hh_absr 
(-19, 190, -1174), [6, 15, 1], 3.25.at_hi_abte 
(-19, 190, -1173), [6, 15, 2], 3.25.at_hi_abtd 
(-19, 190, -1171), [6, 15, 4], 3.25.at_hi_abtb 
(-19, 190, -1169), [6, 15, 6], 3.25.at_hi_absz 
(-19, 191, -1176), [6, 16, 24], 3.25.at_hj_abtg 
(-19, 192, -1183), [6, 17, 17], 3.25.at_hk_abtn 
(-19, 193, -1189), [6, 18, 11], 3.25.at_hl_abtt 
(-18, 142, -769), [7, 17, 6], 3.25.as_fm_abdp 
(-18, 143, -779), [7, 18, 21], 3.25.as_fn_abdz 
(-18, 144, -789), [7, 19, 11], 3.25.as_fo_abej 
(-18, 145, -799), [7, 20, 1], 3.25.as_fp_abet 
(-18, 146, -809), [7, 21, 16], 3.25.as_fq_abfd 
(-18, 147, -818), [7, 22, 7], 3.25.as_fr_abfm 
(-18, 147, -817), [7, 22, 8], 3.25.as_fr_abfl 
(-18, 148, -829), [7, 23, 21], 3.25.as_fs_abfx 
(-18, 148, -827), [7, 23, 23], 3.25.as_fs_abfv 
(-18, 149, -838), [7, 24, 12], 3.25.as_ft_abgg 
(-18, 149, -836), [7, 24, 14], 3.25.as_ft_abge 
(-18, 150, -849), [7, 0, 1], 3.25.as_fu_abgr 
(-18, 150, -848), [7, 0, 2], 3.25.as_fu_abgq 
(-18, 150, -847), [7, 0, 3], 3.25.as_fu_abgp 
(-18, 151, -857), [7, 1, 18], 3.25.as_fv_abgz 
(-18, 152, -869), [7, 2, 6], 3.25.as_fw_abhl 
(-18, 152, -867), [7, 2, 8], 3.25.as_fw_abhj 
(-18, 153, -879), [7, 3, 21], 3.25.as_fx_abhv 
(-18, 153, -877), [7, 3, 23], 3.25.as_fx_abht 
(-18, 154, -889), [7, 4, 11], 3.25.as_fy_abif 
(-18, 154, -888), [7, 4, 12], 3.25.as_fy_abie 
(-18, 154, -887), [7, 4, 13], 3.25.as_fy_abid 
(-18, 154, -883), [7, 4, 17], 3.25.as_fy_abhz 
(-18, 155, -897), [7, 5, 3], 3.25.as_fz_abin 
(-18, 156, -909), [7, 6, 16], 3.25.as_ga_abiz 
(-18, 156, -907), [7, 6, 18], 3.25.as_ga_abix 
(-18, 156, -903), [7, 6, 22], 3.25.as_ga_abit 
(-18, 156, -901), [7, 6, 24], 3.25.as_ga_abir 
(-18, 157, -918), [7, 7, 7], 3.25.as_gb_abji 
(-18, 157, -917), [7, 7, 8], 3.25.as_gb_abjh 
(-18, 158, -929), [7, 8, 21], 3.25.as_gc_abjt 
(-18, 158, -928), [7, 8, 22], 3.25.as_gc_abjs 
(-18, 158, -927), [7, 8, 23], 3.25.as_gc_abjr 
(-18, 158, -923), [7, 8, 2], 3.25.as_gc_abjn 
(-18, 158, -921), [7, 8, 4], 3.25.as_gc_abjl 
(-18, 158, -919), [7, 8, 6], 3.25.as_gc_abjj 
(-18, 160, -949), [7, 10, 1], 3.25.as_ge_abkn 
(-18, 160, -947), [7, 10, 3], 3.25.as_ge_abkl 
(-18, 160, -943), [7, 10, 7], 3.25.as_ge_abkh 
(-18, 160, -942), [7, 10, 8], 3.25.as_ge_abkg 
(-18, 160, -941), [7, 10, 9], 3.25.as_ge_abkf 
(-18, 160, -939), [7, 10, 11], 3.25.as_ge_abkd 
(-18, 160, -937), [7, 10, 13], 3.25.as_ge_abkb 
(-18, 161, -959), [7, 11, 16], 3.25.as_gf_abkx 
(-18, 162, -969), [7, 12, 6], 3.25.as_gg_ablh 
(-18, 162, -968), [7, 12, 7], 3.25.as_gg_ablg 
(-18, 162, -967), [7, 12, 8], 3.25.as_gg_ablf 
(-18, 162, -963), [7, 12, 12], 3.25.as_gg_ablb 
(-18, 162, -961), [7, 12, 14], 3.25.as_gg_abkz 
(-18, 162, -959), [7, 12, 16], 3.25.as_gg_abkx 
(-18, 162, -957), [7, 12, 18], 3.25.as_gg_abkv 
(-18, 162, -953), [7, 12, 22], 3.25.as_gg_abkr 
(-18, 163, -962), [7, 13, 13], 3.25.as_gh_abla 
(-18, 164, -989), [7, 14, 11], 3.25.as_gi_abmb 
(-18, 164, -987), [7, 14, 13], 3.25.as_gi_ablz 
(-18, 164, -983), [7, 14, 17], 3.25.as_gi_ablv 
(-18, 164, -981), [7, 14, 19], 3.25.as_gi_ablt 
(-18, 164, -979), [7, 14, 21], 3.25.as_gi_ablr 
(-18, 164, -977), [7, 14, 23], 3.25.as_gi_ablp 
(-18, 164, -973), [7, 14, 2], 3.25.as_gi_abll 
(-18, 164, -971), [7, 14, 4], 3.25.as_gi_ablj 
(-18, 165, -997), [7, 15, 3], 3.25.as_gj_abmj 
(-18, 165, -979), [7, 15, 21], 3.25.as_gj_ablr 
(-18, 166, -1009), [7, 16, 16], 3.25.as_gk_abmv 
(-18, 166, -1008), [7, 16, 17], 3.25.as_gk_abmu 
(-18, 166, -1007), [7, 16, 18], 3.25.as_gk_abmt 
(-18, 166, -1003), [7, 16, 22], 3.25.as_gk_abmp 
(-18, 166, -1001), [7, 16, 24], 3.25.as_gk_abmn 
(-18, 166, -999), [7, 16, 1], 3.25.as_gk_abml 
(-18, 166, -997), [7, 16, 3], 3.25.as_gk_abmj 
(-18, 166, -993), [7, 16, 7], 3.25.as_gk_abmf 
(-18, 166, -991), [7, 16, 9], 3.25.as_gk_abmd 
(-18, 166, -989), [7, 16, 11], 3.25.as_gk_abmb 
(-18, 167, -1019), [7, 17, 6], 3.25.as_gl_abnf 
(-18, 167, -1017), [7, 17, 8], 3.25.as_gl_abnd 
(-18, 167, -1011), [7, 17, 14], 3.25.as_gl_abmx 
(-18, 167, -1001), [7, 17, 24], 3.25.as_gl_abmn 
(-18, 167, -997), [7, 17, 3], 3.25.as_gl_abmj 
(-18, 168, -1029), [7, 18, 21], 3.25.as_gm_abnp 
(-18, 168, -1027), [7, 18, 23], 3.25.as_gm_abnn 
(-18, 168, -1023), [7, 18, 2], 3.25.as_gm_abnj 
(-18, 168, -1021), [7, 18, 4], 3.25.as_gm_abnh 
(-18, 168, -1019), [7, 18, 6], 3.25.as_gm_abnf 
(-18, 168, -1017), [7, 18, 8], 3.25.as_gm_abnd 
(-18, 168, -1016), [7, 18, 9], 3.25.as_gm_abnc 
(-18, 168, -1013), [7, 18, 12], 3.25.as_gm_abmz 
(-18, 168, -1011), [7, 18, 14], 3.25.as_gm_abmx 
(-18, 168, -1009), [7, 18, 16], 3.25.as_gm_abmv 
(-18, 168, -1007), [7, 18, 18], 3.25.as_gm_abmt 
(-18, 169, -1039), [7, 19, 11], 3.25.as_gn_abnz 
(-18, 169, -1033), [7, 19, 17], 3.25.as_gn_abnt 
(-18, 169, -1026), [7, 19, 24], 3.25.as_gn_abnm 
(-18, 169, -1013), [7, 19, 12], 3.25.as_gn_abmz 
(-18, 170, -1049), [7, 20, 1], 3.25.as_go_aboj 
(-18, 170, -1047), [7, 20, 3], 3.25.as_go_aboh 
(-18, 170, -1044), [7, 20, 6], 3.25.as_go_aboe 
(-18, 170, -1043), [7, 20, 7], 3.25.as_go_abod 
(-18, 170, -1041), [7, 20, 9], 3.25.as_go_abob 
(-18, 170, -1039), [7, 20, 11], 3.25.as_go_abnz 
(-18, 170, -1037), [7, 20, 13], 3.25.as_go_abnx 
(-18, 170, -1033), [7, 20, 17], 3.25.as_go_abnt 
(-18, 170, -1032), [7, 20, 18], 3.25.as_go_abns 
(-18, 170, -1031), [7, 20, 19], 3.25.as_go_abnr 
(-18, 170, -1029), [7, 20, 21], 3.25.as_go_abnp 
(-18, 170, -1027), [7, 20, 23], 3.25.as_go_abnn 
(-18, 170, -1023), [7, 20, 2], 3.25.as_go_abnj 
(-18, 170, -1021), [7, 20, 4], 3.25.as_go_abnh 
(-18, 171, -1058), [7, 21, 17], 3.25.as_gp_abos 
(-18, 171, -1057), [7, 21, 18], 3.25.as_gp_abor 
(-18, 171, -1037), [7, 21, 13], 3.25.as_gp_abnx 
(-18, 171, -1031), [7, 21, 19], 3.25.as_gp_abnr 
(-18, 172, -1063), [7, 22, 12], 3.25.as_gq_abox 
(-18, 172, -1061), [7, 22, 14], 3.25.as_gq_abov 
(-18, 172, -1059), [7, 22, 16], 3.25.as_gq_abot 
(-18, 172, -1057), [7, 22, 18], 3.25.as_gq_abor 
(-18, 172, -1053), [7, 22, 22], 3.25.as_gq_abon 
(-18, 172, -1051), [7, 22, 24], 3.25.as_gq_abol 
(-18, 172, -1049), [7, 22, 1], 3.25.as_gq_aboj 
(-18, 172, -1047), [7, 22, 3], 3.25.as_gq_aboh 
(-18, 172, -1043), [7, 22, 7], 3.25.as_gq_abod 
(-18, 172, -1041), [7, 22, 9], 3.25.as_gq_abob 
(-18, 172, -1039), [7, 22, 11], 3.25.as_gq_abnz 
(-18, 172, -1037), [7, 22, 13], 3.25.as_gq_abnx 
(-18, 173, -1067), [7, 23, 8], 3.25.as_gr_abpb 
(-18, 173, -1049), [7, 23, 1], 3.25.as_gr_aboj 
(-18, 174, -1071), [7, 24, 4], 3.25.as_gs_abpf 
