(-20, 203, -1263), [1, -20, 203, -1263, 5075, -12500, 15625], 3.25.au_hv_abwp
(-20, 203, -1262), [1, -20, 203, -1262, 5075, -12500, 15625], 3.25.au_hv_abwo
(-20, 203, -1257), [1, -20, 203, -1257, 5075, -12500, 15625], 3.25.au_hv_abwj
(-20, 204, -1268), [1, -20, 204, -1268, 5100, -12500, 15625], 3.25.au_hw_abwu
(-20, 205, -1274), [1, -20, 205, -1274, 5125, -12500, 15625], 3.25.au_hx_abxa
(-19, 163, -929), [1, -19, 163, -929, 4075, -11875, 15625], 3.25.at_gh_abjt
(-19, 165, -949), [1, -19, 165, -949, 4125, -11875, 15625], 3.25.at_gj_abkn
(-19, 165, -948), [1, -19, 165, -948, 4125, -11875, 15625], 3.25.at_gj_abkm
(-19, 166, -958), [1, -19, 166, -958, 4150, -11875, 15625], 3.25.at_gk_abkw
(-19, 168, -978), [1, -19, 168, -978, 4200, -11875, 15625], 3.25.at_gm_ablq
(-19, 169, -989), [1, -19, 169, -989, 4225, -11875, 15625], 3.25.at_gn_abmb
(-19, 169, -987), [1, -19, 169, -987, 4225, -11875, 15625], 3.25.at_gn_ablz
(-19, 170, -998), [1, -19, 170, -998, 4250, -11875, 15625], 3.25.at_go_abmk
(-19, 170, -996), [1, -19, 170, -996, 4250, -11875, 15625], 3.25.at_go_abmi
(-19, 171, -1009), [1, -19, 171, -1009, 4275, -11875, 15625], 3.25.at_gp_abmv
(-19, 171, -1008), [1, -19, 171, -1008, 4275, -11875, 15625], 3.25.at_gp_abmu
(-19, 171, -1007), [1, -19, 171, -1007, 4275, -11875, 15625], 3.25.at_gp_abmt
(-19, 172, -1016), [1, -19, 172, -1016, 4300, -11875, 15625], 3.25.at_gq_abnc
(-19, 173, -1029), [1, -19, 173, -1029, 4325, -11875, 15625], 3.25.at_gr_abnp
(-19, 173, -1028), [1, -19, 173, -1028, 4325, -11875, 15625], 3.25.at_gr_abno
(-19, 173, -1023), [1, -19, 173, -1023, 4325, -11875, 15625], 3.25.at_gr_abnj
(-19, 175, -1049), [1, -19, 175, -1049, 4375, -11875, 15625], 3.25.at_gt_aboj
(-19, 175, -1048), [1, -19, 175, -1048, 4375, -11875, 15625], 3.25.at_gt_aboi
(-19, 176, -1052), [1, -19, 176, -1052, 4400, -11875, 15625], 3.25.at_gu_abom
(-19, 177, -1064), [1, -19, 177, -1064, 4425, -11875, 15625], 3.25.at_gv_aboy
(-19, 177, -1059), [1, -19, 177, -1059, 4425, -11875, 15625], 3.25.at_gv_abot
(-19, 178, -1076), [1, -19, 178, -1076, 4450, -11875, 15625], 3.25.at_gw_abpk
(-19, 179, -1088), [1, -19, 179, -1088, 4475, -11875, 15625], 3.25.at_gx_abpw
(-19, 179, -1087), [1, -19, 179, -1087, 4475, -11875, 15625], 3.25.at_gx_abpv
(-19, 180, -1098), [1, -19, 180, -1098, 4500, -11875, 15625], 3.25.at_gy_abqg
(-19, 181, -1109), [1, -19, 181, -1109, 4525, -11875, 15625], 3.25.at_gz_abqr
(-19, 181, -1108), [1, -19, 181, -1108, 4525, -11875, 15625], 3.25.at_gz_abqq
(-19, 182, -1118), [1, -19, 182, -1118, 4550, -11875, 15625], 3.25.at_ha_abra
(-19, 182, -1116), [1, -19, 182, -1116, 4550, -11875, 15625], 3.25.at_ha_abqy
(-19, 183, -1127), [1, -19, 183, -1127, 4575, -11875, 15625], 3.25.at_hb_abrj
(-19, 183, -1116), [1, -19, 183, -1116, 4575, -11875, 15625], 3.25.at_hb_abqy
(-19, 183, -1111), [1, -19, 183, -1111, 4575, -11875, 15625], 3.25.at_hb_abqt
(-19, 184, -1134), [1, -19, 184, -1134, 4600, -11875, 15625], 3.25.at_hc_abrq
(-19, 185, -1149), [1, -19, 185, -1149, 4625, -11875, 15625], 3.25.at_hd_absf
