(-6, 18, -45), [2, 2, 3], 3.8.ag_s_abt 
(-6, 18, -43), [2, 2, 1], 3.8.ag_s_abr 
(-6, 18, -39), [2, 2, 1], 3.8.ag_s_abn 
(-6, 20, -61), [2, 0, 3], 3.8.ag_u_acj 
(-6, 20, -59), [2, 0, 1], 3.8.ag_u_ach 
(-6, 20, -55), [2, 0, 1], 3.8.ag_u_acd 
(-6, 20, -53), [2, 0, 3], 3.8.ag_u_acb 
(-6, 20, -49), [2, 0, 3], 3.8.ag_u_abx 
(-6, 22, -73), [2, 2, 3], 3.8.ag_w_acv 
(-6, 22, -71), [2, 2, 1], 3.8.ag_w_act 
(-6, 22, -69), [2, 2, 3], 3.8.ag_w_acr 
(-6, 22, -67), [2, 2, 1], 3.8.ag_w_acp 
(-6, 22, -59), [2, 2, 1], 3.8.ag_w_ach 
(-6, 22, -57), [2, 2, 3], 3.8.ag_w_acf 
(-6, 24, -83), [2, 0, 1], 3.8.ag_y_adf 
(-6, 24, -81), [2, 0, 3], 3.8.ag_y_add 
(-6, 24, -79), [2, 0, 1], 3.8.ag_y_adb 
(-6, 24, -77), [2, 0, 3], 3.8.ag_y_acz 
(-6, 24, -75), [2, 0, 1], 3.8.ag_y_acx 
(-6, 24, -73), [2, 0, 3], 3.8.ag_y_acv 
(-6, 24, -67), [2, 0, 1], 3.8.ag_y_acp 
(-6, 24, -65), [2, 0, 3], 3.8.ag_y_acn 
(-6, 26, -91), [2, 2, 1], 3.8.ag_ba_adn 
(-6, 26, -89), [2, 2, 3], 3.8.ag_ba_adl 
(-6, 26, -85), [2, 2, 3], 3.8.ag_ba_adh 
(-6, 26, -83), [2, 2, 1], 3.8.ag_ba_adf 
(-6, 26, -79), [2, 2, 1], 3.8.ag_ba_adb 
(-6, 26, -77), [2, 2, 3], 3.8.ag_ba_acz 
(-6, 26, -73), [2, 2, 3], 3.8.ag_ba_acv 
(-6, 28, -93), [2, 0, 3], 3.8.ag_bc_adp 
(-6, 28, -87), [2, 0, 1], 3.8.ag_bc_adj 
(-6, 30, -93), [2, 2, 3], 3.8.ag_be_adp 
(-6, 30, -91), [2, 2, 1], 3.8.ag_be_adn 
(-6, 30, -89), [2, 2, 3], 3.8.ag_be_adl 
(-6, 32, -97), [2, 0, 3], 3.8.ag_bg_adt 
(-6, 32, -95), [2, 0, 1], 3.8.ag_bg_adr 
(-5, -1, 41), [3, 3, 1], 3.8.af_ab_bp 
(-5, -1, 43), [3, 3, 3], 3.8.af_ab_br 
(-5, 1, 31), [3, 1, 3], 3.8.af_b_bf 
(-5, 1, 33), [3, 1, 1], 3.8.af_b_bh 
(-5, 3, 19), [3, 3, 3], 3.8.af_d_t 
(-5, 3, 21), [3, 3, 1], 3.8.af_d_v 
(-5, 5, 7), [3, 1, 3], 3.8.af_f_h 
(-5, 5, 9), [3, 1, 1], 3.8.af_f_j 
(-5, 5, 11), [3, 1, 3], 3.8.af_f_l 
(-5, 5, 13), [3, 1, 1], 3.8.af_f_n 
(-5, 7, -3), [3, 3, 1], 3.8.af_h_ad 
(-5, 7, 1), [3, 3, 1], 3.8.af_h_b 
(-5, 7, 3), [3, 3, 3], 3.8.af_h_d 
(-5, 9, -15), [3, 1, 1], 3.8.af_j_ap 
(-5, 9, -13), [3, 1, 3], 3.8.af_j_an 
(-5, 9, -11), [3, 1, 1], 3.8.af_j_al 
(-5, 9, -9), [3, 1, 3], 3.8.af_j_aj 
(-5, 9, -7), [3, 1, 1], 3.8.af_j_ah 
(-5, 11, -27), [3, 3, 1], 3.8.af_l_abb 
(-5, 11, -25), [3, 3, 3], 3.8.af_l_az 
(-5, 11, -21), [3, 3, 3], 3.8.af_l_av 
(-5, 11, -19), [3, 3, 1], 3.8.af_l_at 
(-5, 11, -17), [3, 3, 3], 3.8.af_l_ar 
(-5, 11, -13), [3, 3, 3], 3.8.af_l_an 
(-5, 13, -37), [3, 1, 3], 3.8.af_n_abl 
(-5, 13, -35), [3, 1, 1], 3.8.af_n_abj 
(-5, 13, -33), [3, 1, 3], 3.8.af_n_abh 
(-5, 13, -31), [3, 1, 1], 3.8.af_n_abf 
(-5, 13, -27), [3, 1, 1], 3.8.af_n_abb 
(-5, 13, -23), [3, 1, 1], 3.8.af_n_ax 
(-5, 13, -21), [3, 1, 3], 3.8.af_n_av 
(-5, 15, -49), [3, 3, 3], 3.8.af_p_abx 
(-5, 15, -47), [3, 3, 1], 3.8.af_p_abv 
(-5, 15, -45), [3, 3, 3], 3.8.af_p_abt 
(-5, 15, -43), [3, 3, 1], 3.8.af_p_abr 
(-5, 15, -41), [3, 3, 3], 3.8.af_p_abp 
(-5, 15, -39), [3, 3, 1], 3.8.af_p_abn 
(-5, 15, -37), [3, 3, 3], 3.8.af_p_abl 
(-5, 15, -33), [3, 3, 3], 3.8.af_p_abh 
(-5, 15, -31), [3, 3, 1], 3.8.af_p_abf 
(-5, 15, -29), [3, 3, 3], 3.8.af_p_abd 
(-5, 17, -61), [3, 1, 3], 3.8.af_r_acj 
(-5, 17, -59), [3, 1, 1], 3.8.af_r_ach 
(-5, 17, -57), [3, 1, 3], 3.8.af_r_acf 
(-5, 17, -55), [3, 1, 1], 3.8.af_r_acd 
(-5, 17, -53), [3, 1, 3], 3.8.af_r_acb 
