(-13, 84, -387), [3, 0, 1], 3.17.an_dg_aox 
(-13, 84, -385), [3, 0, 3], 3.17.an_dg_aov 
(-13, 84, -383), [3, 0, 1], 3.17.an_dg_aot 
(-13, 84, -381), [3, 0, 3], 3.17.an_dg_aor 
(-13, 86, -407), [3, 2, 1], 3.17.an_di_apr 
(-13, 86, -405), [3, 2, 3], 3.17.an_di_app 
(-13, 86, -403), [3, 2, 1], 3.17.an_di_apn 
(-13, 86, -401), [3, 2, 3], 3.17.an_di_apl 
(-13, 86, -399), [3, 2, 1], 3.17.an_di_apj 
(-13, 86, -397), [3, 2, 3], 3.17.an_di_aph 
(-13, 86, -395), [3, 2, 1], 3.17.an_di_apf 
(-13, 88, -423), [3, 0, 1], 3.17.an_dk_aqh 
(-13, 88, -421), [3, 0, 3], 3.17.an_dk_aqf 
(-13, 88, -419), [3, 0, 1], 3.17.an_dk_aqd 
(-13, 88, -417), [3, 0, 3], 3.17.an_dk_aqb 
(-13, 88, -415), [3, 0, 1], 3.17.an_dk_apz 
(-13, 88, -413), [3, 0, 3], 3.17.an_dk_apx 
(-13, 88, -411), [3, 0, 1], 3.17.an_dk_apv 
(-13, 88, -410), [3, 0, 2], 3.17.an_dk_apu 
(-13, 88, -409), [3, 0, 3], 3.17.an_dk_apt 
(-13, 90, -439), [3, 2, 1], 3.17.an_dm_aqx 
(-13, 90, -435), [3, 2, 1], 3.17.an_dm_aqt 
(-13, 90, -433), [3, 2, 3], 3.17.an_dm_aqr 
(-13, 90, -431), [3, 2, 1], 3.17.an_dm_aqp 
(-13, 90, -429), [3, 2, 3], 3.17.an_dm_aqn 
(-13, 90, -427), [3, 2, 1], 3.17.an_dm_aql 
(-13, 90, -423), [3, 2, 1], 3.17.an_dm_aqh 
(-13, 90, -422), [3, 2, 2], 3.17.an_dm_aqg 
(-13, 92, -455), [3, 0, 1], 3.17.an_do_arn 
(-13, 92, -453), [3, 0, 3], 3.17.an_do_arl 
(-13, 92, -451), [3, 0, 1], 3.17.an_do_arj 
