(-11, 57, -229), [5, 9, 11], 3.16.al_cf_aiv 
(-11, 57, -227), [5, 9, 13], 3.16.al_cf_ait 
(-11, 57, -225), [5, 9, 15], 3.16.al_cf_air 
(-11, 57, -223), [5, 9, 1], 3.16.al_cf_aip 
(-11, 57, -221), [5, 9, 3], 3.16.al_cf_ain 
(-11, 59, -247), [5, 11, 9], 3.16.al_ch_ajn 
(-11, 59, -245), [5, 11, 11], 3.16.al_ch_ajl 
(-11, 59, -243), [5, 11, 13], 3.16.al_ch_ajj 
(-11, 59, -241), [5, 11, 15], 3.16.al_ch_ajh 
(-11, 59, -239), [5, 11, 1], 3.16.al_ch_ajf 
(-11, 59, -237), [5, 11, 3], 3.16.al_ch_ajd 
(-11, 59, -235), [5, 11, 5], 3.16.al_ch_ajb 
(-11, 61, -263), [5, 13, 9], 3.16.al_cj_akd 
(-11, 61, -261), [5, 13, 11], 3.16.al_cj_akb 
(-11, 61, -259), [5, 13, 13], 3.16.al_cj_ajz 
(-11, 61, -257), [5, 13, 15], 3.16.al_cj_ajx 
(-11, 61, -255), [5, 13, 1], 3.16.al_cj_ajv 
(-11, 61, -253), [5, 13, 3], 3.16.al_cj_ajt 
(-11, 61, -251), [5, 13, 5], 3.16.al_cj_ajr 
(-11, 61, -249), [5, 13, 7], 3.16.al_cj_ajp 
(-11, 63, -275), [5, 15, 13], 3.16.al_cl_akp 
(-11, 63, -273), [5, 15, 15], 3.16.al_cl_akn 
(-11, 63, -271), [5, 15, 1], 3.16.al_cl_akl 
(-11, 63, -269), [5, 15, 3], 3.16.al_cl_akj 
(-11, 63, -267), [5, 15, 5], 3.16.al_cl_akh 
(-11, 63, -265), [5, 15, 7], 3.16.al_cl_akf 
(-11, 63, -263), [5, 15, 9], 3.16.al_cl_akd 
(-11, 65, -295), [5, 1, 9], 3.16.al_cn_alj 
(-11, 65, -293), [5, 1, 11], 3.16.al_cn_alh 
(-11, 65, -291), [5, 1, 13], 3.16.al_cn_alf 
(-11, 65, -289), [5, 1, 15], 3.16.al_cn_ald 
(-11, 65, -285), [5, 1, 3], 3.16.al_cn_akz 
(-11, 65, -283), [5, 1, 5], 3.16.al_cn_akx 
(-11, 65, -281), [5, 1, 7], 3.16.al_cn_akv 
(-11, 65, -279), [5, 1, 9], 3.16.al_cn_akt 
(-11, 65, -277), [5, 1, 11], 3.16.al_cn_akr 
(-11, 65, -273), [5, 1, 15], 3.16.al_cn_akn 
(-11, 67, -309), [5, 3, 11], 3.16.al_cp_alx 
(-11, 67, -307), [5, 3, 13], 3.16.al_cp_alv 
(-11, 67, -305), [5, 3, 15], 3.16.al_cp_alt 
(-11, 67, -303), [5, 3, 1], 3.16.al_cp_alr 
(-11, 67, -301), [5, 3, 3], 3.16.al_cp_alp 
(-11, 67, -299), [5, 3, 5], 3.16.al_cp_aln 
(-11, 67, -295), [5, 3, 9], 3.16.al_cp_alj 
(-11, 67, -293), [5, 3, 11], 3.16.al_cp_alh 
(-11, 67, -291), [5, 3, 13], 3.16.al_cp_alf 
(-11, 67, -287), [5, 3, 1], 3.16.al_cp_alb 
(-11, 69, -327), [5, 5, 9], 3.16.al_cr_amp 
(-11, 69, -325), [5, 5, 11], 3.16.al_cr_amn 
(-11, 69, -323), [5, 5, 13], 3.16.al_cr_aml 
(-11, 69, -321), [5, 5, 15], 3.16.al_cr_amj 
(-11, 69, -317), [5, 5, 3], 3.16.al_cr_amf 
(-11, 69, -315), [5, 5, 5], 3.16.al_cr_amd 
(-11, 69, -313), [5, 5, 7], 3.16.al_cr_amb 
(-11, 69, -311), [5, 5, 9], 3.16.al_cr_alz 
(-11, 69, -309), [5, 5, 11], 3.16.al_cr_alx 
(-11, 69, -305), [5, 5, 15], 3.16.al_cr_alt 
(-11, 69, -301), [5, 5, 3], 3.16.al_cr_alp 
(-11, 69, -299), [5, 5, 5], 3.16.al_cr_aln 
(-11, 71, -343), [5, 7, 9], 3.16.al_ct_anf 
(-11, 71, -341), [5, 7, 11], 3.16.al_ct_and 
(-11, 71, -339), [5, 7, 13], 3.16.al_ct_anb 
(-11, 71, -337), [5, 7, 15], 3.16.al_ct_amz 
(-11, 71, -335), [5, 7, 1], 3.16.al_ct_amx 
(-11, 71, -333), [5, 7, 3], 3.16.al_ct_amv 
(-11, 71, -331), [5, 7, 5], 3.16.al_ct_amt 
(-11, 71, -329), [5, 7, 7], 3.16.al_ct_amr 
(-11, 71, -327), [5, 7, 9], 3.16.al_ct_amp 
(-11, 71, -325), [5, 7, 11], 3.16.al_ct_amn 
(-11, 71, -323), [5, 7, 13], 3.16.al_ct_aml 
(-11, 71, -321), [5, 7, 15], 3.16.al_ct_amj 
(-11, 71, -319), [5, 7, 1], 3.16.al_ct_amh 
(-11, 71, -315), [5, 7, 5], 3.16.al_ct_amd 
(-11, 71, -313), [5, 7, 7], 3.16.al_ct_amb 
(-11, 71, -311), [5, 7, 9], 3.16.al_ct_alz 
(-11, 73, -359), [5, 9, 9], 3.16.al_cv_anv 
(-11, 73, -357), [5, 9, 11], 3.16.al_cv_ant 
(-11, 73, -351), [5, 9, 1], 3.16.al_cv_ann 
