(-14, 104, -508), [2, 0, 0], 3.17.ao_ea_ato 
(-14, 105, -528), [2, 1, 0], 3.17.ao_eb_aui 
(-14, 105, -526), [2, 1, 2], 3.17.ao_eb_aug 
(-14, 105, -525), [2, 1, 3], 3.17.ao_eb_auf 
(-14, 105, -522), [2, 1, 2], 3.17.ao_eb_auc 
(-14, 105, -520), [2, 1, 0], 3.17.ao_eb_aua 
(-14, 105, -519), [2, 1, 1], 3.17.ao_eb_atz 
(-14, 105, -518), [2, 1, 2], 3.17.ao_eb_aty 
(-14, 105, -516), [2, 1, 0], 3.17.ao_eb_atw 
(-14, 105, -515), [2, 1, 1], 3.17.ao_eb_atv 
(-14, 105, -514), [2, 1, 2], 3.17.ao_eb_atu 
(-14, 105, -513), [2, 1, 3], 3.17.ao_eb_att 
(-14, 106, -534), [2, 2, 2], 3.17.ao_ec_auo 
(-14, 106, -530), [2, 2, 2], 3.17.ao_ec_auk 
(-14, 106, -524), [2, 2, 0], 3.17.ao_ec_aue 
(-14, 106, -522), [2, 2, 2], 3.17.ao_ec_auc 
(-14, 106, -520), [2, 2, 0], 3.17.ao_ec_aua 
(-14, 107, -542), [2, 3, 2], 3.17.ao_ed_auw 
(-14, 107, -538), [2, 3, 2], 3.17.ao_ed_aus 
(-14, 107, -537), [2, 3, 3], 3.17.ao_ed_aur 
(-14, 107, -536), [2, 3, 0], 3.17.ao_ed_auq 
(-14, 107, -535), [2, 3, 1], 3.17.ao_ed_aup 
(-14, 107, -534), [2, 3, 2], 3.17.ao_ed_auo 
(-14, 107, -533), [2, 3, 3], 3.17.ao_ed_aun 
(-14, 107, -532), [2, 3, 0], 3.17.ao_ed_aum 
(-14, 107, -530), [2, 3, 2], 3.17.ao_ed_auk 
(-14, 107, -529), [2, 3, 3], 3.17.ao_ed_auj 
(-14, 107, -528), [2, 3, 0], 3.17.ao_ed_aui 
(-14, 107, -526), [2, 3, 2], 3.17.ao_ed_aug 
(-14, 108, -546), [2, 0, 2], 3.17.ao_ee_ava 
(-14, 108, -540), [2, 0, 0], 3.17.ao_ee_auu 
(-14, 108, -538), [2, 0, 2], 3.17.ao_ee_aus 
(-14, 109, -550), [2, 1, 2], 3.17.ao_ef_ave 
(-14, 109, -549), [2, 1, 3], 3.17.ao_ef_avd 
(-14, 109, -546), [2, 1, 2], 3.17.ao_ef_ava 
(-14, 109, -545), [2, 1, 3], 3.17.ao_ef_auz 
(-14, 109, -542), [2, 1, 2], 3.17.ao_ef_auw 
(-14, 109, -540), [2, 1, 0], 3.17.ao_ef_auu 
(-14, 109, -538), [2, 1, 2], 3.17.ao_ef_aus 
(-14, 109, -537), [2, 1, 3], 3.17.ao_ef_aur 
(-14, 110, -550), [2, 2, 2], 3.17.ao_eg_ave 
(-14, 110, -548), [2, 2, 0], 3.17.ao_eg_avc 
(-14, 111, -555), [2, 3, 1], 3.17.ao_eh_avj 
(-14, 111, -554), [2, 3, 2], 3.17.ao_eh_avi 
(-14, 111, -552), [2, 3, 0], 3.17.ao_eh_avg 
(-14, 111, -550), [2, 3, 2], 3.17.ao_eh_ave 
(-14, 111, -549), [2, 3, 3], 3.17.ao_eh_avd 
(-14, 112, -558), [2, 0, 2], 3.17.ao_ei_avm 
(-14, 113, -562), [2, 1, 2], 3.17.ao_ej_avq 
(-13, 71, -283), [3, 3, 1], 3.17.an_ct_akx 
(-13, 73, -300), [3, 1, 0], 3.17.an_cv_alo 
(-13, 73, -299), [3, 1, 1], 3.17.an_cv_aln 
(-13, 74, -308), [3, 2, 0], 3.17.an_cw_alw 
(-13, 75, -315), [3, 3, 1], 3.17.an_cx_amd 
(-13, 76, -324), [3, 0, 0], 3.17.an_cy_amm 
(-13, 77, -332), [3, 1, 0], 3.17.an_cz_amu 
(-13, 77, -331), [3, 1, 1], 3.17.an_cz_amt 
(-13, 77, -329), [3, 1, 3], 3.17.an_cz_amr 
(-13, 77, -328), [3, 1, 0], 3.17.an_cz_amq 
(-13, 78, -336), [3, 2, 0], 3.17.an_da_amy 
(-13, 79, -349), [3, 3, 3], 3.17.an_db_anl 
(-13, 79, -347), [3, 3, 1], 3.17.an_db_anj 
(-13, 79, -345), [3, 3, 3], 3.17.an_db_anh 
(-13, 79, -343), [3, 3, 1], 3.17.an_db_anf 
(-13, 80, -356), [3, 0, 0], 3.17.an_dc_ans 
(-13, 80, -352), [3, 0, 0], 3.17.an_dc_ano 
(-13, 81, -366), [3, 1, 2], 3.17.an_dd_aoc 
(-13, 81, -365), [3, 1, 3], 3.17.an_dd_aob 
(-13, 81, -364), [3, 1, 0], 3.17.an_dd_aoa 
(-13, 81, -363), [3, 1, 1], 3.17.an_dd_anz 
(-13, 81, -361), [3, 1, 3], 3.17.an_dd_anx 
(-13, 81, -359), [3, 1, 1], 3.17.an_dd_anv 
(-13, 82, -372), [3, 2, 0], 3.17.an_de_aoi 
(-13, 82, -368), [3, 2, 0], 3.17.an_de_aoe 
(-13, 82, -366), [3, 2, 2], 3.17.an_de_aoc 
(-13, 83, -381), [3, 3, 3], 3.17.an_df_aor 
(-13, 83, -380), [3, 3, 0], 3.17.an_df_aoq 
(-13, 83, -379), [3, 3, 1], 3.17.an_df_aop 
(-13, 83, -377), [3, 3, 3], 3.17.an_df_aon 
(-13, 83, -376), [3, 3, 0], 3.17.an_df_aom 
(-13, 83, -375), [3, 3, 1], 3.17.an_df_aol 
(-13, 83, -373), [3, 3, 3], 3.17.an_df_aoj 
(-13, 84, -390), [3, 0, 2], 3.17.an_dg_apa 
(-13, 84, -384), [3, 0, 0], 3.17.an_dg_aou 
(-13, 84, -382), [3, 0, 2], 3.17.an_dg_aos 
(-13, 84, -380), [3, 0, 0], 3.17.an_dg_aoq 
(-13, 85, -399), [3, 1, 1], 3.17.an_dh_apj 
(-13, 85, -398), [3, 1, 2], 3.17.an_dh_api 
(-13, 85, -397), [3, 1, 3], 3.17.an_dh_aph 
(-13, 85, -396), [3, 1, 0], 3.17.an_dh_apg 
(-13, 85, -395), [3, 1, 1], 3.17.an_dh_apf 
(-13, 85, -393), [3, 1, 3], 3.17.an_dh_apd 
(-13, 85, -392), [3, 1, 0], 3.17.an_dh_apc 
(-13, 85, -390), [3, 1, 2], 3.17.an_dh_apa 
(-13, 85, -389), [3, 1, 3], 3.17.an_dh_aoz 
(-13, 85, -388), [3, 1, 0], 3.17.an_dh_aoy 
(-13, 85, -387), [3, 1, 1], 3.17.an_dh_aox 
(-13, 86, -406), [3, 2, 2], 3.17.an_di_apq 
(-13, 86, -404), [3, 2, 0], 3.17.an_di_apo 
(-13, 86, -398), [3, 2, 2], 3.17.an_di_api 
(-13, 86, -396), [3, 2, 0], 3.17.an_di_apg 
(-13, 86, -394), [3, 2, 2], 3.17.an_di_ape 
(-13, 87, -415), [3, 3, 1], 3.17.an_dj_apz 
(-13, 87, -414), [3, 3, 2], 3.17.an_dj_apy 
(-13, 87, -413), [3, 3, 3], 3.17.an_dj_apx 
(-13, 87, -412), [3, 3, 0], 3.17.an_dj_apw 
(-13, 87, -411), [3, 3, 1], 3.17.an_dj_apv 
(-13, 87, -409), [3, 3, 3], 3.17.an_dj_apt 
