(-16, 128, -671), [3, 14, 13], 3.19.aq_ey_azv 
(-16, 128, -669), [3, 14, 15], 3.19.aq_ey_azt 
(-16, 128, -667), [3, 14, 17], 3.19.aq_ey_azr 
(-16, 128, -663), [3, 14, 2], 3.19.aq_ey_azn 
(-16, 129, -681), [3, 15, 3], 3.19.aq_ez_abaf 
(-16, 129, -673), [3, 15, 11], 3.19.aq_ez_azx 
(-16, 129, -670), [3, 15, 14], 3.19.aq_ez_azu 
(-16, 130, -690), [3, 16, 13], 3.19.aq_fa_abao 
(-16, 130, -689), [3, 16, 14], 3.19.aq_fa_aban 
(-16, 130, -687), [3, 16, 16], 3.19.aq_fa_abal 
(-16, 130, -685), [3, 16, 18], 3.19.aq_fa_abaj 
(-16, 130, -683), [3, 16, 1], 3.19.aq_fa_abah 
(-16, 130, -681), [3, 16, 3], 3.19.aq_fa_abaf 
(-16, 130, -679), [3, 16, 5], 3.19.aq_fa_abad 
(-16, 131, -697), [3, 17, 6], 3.19.aq_fb_abav 
(-16, 131, -693), [3, 17, 10], 3.19.aq_fb_abar 
(-16, 131, -691), [3, 17, 12], 3.19.aq_fb_abap 
(-16, 131, -689), [3, 17, 14], 3.19.aq_fb_aban 
(-16, 131, -686), [3, 17, 17], 3.19.aq_fb_abak 
(-16, 132, -707), [3, 18, 15], 3.19.aq_fc_abbf 
(-16, 132, -706), [3, 18, 16], 3.19.aq_fc_abbe 
(-16, 132, -705), [3, 18, 17], 3.19.aq_fc_abbd 
(-16, 132, -701), [3, 18, 2], 3.19.aq_fc_abaz 
(-16, 132, -699), [3, 18, 4], 3.19.aq_fc_abax 
(-16, 132, -697), [3, 18, 6], 3.19.aq_fc_abav 
(-16, 132, -695), [3, 18, 8], 3.19.aq_fc_abat 
(-16, 132, -693), [3, 18, 10], 3.19.aq_fc_abar 
(-16, 133, -717), [3, 0, 5], 3.19.aq_fd_abbp 
(-16, 133, -715), [3, 0, 7], 3.19.aq_fd_abbn 
(-16, 133, -709), [3, 0, 13], 3.19.aq_fd_abbh 
(-16, 133, -705), [3, 0, 17], 3.19.aq_fd_abbd 
(-16, 133, -701), [3, 0, 2], 3.19.aq_fd_abaz 
(-16, 134, -723), [3, 1, 18], 3.19.aq_fe_abbv 
(-16, 134, -721), [3, 1, 1], 3.19.aq_fe_abbt 
(-16, 134, -719), [3, 1, 3], 3.19.aq_fe_abbr 
(-16, 134, -717), [3, 1, 5], 3.19.aq_fe_abbp 
(-16, 134, -715), [3, 1, 7], 3.19.aq_fe_abbn 
(-16, 134, -714), [3, 1, 8], 3.19.aq_fe_abbm 
(-16, 134, -713), [3, 1, 9], 3.19.aq_fe_abbl 
(-16, 134, -711), [3, 1, 11], 3.19.aq_fe_abbj 
(-16, 134, -709), [3, 1, 13], 3.19.aq_fe_abbh 
(-16, 134, -707), [3, 1, 15], 3.19.aq_fe_abbf 
(-16, 135, -727), [3, 2, 14], 3.19.aq_ff_abbz 
(-16, 135, -721), [3, 2, 1], 3.19.aq_ff_abbt 
(-16, 135, -718), [3, 2, 4], 3.19.aq_ff_abbq 
