(-13, 84, -375), [3, 0, 1], 3.16.an_dg_aol 
(-13, 85, -391), [3, 1, 1], 3.16.an_dh_apb 
(-13, 86, -399), [3, 2, 1], 3.16.an_di_apj 
(-13, 86, -397), [3, 2, 3], 3.16.an_di_aph 
(-13, 86, -395), [3, 2, 1], 3.16.an_di_apf 
(-13, 86, -393), [3, 2, 3], 3.16.an_di_apd 
(-13, 86, -391), [3, 2, 1], 3.16.an_di_apb 
(-13, 86, -389), [3, 2, 3], 3.16.an_di_aoz 
(-13, 87, -405), [3, 3, 3], 3.16.an_dj_app 
(-13, 88, -415), [3, 0, 1], 3.16.an_dk_apz 
(-13, 88, -413), [3, 0, 3], 3.16.an_dk_apx 
(-13, 88, -411), [3, 0, 1], 3.16.an_dk_apv 
(-13, 88, -409), [3, 0, 3], 3.16.an_dk_apt 
(-13, 88, -407), [3, 0, 1], 3.16.an_dk_apr 
(-13, 88, -405), [3, 0, 3], 3.16.an_dk_app 
(-13, 88, -403), [3, 0, 1], 3.16.an_dk_apn 
(-13, 90, -431), [3, 2, 1], 3.16.an_dm_aqp 
(-13, 90, -429), [3, 2, 3], 3.16.an_dm_aqn 
(-13, 90, -427), [3, 2, 1], 3.16.an_dm_aql 
(-13, 90, -425), [3, 2, 3], 3.16.an_dm_aqj 
(-13, 90, -423), [3, 2, 1], 3.16.an_dm_aqh 
(-13, 90, -421), [3, 2, 3], 3.16.an_dm_aqf 
(-13, 90, -419), [3, 2, 1], 3.16.an_dm_aqd 
(-13, 90, -417), [3, 2, 3], 3.16.an_dm_aqb 
(-13, 90, -415), [3, 2, 1], 3.16.an_dm_apz 
(-13, 91, -425), [3, 3, 3], 3.16.an_dn_aqj 
(-13, 92, -447), [3, 0, 1], 3.16.an_do_arf 
(-13, 92, -445), [3, 0, 3], 3.16.an_do_ard 
(-13, 92, -443), [3, 0, 1], 3.16.an_do_arb 
(-13, 92, -441), [3, 0, 3], 3.16.an_do_aqz 
(-13, 92, -439), [3, 0, 1], 3.16.an_do_aqx 
(-13, 92, -437), [3, 0, 3], 3.16.an_do_aqv 
(-13, 92, -435), [3, 0, 1], 3.16.an_do_aqt 
(-13, 92, -433), [3, 0, 3], 3.16.an_do_aqr 
(-13, 92, -431), [3, 0, 1], 3.16.an_do_aqp 
(-13, 92, -429), [3, 0, 3], 3.16.an_do_aqn 
(-13, 93, -435), [3, 1, 1], 3.16.an_dp_aqt 
(-13, 94, -463), [3, 2, 1], 3.16.an_dq_arv 
(-13, 94, -461), [3, 2, 3], 3.16.an_dq_art 
(-13, 94, -459), [3, 2, 1], 3.16.an_dq_arr 
(-13, 94, -457), [3, 2, 3], 3.16.an_dq_arp 
(-13, 94, -455), [3, 2, 1], 3.16.an_dq_arn 
(-13, 94, -453), [3, 2, 3], 3.16.an_dq_arl 
(-13, 94, -451), [3, 2, 1], 3.16.an_dq_arj 
(-13, 94, -449), [3, 2, 3], 3.16.an_dq_arh 
(-13, 94, -447), [3, 2, 1], 3.16.an_dq_arf 
(-13, 94, -445), [3, 2, 3], 3.16.an_dq_ard 
(-13, 94, -443), [3, 2, 1], 3.16.an_dq_arb 
(-13, 94, -441), [3, 2, 3], 3.16.an_dq_aqz 
(-13, 95, -449), [3, 3, 3], 3.16.an_dr_arh 
(-13, 96, -469), [3, 0, 3], 3.16.an_ds_asb 
(-13, 96, -467), [3, 0, 1], 3.16.an_ds_arz 
(-13, 96, -465), [3, 0, 3], 3.16.an_ds_arx 
(-13, 96, -463), [3, 0, 1], 3.16.an_ds_arv 
(-13, 96, -461), [3, 0, 3], 3.16.an_ds_art 
(-13, 96, -459), [3, 0, 1], 3.16.an_ds_arr 
(-13, 96, -457), [3, 0, 3], 3.16.an_ds_arp 
(-13, 96, -455), [3, 0, 1], 3.16.an_ds_arn 
(-13, 96, -453), [3, 0, 3], 3.16.an_ds_arl 
(-13, 98, -475), [3, 2, 1], 3.16.an_du_ash 
(-13, 98, -473), [3, 2, 3], 3.16.an_du_asf 
(-13, 98, -471), [3, 2, 1], 3.16.an_du_asd 
(-13, 98, -469), [3, 2, 3], 3.16.an_du_asb 
(-13, 98, -467), [3, 2, 1], 3.16.an_du_arz 
(-13, 98, -465), [3, 2, 3], 3.16.an_du_arx 
