(-6, 19, -59), [2, 3, 1], 3.9.ag_t_ach 
(-6, 19, -58), [2, 3, 2], 3.9.ag_t_acg 
(-6, 19, -56), [2, 3, 0], 3.9.ag_t_ace 
(-6, 19, -55), [2, 3, 1], 3.9.ag_t_acd 
(-6, 19, -53), [2, 3, 3], 3.9.ag_t_acb 
(-6, 19, -52), [2, 3, 0], 3.9.ag_t_aca 
(-6, 19, -50), [2, 3, 2], 3.9.ag_t_aby 
(-6, 19, -49), [2, 3, 3], 3.9.ag_t_abx 
(-6, 19, -47), [2, 3, 1], 3.9.ag_t_abv 
(-6, 19, -46), [2, 3, 2], 3.9.ag_t_abu 
(-6, 20, -64), [2, 0, 0], 3.9.ag_u_acm 
(-6, 20, -62), [2, 0, 2], 3.9.ag_u_ack 
(-6, 20, -58), [2, 0, 2], 3.9.ag_u_acg 
(-6, 20, -56), [2, 0, 0], 3.9.ag_u_ace 
(-6, 20, -52), [2, 0, 0], 3.9.ag_u_aca 
(-6, 20, -50), [2, 0, 2], 3.9.ag_u_aby 
(-6, 21, -70), [2, 1, 2], 3.9.ag_v_acs 
(-6, 21, -68), [2, 1, 0], 3.9.ag_v_acq 
(-6, 21, -67), [2, 1, 1], 3.9.ag_v_acp 
(-6, 21, -65), [2, 1, 3], 3.9.ag_v_acn 
(-6, 21, -64), [2, 1, 0], 3.9.ag_v_acm 
(-6, 21, -62), [2, 1, 2], 3.9.ag_v_ack 
(-6, 21, -61), [2, 1, 3], 3.9.ag_v_acj 
(-6, 21, -59), [2, 1, 1], 3.9.ag_v_ach 
(-6, 21, -58), [2, 1, 2], 3.9.ag_v_acg 
(-6, 21, -56), [2, 1, 0], 3.9.ag_v_ace 
(-6, 21, -55), [2, 1, 1], 3.9.ag_v_acd 
(-6, 22, -76), [2, 2, 0], 3.9.ag_w_acy 
(-6, 22, -74), [2, 2, 2], 3.9.ag_w_acw 
(-6, 22, -70), [2, 2, 2], 3.9.ag_w_acs 
(-6, 22, -68), [2, 2, 0], 3.9.ag_w_acq 
(-6, 22, -62), [2, 2, 2], 3.9.ag_w_ack 
(-6, 23, -83), [2, 3, 1], 3.9.ag_x_adf 
(-6, 23, -82), [2, 3, 2], 3.9.ag_x_ade 
(-6, 23, -80), [2, 3, 0], 3.9.ag_x_adc 
(-6, 23, -79), [2, 3, 1], 3.9.ag_x_adb 
(-6, 23, -77), [2, 3, 3], 3.9.ag_x_acz 
(-6, 23, -76), [2, 3, 0], 3.9.ag_x_acy 
(-6, 23, -74), [2, 3, 2], 3.9.ag_x_acw 
(-6, 23, -73), [2, 3, 3], 3.9.ag_x_acv 
(-6, 23, -71), [2, 3, 1], 3.9.ag_x_act 
(-6, 23, -70), [2, 3, 2], 3.9.ag_x_acs 
(-6, 23, -68), [2, 3, 0], 3.9.ag_x_acq 
(-6, 23, -67), [2, 3, 1], 3.9.ag_x_acp 
(-6, 23, -65), [2, 3, 3], 3.9.ag_x_acn 
(-6, 23, -64), [2, 3, 0], 3.9.ag_x_acm 
(-6, 23, -62), [2, 3, 2], 3.9.ag_x_ack 
(-6, 23, -61), [2, 3, 3], 3.9.ag_x_acj 
(-6, 24, -88), [2, 0, 0], 3.9.ag_y_adk 
(-6, 24, -80), [2, 0, 0], 3.9.ag_y_adc 
(-6, 24, -76), [2, 0, 0], 3.9.ag_y_acy 
(-6, 24, -74), [2, 0, 2], 3.9.ag_y_acw 
(-6, 24, -70), [2, 0, 2], 3.9.ag_y_acs 
