(-8, 36, -115), [0, 4, 5], 3.8.ai_bk_ael 
(-8, 37, -125), [0, 5, 3], 3.8.ai_bl_aev 
(-8, 37, -123), [0, 5, 5], 3.8.ai_bl_aet 
(-8, 37, -121), [0, 5, 7], 3.8.ai_bl_aer 
(-8, 37, -119), [0, 5, 1], 3.8.ai_bl_aep 
(-8, 37, -117), [0, 5, 3], 3.8.ai_bl_aen 
(-8, 38, -129), [0, 6, 7], 3.8.ai_bm_aez 
(-8, 39, -135), [0, 7, 1], 3.8.ai_bn_aff 
(-8, 39, -133), [0, 7, 3], 3.8.ai_bn_afd 
(-8, 39, -131), [0, 7, 5], 3.8.ai_bn_afb 
(-8, 39, -129), [0, 7, 7], 3.8.ai_bn_aez 
(-8, 39, -127), [0, 7, 1], 3.8.ai_bn_aex 
(-8, 39, -125), [0, 7, 3], 3.8.ai_bn_aev 
(-8, 40, -129), [0, 0, 7], 3.8.ai_bo_aez 
(-8, 41, -137), [0, 1, 7], 3.8.ai_bp_afh 
(-8, 41, -135), [0, 1, 1], 3.8.ai_bp_aff 
(-8, 41, -133), [0, 1, 3], 3.8.ai_bp_afd 
(-8, 43, -141), [0, 3, 3], 3.8.ai_br_afl 
(-7, 12, -1), [1, 4, 7], 3.8.ah_m_ab 
(-7, 16, -23), [1, 0, 1], 3.8.ah_q_ax 
(-7, 18, -35), [1, 2, 5], 3.8.ah_s_abj 
(-7, 18, -33), [1, 2, 7], 3.8.ah_s_abh 
(-7, 20, -45), [1, 4, 3], 3.8.ah_u_abt 
(-7, 20, -43), [1, 4, 5], 3.8.ah_u_abr 
(-7, 22, -57), [1, 6, 7], 3.8.ah_w_acf 
(-7, 22, -55), [1, 6, 1], 3.8.ah_w_acd 
(-7, 22, -53), [1, 6, 3], 3.8.ah_w_acb 
(-7, 23, -63), [1, 7, 1], 3.8.ah_x_acl 
(-7, 24, -69), [1, 0, 3], 3.8.ah_y_acr 
(-7, 24, -67), [1, 0, 5], 3.8.ah_y_acp 
(-7, 24, -65), [1, 0, 7], 3.8.ah_y_acn 
(-7, 24, -63), [1, 0, 1], 3.8.ah_y_acl 
(-7, 26, -79), [1, 2, 1], 3.8.ah_ba_adb 
(-7, 26, -77), [1, 2, 3], 3.8.ah_ba_acz 
(-7, 26, -75), [1, 2, 5], 3.8.ah_ba_acx 
(-7, 26, -73), [1, 2, 7], 3.8.ah_ba_acv 
(-7, 26, -71), [1, 2, 1], 3.8.ah_ba_act 
(-7, 28, -91), [1, 4, 5], 3.8.ah_bc_adn 
(-7, 28, -89), [1, 4, 7], 3.8.ah_bc_adl 
(-7, 28, -87), [1, 4, 1], 3.8.ah_bc_adj 
(-7, 28, -85), [1, 4, 3], 3.8.ah_bc_adh 
(-7, 28, -83), [1, 4, 5], 3.8.ah_bc_adf 
(-7, 28, -81), [1, 4, 7], 3.8.ah_bc_add 
(-7, 30, -101), [1, 6, 3], 3.8.ah_be_adx 
(-7, 30, -99), [1, 6, 5], 3.8.ah_be_adv 
(-7, 30, -97), [1, 6, 7], 3.8.ah_be_adt 
(-7, 30, -95), [1, 6, 1], 3.8.ah_be_adr 
(-7, 30, -93), [1, 6, 3], 3.8.ah_be_adp 
(-7, 30, -91), [1, 6, 5], 3.8.ah_be_adn 
(-7, 30, -89), [1, 6, 7], 3.8.ah_be_adl 
(-7, 31, -95), [1, 7, 1], 3.8.ah_bf_adr 
(-7, 32, -113), [1, 0, 7], 3.8.ah_bg_aej 
(-7, 32, -111), [1, 0, 1], 3.8.ah_bg_aeh 
(-7, 32, -109), [1, 0, 3], 3.8.ah_bg_aef 
(-7, 32, -107), [1, 0, 5], 3.8.ah_bg_aed 
(-7, 32, -105), [1, 0, 7], 3.8.ah_bg_aeb 
(-7, 32, -103), [1, 0, 1], 3.8.ah_bg_adz 
(-7, 32, -101), [1, 0, 3], 3.8.ah_bg_adx 
(-7, 32, -99), [1, 0, 5], 3.8.ah_bg_adv 
(-7, 32, -97), [1, 0, 7], 3.8.ah_bg_adt 
(-7, 34, -115), [1, 2, 5], 3.8.ah_bi_ael 
(-7, 34, -113), [1, 2, 7], 3.8.ah_bi_aej 
(-7, 34, -111), [1, 2, 1], 3.8.ah_bi_aeh 
(-7, 34, -109), [1, 2, 3], 3.8.ah_bi_aef 
(-7, 34, -107), [1, 2, 5], 3.8.ah_bi_aed 
(-7, 34, -105), [1, 2, 7], 3.8.ah_bi_aeb 
(-7, 36, -117), [1, 4, 3], 3.8.ah_bk_aen 
(-7, 36, -115), [1, 4, 5], 3.8.ah_bk_ael 
(-7, 36, -113), [1, 4, 7], 3.8.ah_bk_aej 
(-7, 38, -119), [1, 6, 1], 3.8.ah_bm_aep 
(-6, 0, 51), [2, 0, 3], 3.8.ag_a_bz 
(-6, 5, 23), [2, 5, 7], 3.8.ag_f_x 
(-6, 6, 17), [2, 6, 1], 3.8.ag_g_r 
(-6, 7, 13), [2, 7, 5], 3.8.ag_h_n 
(-6, 8, 7), [2, 0, 7], 3.8.ag_i_h 
(-6, 9, 1), [2, 1, 1], 3.8.ag_j_b 
(-6, 9, 3), [2, 1, 3], 3.8.ag_j_d 
(-6, 11, -11), [2, 3, 5], 3.8.ag_l_al 
(-6, 11, -9), [2, 3, 7], 3.8.ag_l_aj 
(-6, 11, -7), [2, 3, 1], 3.8.ag_l_ah 
(-6, 12, -17), [2, 4, 7], 3.8.ag_m_ar 
(-6, 13, -21), [2, 5, 3], 3.8.ag_n_av 
(-6, 13, -19), [2, 5, 5], 3.8.ag_n_at 
(-6, 13, -17), [2, 5, 7], 3.8.ag_n_ar 
(-6, 15, -33), [2, 7, 7], 3.8.ag_p_abh 
(-6, 15, -31), [2, 7, 1], 3.8.ag_p_abf 
(-6, 15, -29), [2, 7, 3], 3.8.ag_p_abd 
(-6, 15, -27), [2, 7, 5], 3.8.ag_p_abb 
(-6, 15, -25), [2, 7, 7], 3.8.ag_p_az 
(-6, 17, -45), [2, 1, 3], 3.8.ag_r_abt 
(-6, 17, -43), [2, 1, 5], 3.8.ag_r_abr 
(-6, 17, -41), [2, 1, 7], 3.8.ag_r_abp 
(-6, 17, -39), [2, 1, 1], 3.8.ag_r_abn 
(-6, 17, -37), [2, 1, 3], 3.8.ag_r_abl 
(-6, 17, -35), [2, 1, 5], 3.8.ag_r_abj 
(-6, 19, -55), [2, 3, 1], 3.8.ag_t_acd 
(-6, 19, -53), [2, 3, 3], 3.8.ag_t_acb 
(-6, 19, -51), [2, 3, 5], 3.8.ag_t_abz 
(-6, 19, -49), [2, 3, 7], 3.8.ag_t_abx 
(-6, 19, -47), [2, 3, 1], 3.8.ag_t_abv 
(-6, 19, -45), [2, 3, 3], 3.8.ag_t_abt 
(-6, 21, -67), [2, 5, 5], 3.8.ag_v_acp 
(-6, 21, -65), [2, 5, 7], 3.8.ag_v_acn 
(-6, 21, -63), [2, 5, 1], 3.8.ag_v_acl 
(-6, 21, -61), [2, 5, 3], 3.8.ag_v_acj 
(-6, 21, -59), [2, 5, 5], 3.8.ag_v_ach 
(-6, 21, -57), [2, 5, 7], 3.8.ag_v_acf 
(-6, 21, -55), [2, 5, 1], 3.8.ag_v_acd 
(-6, 21, -53), [2, 5, 3], 3.8.ag_v_acb 
(-6, 22, -65), [2, 6, 7], 3.8.ag_w_acn 
(-6, 23, -79), [2, 7, 1], 3.8.ag_x_adb 
(-6, 23, -77), [2, 7, 3], 3.8.ag_x_acz 
(-6, 23, -75), [2, 7, 5], 3.8.ag_x_acx 
(-6, 23, -73), [2, 7, 7], 3.8.ag_x_acv 
(-6, 23, -71), [2, 7, 1], 3.8.ag_x_act 
(-6, 23, -69), [2, 7, 3], 3.8.ag_x_acr 
(-6, 23, -67), [2, 7, 5], 3.8.ag_x_acp 
(-6, 23, -65), [2, 7, 7], 3.8.ag_x_acn 
(-6, 23, -63), [2, 7, 1], 3.8.ag_x_acl 
(-6, 23, -61), [2, 7, 3], 3.8.ag_x_acj 
(-6, 24, -85), [2, 0, 3], 3.8.ag_y_adh 
(-6, 25, -89), [2, 1, 7], 3.8.ag_z_adl 
(-6, 25, -87), [2, 1, 1], 3.8.ag_z_adj 
(-6, 25, -85), [2, 1, 3], 3.8.ag_z_adh 
(-6, 25, -83), [2, 1, 5], 3.8.ag_z_adf 
(-6, 25, -81), [2, 1, 7], 3.8.ag_z_add 
(-6, 25, -79), [2, 1, 1], 3.8.ag_z_adb 
(-6, 25, -77), [2, 1, 3], 3.8.ag_z_acz 
(-6, 25, -75), [2, 1, 5], 3.8.ag_z_acx 
(-6, 25, -73), [2, 1, 7], 3.8.ag_z_acv 
(-6, 25, -71), [2, 1, 1], 3.8.ag_z_act 
(-6, 25, -69), [2, 1, 3], 3.8.ag_z_acr 
(-6, 26, -95), [2, 2, 1], 3.8.ag_ba_adr 
(-6, 27, -95), [2, 3, 1], 3.8.ag_bb_adr 
(-6, 27, -93), [2, 3, 3], 3.8.ag_bb_adp 
(-6, 27, -91), [2, 3, 5], 3.8.ag_bb_adn 
(-6, 27, -89), [2, 3, 7], 3.8.ag_bb_adl 
(-6, 27, -87), [2, 3, 1], 3.8.ag_bb_adj 
