(-1, 6, -3), [3, 2, 1], 3.5.ab_g_ad 
(-1, 6, 1), [3, 2, 1], 3.5.ab_g_b 
(-1, 6, 3), [3, 2, 3], 3.5.ab_g_d 
(-1, 8, -13), [3, 0, 3], 3.5.ab_i_an 
(-1, 8, -11), [3, 0, 1], 3.5.ab_i_al 
(-1, 8, -9), [3, 0, 3], 3.5.ab_i_aj 
(-1, 8, -1), [3, 0, 3], 3.5.ab_i_ab 
(-1, 10, -11), [3, 2, 1], 3.5.ab_k_al 
(-1, 10, -9), [3, 2, 3], 3.5.ab_k_aj 
(-1, 10, -7), [3, 2, 1], 3.5.ab_k_ah 
(-1, 12, -9), [3, 0, 3], 3.5.ab_m_aj 
(-1, 13, -9), [3, 1, 3], 3.5.ab_n_aj 
(0, -4, -3), [0, 0, 1], 3.5.a_ae_ad 
(0, -4, -1), [0, 0, 3], 3.5.a_ae_ab 
(0, -4, 1), [0, 0, 1], 3.5.a_ae_b 
(0, -4, 3), [0, 0, 3], 3.5.a_ae_d 
(0, -3, -7), [0, 1, 1], 3.5.a_ad_ah 
(0, -3, -1), [0, 1, 3], 3.5.a_ad_ab 
(0, -3, 1), [0, 1, 1], 3.5.a_ad_b 
(0, -3, 7), [0, 1, 3], 3.5.a_ad_h 
(0, -2, -13), [0, 2, 3], 3.5.a_ac_an 
(0, -2, -11), [0, 2, 1], 3.5.a_ac_al 
(0, -2, -9), [0, 2, 3], 3.5.a_ac_aj 
(0, -2, -7), [0, 2, 1], 3.5.a_ac_ah 
(0, -2, -3), [0, 2, 1], 3.5.a_ac_ad 
(0, -2, -1), [0, 2, 3], 3.5.a_ac_ab 
(0, -2, 1), [0, 2, 1], 3.5.a_ac_b 
(0, -2, 3), [0, 2, 3], 3.5.a_ac_d 
(0, -2, 7), [0, 2, 3], 3.5.a_ac_h 
(0, -2, 9), [0, 2, 1], 3.5.a_ac_j 
(0, -2, 11), [0, 2, 3], 3.5.a_ac_l 
(0, -2, 13), [0, 2, 1], 3.5.a_ac_n 
(0, -1, -11), [0, 3, 1], 3.5.a_ab_al 
(0, -1, 11), [0, 3, 3], 3.5.a_ab_l 
(0, 0, -21), [0, 0, 3], 3.5.a_a_av 
(0, 0, -19), [0, 0, 1], 3.5.a_a_at 
(0, 0, -17), [0, 0, 3], 3.5.a_a_ar 
(0, 0, -16), [0, 0, 0], 3.5.a_a_aq 
(0, 0, -13), [0, 0, 3], 3.5.a_a_an 
(0, 0, -11), [0, 0, 1], 3.5.a_a_al 
(0, 0, -9), [0, 0, 3], 3.5.a_a_aj 
(0, 0, -7), [0, 0, 1], 3.5.a_a_ah 
(0, 0, -3), [0, 0, 1], 3.5.a_a_ad 
(0, 0, -1), [0, 0, 3], 3.5.a_a_ab 
(0, 0, 1), [0, 0, 1], 3.5.a_a_b 
(0, 0, 3), [0, 0, 3], 3.5.a_a_d 
(0, 0, 7), [0, 0, 3], 3.5.a_a_h 
(0, 0, 9), [0, 0, 1], 3.5.a_a_j 
(0, 0, 11), [0, 0, 3], 3.5.a_a_l 
(0, 0, 13), [0, 0, 1], 3.5.a_a_n 
(0, 0, 16), [0, 0, 0], 3.5.a_a_q 
(0, 0, 17), [0, 0, 1], 3.5.a_a_r 
(0, 0, 19), [0, 0, 3], 3.5.a_a_t 
(0, 0, 21), [0, 0, 1], 3.5.a_a_v 
(0, 1, -19), [0, 1, 1], 3.5.a_b_at 
(0, 1, -1), [0, 1, 3], 3.5.a_b_ab 
(0, 1, 1), [0, 1, 1], 3.5.a_b_b 
(0, 1, 19), [0, 1, 3], 3.5.a_b_t 
(0, 2, -17), [0, 2, 3], 3.5.a_c_ar 
(0, 2, -13), [0, 2, 3], 3.5.a_c_an 
