(-7, 32, -96), [1, 0, 0], 3.7.ah_bg_ads 
(-7, 33, -103), [1, 1, 1], 3.7.ah_bh_adz 
(-7, 33, -101), [1, 1, 3], 3.7.ah_bh_adx 
(-7, 33, -100), [1, 1, 0], 3.7.ah_bh_adw 
(-7, 33, -99), [1, 1, 1], 3.7.ah_bh_adv 
(-6, 11, -10), [2, 3, 2], 3.7.ag_l_ak 
(-6, 13, -18), [2, 1, 2], 3.7.ag_n_as 
(-6, 14, -26), [2, 2, 2], 3.7.ag_o_aba 
(-6, 15, -32), [2, 3, 0], 3.7.ag_p_abg 
(-6, 15, -31), [2, 3, 1], 3.7.ag_p_abf 
(-6, 15, -30), [2, 3, 2], 3.7.ag_p_abe 
(-6, 15, -27), [2, 3, 1], 3.7.ag_p_abb 
(-6, 16, -36), [2, 0, 0], 3.7.ag_q_abk 
(-6, 17, -40), [2, 1, 0], 3.7.ag_r_abo 
(-6, 17, -38), [2, 1, 2], 3.7.ag_r_abm 
(-6, 17, -37), [2, 1, 3], 3.7.ag_r_abl 
(-6, 18, -46), [2, 2, 2], 3.7.ag_s_abu 
(-6, 19, -53), [2, 3, 3], 3.7.ag_t_acb 
(-6, 19, -52), [2, 3, 0], 3.7.ag_t_aca 
(-6, 19, -50), [2, 3, 2], 3.7.ag_t_aby 
(-6, 19, -48), [2, 3, 0], 3.7.ag_t_abw 
(-6, 19, -46), [2, 3, 2], 3.7.ag_t_abu 
(-6, 20, -58), [2, 0, 2], 3.7.ag_u_acg 
(-6, 20, -52), [2, 0, 0], 3.7.ag_u_aca 
(-6, 20, -50), [2, 0, 2], 3.7.ag_u_aby 
(-6, 21, -64), [2, 1, 0], 3.7.ag_v_acm 
(-6, 21, -62), [2, 1, 2], 3.7.ag_v_ack 
(-6, 21, -61), [2, 1, 3], 3.7.ag_v_acj 
(-6, 21, -60), [2, 1, 0], 3.7.ag_v_aci 
(-6, 21, -58), [2, 1, 2], 3.7.ag_v_acg 
(-6, 21, -55), [2, 1, 1], 3.7.ag_v_acd 
(-6, 21, -54), [2, 1, 2], 3.7.ag_v_acc 
(-6, 21, -53), [2, 1, 3], 3.7.ag_v_acb 
(-6, 22, -68), [2, 2, 0], 3.7.ag_w_acq 
(-6, 22, -66), [2, 2, 2], 3.7.ag_w_aco 
(-6, 22, -58), [2, 2, 2], 3.7.ag_w_acg 
(-6, 23, -74), [2, 3, 2], 3.7.ag_x_acw 
(-6, 23, -73), [2, 3, 3], 3.7.ag_x_acv 
(-6, 23, -71), [2, 3, 1], 3.7.ag_x_act 
(-6, 23, -68), [2, 3, 0], 3.7.ag_x_acq 
(-6, 23, -67), [2, 3, 1], 3.7.ag_x_acp 
(-6, 23, -66), [2, 3, 2], 3.7.ag_x_aco 
(-6, 23, -65), [2, 3, 3], 3.7.ag_x_acn 
(-6, 23, -64), [2, 3, 0], 3.7.ag_x_acm 
(-6, 23, -62), [2, 3, 2], 3.7.ag_x_ack 
(-6, 23, -61), [2, 3, 3], 3.7.ag_x_acj 
(-6, 24, -78), [2, 0, 2], 3.7.ag_y_ada 
(-6, 24, -76), [2, 0, 0], 3.7.ag_y_acy 
(-6, 24, -72), [2, 0, 0], 3.7.ag_y_acu 
(-6, 24, -68), [2, 0, 0], 3.7.ag_y_acq 
(-6, 25, -82), [2, 1, 2], 3.7.ag_z_ade 
(-6, 25, -81), [2, 1, 3], 3.7.ag_z_add 
(-6, 25, -80), [2, 1, 0], 3.7.ag_z_adc 
(-6, 25, -78), [2, 1, 2], 3.7.ag_z_ada 
(-6, 25, -75), [2, 1, 1], 3.7.ag_z_acx 
