(-2, -2, 17), [2, 2, 1], 3.17.ae_bm_ady 
(0, -4, 23), [0, 0, 3], 3.17.ae_bo_afg 
(0, -4, 24), [0, 0, 0], 3.17.ae_bp_afg 
(0, -4, 25), [0, 0, 1], 3.17.ae_bq_afg 
(0, -4, 26), [0, 0, 2], 3.17.ae_br_afg 
(0, -4, 27), [0, 0, 3], 3.17.ae_bs_afg 
(0, -4, 28), [0, 0, 0], 3.17.ae_bt_afg 
(0, -4, 30), [0, 0, 2], 3.17.ae_bv_afg 
(0, -4, 31), [0, 0, 3], 3.17.ae_bw_afg 
(0, -4, 32), [0, 0, 0], 3.17.ae_bx_afg 
(0, -4, 36), [0, 0, 0], 3.17.ae_cb_afg 
(-7, 4, 0), [1, 0, 0], 3.17.ad_al_fg 
(-8, 5, 17), [0, 1, 1], 3.17.ad_ag_bi 
(-4, 1, -17), [0, 1, 3], 3.17.ad_ae_dy 
(-6, 3, 0), [2, 3, 0], 3.17.ad_ab_dy 
(-2, -1, -17), [2, 3, 3], 3.17.ad_c_a 
(0, -3, -9), [0, 1, 3], 3.17.ad_i_ady 
(0, -3, -8), [0, 1, 0], 3.17.ad_j_ady 
(0, -3, -7), [0, 1, 1], 3.17.ad_k_ady 
(0, -3, -5), [0, 1, 3], 3.17.ad_m_ady 
(1, -4, 0), [1, 0, 0], 3.17.ad_n_afg 
(0, -3, -4), [0, 1, 0], 3.17.ad_n_ady 
(-4, 1, 0), [0, 1, 0], 3.17.ad_n_bi 
(0, -3, -3), [0, 1, 1], 3.17.ad_o_ady 
(6, -9, 51), [2, 3, 3], 3.17.ad_o_a 
(0, -3, -2), [0, 1, 2], 3.17.ad_p_ady 
(0, -3, -1), [0, 1, 3], 3.17.ad_q_ady 
(-6, 3, 17), [2, 3, 1], 3.17.ad_q_a 
(0, -3, 1), [0, 1, 1], 3.17.ad_s_ady 
(0, -3, 2), [0, 1, 2], 3.17.ad_t_ady 
(-1, -2, 0), [3, 2, 0], 3.17.ad_t_acq 
(-2, -1, 0), [2, 3, 0], 3.17.ad_t_abi 
(0, -3, 3), [0, 1, 3], 3.17.ad_u_ady 
(0, -3, 4), [0, 1, 0], 3.17.ad_v_ady 
(0, -3, 5), [0, 1, 1], 3.17.ad_w_ady 
(0, -3, 7), [0, 1, 3], 3.17.ad_y_ady 
(0, -3, 8), [0, 1, 0], 3.17.ad_z_ady 
(0, -3, 9), [0, 1, 1], 3.17.ad_ba_ady 
(0, -3, 10), [0, 1, 2], 3.17.ad_bb_ady 
(0, -3, 11), [0, 1, 3], 3.17.ad_bc_ady 
(0, -3, 12), [0, 1, 0], 3.17.ad_bd_ady 
(0, -3, 13), [0, 1, 1], 3.17.ad_be_ady 
(0, -3, 14), [0, 1, 2], 3.17.ad_bf_ady 
(0, -3, 15), [0, 1, 3], 3.17.ad_bg_ady 
(0, -3, 18), [0, 1, 2], 3.17.ad_bj_ady 
(0, -3, 19), [0, 1, 3], 3.17.ad_bk_ady 
(-2, -1, 17), [2, 3, 1], 3.17.ad_bk_acq 
(0, -3, 20), [0, 1, 0], 3.17.ad_bl_ady 
(0, -3, 21), [0, 1, 1], 3.17.ad_bm_ady 
(0, -3, 22), [0, 1, 2], 3.17.ad_bn_ady 
(0, -3, 23), [0, 1, 3], 3.17.ad_bo_ady 
(0, -3, 25), [0, 1, 1], 3.17.ad_bq_ady 
(0, -3, 26), [0, 1, 2], 3.17.ad_br_ady 
(0, -3, 27), [0, 1, 3], 3.17.ad_bs_ady 
(0, -3, 28), [0, 1, 0], 3.17.ad_bt_ady 
(0, -3, 29), [0, 1, 1], 3.17.ad_bu_ady 
(-8, 6, 17), [0, 2, 1], 3.17.ac_ao_cq 
(8, -10, 51), [0, 2, 3], 3.17.ac_am_cq 
