(7, 4, 13), [7, 4, 0], 3.13.l_cc_hn 
(0, 11, 55), [0, 11, 3], 3.13.l_cq_la 
(2, 9, 39), [2, 9, 0], 3.13.l_cs_ma 
(3, 8, 39), [3, 8, 0], 3.13.l_cy_mn 
(7, 5, 13), [7, 5, 0], 3.13.m_cj_in 
(3, 9, 39), [3, 9, 0], 3.13.m_db_nn 
(4, 8, 39), [4, 8, 0], 3.13.m_dg_oa 
(4, 9, 39), [4, 9, 0], 3.13.n_dk_pa 
(5, 8, 39), [5, 8, 0], 3.13.n_do_pn 
(5, 9, 39), [5, 9, 0], 3.13.o_dt_qn 
(6, 8, 39), [6, 8, 0], 3.13.o_dw_ra 
(6, 9, 39), [6, 9, 0], 3.13.p_ec_sa 
(7, 8, 39), [7, 8, 0], 3.13.p_ee_sn 
(7, 9, 39), [7, 9, 0], 3.13.q_el_tn 
