(0, -3, 7), [0, 1, 3], 3.19.ad_ba_aek 
(0, -3, 8), [0, 1, 0], 3.19.ad_bb_aek 
(2, -5, 19), [2, 3, 3], 3.19.ad_bc_afw 
(0, -3, 9), [0, 1, 1], 3.19.ad_bc_aek 
(0, -3, 11), [0, 1, 3], 3.19.ad_be_aek 
(0, -3, 12), [0, 1, 0], 3.19.ad_bf_aek 
(0, -3, 13), [0, 1, 1], 3.19.ad_bg_aek 
(0, -3, 14), [0, 1, 2], 3.19.ad_bh_aek 
(0, -3, 15), [0, 1, 3], 3.19.ad_bi_aek 
(0, -3, 16), [0, 1, 0], 3.19.ad_bj_aek 
(0, -3, 17), [0, 1, 1], 3.19.ad_bk_aek 
(0, -3, 18), [0, 1, 2], 3.19.ad_bl_aek 
(0, -3, 21), [0, 1, 1], 3.19.ad_bo_aek 
(-2, -1, 19), [2, 3, 3], 3.19.ad_bo_acy 
(0, -3, 22), [0, 1, 2], 3.19.ad_bp_aek 
(0, -3, 23), [0, 1, 3], 3.19.ad_bq_aek 
(0, -3, 24), [0, 1, 0], 3.19.ad_br_aek 
(0, -3, 25), [0, 1, 1], 3.19.ad_bs_aek 
(0, -3, 26), [0, 1, 2], 3.19.ad_bt_aek 
(0, -3, 27), [0, 1, 3], 3.19.ad_bu_aek 
(0, -3, 29), [0, 1, 1], 3.19.ad_bw_aek 
(0, -3, 30), [0, 1, 2], 3.19.ad_bx_aek 
(0, -3, 31), [0, 1, 3], 3.19.ad_by_aek 
(0, -3, 32), [0, 1, 0], 3.19.ad_bz_aek 
(0, -3, 33), [0, 1, 1], 3.19.ad_ca_aek 
(-8, 6, 19), [0, 2, 3], 3.19.ac_ak_cy 
(-4, 2, -19), [0, 2, 1], 3.19.ac_ai_fw 
(-6, 4, 0), [2, 0, 0], 3.19.ac_af_fw 
(8, -10, 57), [0, 2, 1], 3.19.ac_ae_cy 
(-3, 1, -19), [1, 1, 1], 3.19.ac_ad_dr 
(0, -2, -20), [0, 2, 0], 3.19.ac_ab_acy 
(0, -2, -18), [0, 2, 2], 3.19.ac_b_acy 
(-1, -1, -19), [3, 3, 1], 3.19.ac_b_at 
(0, -2, -17), [0, 2, 3], 3.19.ac_c_acy 
(0, -2, -16), [0, 2, 0], 3.19.ac_d_acy 
(-7, 5, 19), [1, 1, 3], 3.19.ac_d_cf 
(0, -2, -15), [0, 2, 1], 3.19.ac_e_acy 
(-5, 3, 0), [3, 3, 0], 3.19.ac_e_ek 
(0, -2, -14), [0, 2, 2], 3.19.ac_f_acy 
(0, -2, -13), [0, 2, 3], 3.19.ac_g_acy 
(0, -2, -12), [0, 2, 0], 3.19.ac_h_acy 
(0, -2, -11), [0, 2, 1], 3.19.ac_i_acy 
(0, -2, -9), [0, 2, 3], 3.19.ac_k_acy 
(2, -4, 0), [2, 0, 0], 3.19.ac_l_afw 
(0, -2, -8), [0, 2, 0], 3.19.ac_l_acy 
(-4, 2, 0), [0, 2, 0], 3.19.ac_l_cy 
(0, -2, -7), [0, 2, 1], 3.19.ac_m_acy 
(0, -2, -6), [0, 2, 2], 3.19.ac_n_acy 
(7, -9, 57), [3, 3, 1], 3.19.ac_n_cf 
(4, -6, 19), [0, 2, 3], 3.19.ac_o_afw 
(0, -2, -5), [0, 2, 3], 3.19.ac_o_acy 
(-6, 4, 19), [2, 0, 3], 3.19.ac_o_bm 
(0, -2, -4), [0, 2, 0], 3.19.ac_p_acy 
(1, -3, 0), [1, 1, 0], 3.19.ac_q_aek 
(0, -2, -3), [0, 2, 1], 3.19.ac_q_acy 
(-3, 1, 0), [1, 1, 0], 3.19.ac_q_bm 
(0, -2, -2), [0, 2, 2], 3.19.ac_r_acy 
(0, -2, -1), [0, 2, 3], 3.19.ac_s_acy 
(0, -2, 1), [0, 2, 1], 3.19.ac_u_acy 
(-1, -1, 0), [3, 3, 0], 3.19.ac_u_abm 
(0, -2, 2), [0, 2, 2], 3.19.ac_v_acy 
(0, -2, 4), [0, 2, 0], 3.19.ac_x_acy 
(-5, 3, 19), [3, 3, 3], 3.19.ac_x_t 
(0, -2, 5), [0, 2, 1], 3.19.ac_y_acy 
(0, -2, 6), [0, 2, 2], 3.19.ac_z_acy 
(0, -2, 7), [0, 2, 3], 3.19.ac_ba_acy 
(0, -2, 8), [0, 2, 0], 3.19.ac_bb_acy 
(0, -2, 9), [0, 2, 1], 3.19.ac_bc_acy 
(0, -2, 10), [0, 2, 2], 3.19.ac_bd_acy 
(2, -4, 19), [2, 0, 3], 3.19.ac_be_aek 
(0, -2, 11), [0, 2, 3], 3.19.ac_be_acy 
(-4, 2, 19), [0, 2, 3], 3.19.ac_be_a 
