(-3, -2, 5), [6, 7, 5], 3.9.af_u_abz 
(0, -5, 13), [0, 4, 4], 3.9.af_w_adm 
(-1, -4, 9), [8, 5, 0], 3.9.af_w_add 
(-3, -2, 7), [6, 7, 7], 3.9.af_w_acf 
(-4, -1, 9), [5, 8, 0], 3.9.af_w_acc 
(0, -5, 16), [0, 4, 7], 3.9.af_z_adm 
(0, -5, 17), [0, 4, 8], 3.9.af_ba_adm 
(-3, -2, 11), [6, 7, 2], 3.9.af_ba_acr 
(0, -5, 19), [0, 4, 1], 3.9.af_bc_adm 
(-1, -4, 15), [8, 5, 6], 3.9.af_bc_adj 
(-3, -2, 13), [6, 7, 4], 3.9.af_bc_acx 
(0, -5, 20), [0, 4, 2], 3.9.af_bd_adm 
(-3, -2, 14), [6, 7, 5], 3.9.af_bd_ada 
(-3, -2, 16), [6, 7, 7], 3.9.af_bf_adg 
(0, -5, 23), [0, 4, 5], 3.9.af_bg_adm 
(-3, -2, 17), [6, 7, 8], 3.9.af_bg_adj 
(-6, 2, -5), [3, 2, 4], 3.9.ae_ai_co 
(-6, 2, -4), [3, 2, 5], 3.9.ae_ah_ci 
(-6, 2, -2), [3, 2, 7], 3.9.ae_af_bw 
(-5, 1, -9), [4, 1, 0], 3.9.ae_af_cl 
(-6, 2, -1), [3, 2, 8], 3.9.ae_ae_bq 
(-6, 2, 1), [3, 2, 1], 3.9.ae_ac_be 
(-6, 2, 4), [3, 2, 4], 3.9.ae_b_m 
(-5, 1, -3), [4, 1, 6], 3.9.ae_b_bh 
(-6, 2, 5), [3, 2, 5], 3.9.ae_c_g 
(-3, -1, -10), [6, 8, 8], 3.9.ae_c_m 
(-6, 2, 7), [3, 2, 7], 3.9.ae_e_ag 
(-6, 2, 8), [3, 2, 8], 3.9.ae_f_am 
(-6, 2, 11), [3, 2, 2], 3.9.ae_i_abe 
(-6, 2, 13), [3, 2, 4], 3.9.ae_k_abq 
(-6, 2, 14), [3, 2, 5], 3.9.ae_l_abw 
(-3, -1, -1), [6, 8, 8], 3.9.ae_l_ap 
(-6, 2, 16), [3, 2, 7], 3.9.ae_n_aci 
(-6, 2, 17), [3, 2, 8], 3.9.ae_o_aco 
(0, -4, 7), [0, 5, 7], 3.9.ae_q_acu 
(3, -7, 29), [3, 2, 2], 3.9.ae_r_abn 
(1, -5, 15), [1, 4, 6], 3.9.ae_t_acx 
(-3, -1, 10), [6, 8, 1], 3.9.ae_w_abw 
(-3, -1, 11), [6, 8, 2], 3.9.ae_x_abz 
(0, -4, 16), [0, 5, 7], 3.9.ae_z_acu 
(-3, -1, 13), [6, 8, 4], 3.9.ae_z_acf 
(0, -4, 17), [0, 5, 8], 3.9.ae_ba_acu 
(-3, -1, 14), [6, 8, 5], 3.9.ae_ba_aci 
(0, -4, 19), [0, 5, 1], 3.9.ae_bc_acu 
(0, -4, 20), [0, 5, 2], 3.9.ae_bd_acu 
