(-4, 0, 27), [0, 0, 3], 3.16.ae_br_aee 
(-7, 5, 12), [1, 1, 0], 3.16.ac_ah_cy 
(-3, 1, -20), [1, 1, 0], 3.16.ac_ah_do 
(-4, 2, -15), [0, 2, 1], 3.16.ac_ah_eu 
(-4, 2, -13), [0, 2, 3], 3.16.ac_af_em 
(-1, -1, -20), [3, 3, 0], 3.16.ac_ad_am 
(7, -9, 44), [3, 3, 0], 3.16.ac_ad_u 
(-7, 5, 16), [1, 1, 0], 3.16.ac_ad_bw 
(-3, 1, -16), [1, 1, 0], 3.16.ac_ad_dc 
(-4, 2, -11), [0, 2, 1], 3.16.ac_ad_ee 
(-4, 2, -9), [0, 2, 3], 3.16.ac_ab_dw 
(0, -2, -15), [0, 2, 1], 3.16.ac_b_acm 
(-1, -1, -16), [3, 3, 0], 3.16.ac_b_aq 
(-7, 5, 20), [1, 1, 0], 3.16.ac_b_u 
(7, -9, 48), [3, 3, 0], 3.16.ac_b_bw 
(-3, 1, -12), [1, 1, 0], 3.16.ac_b_cq 
(-4, 2, -7), [0, 2, 1], 3.16.ac_b_do 
(-5, 3, 0), [3, 3, 0], 3.16.ac_b_ds 
(0, -2, -13), [0, 2, 3], 3.16.ac_d_acm 
(-4, 2, -5), [0, 2, 3], 3.16.ac_d_dg 
(0, -2, -11), [0, 2, 1], 3.16.ac_f_acm 
(-1, -1, -12), [3, 3, 0], 3.16.ac_f_au 
(-7, 5, 24), [1, 1, 0], 3.16.ac_f_ai 
(-3, 1, -8), [1, 1, 0], 3.16.ac_f_ce 
(0, -2, -9), [0, 2, 3], 3.16.ac_h_acm 
(-4, 2, -1), [0, 2, 3], 3.16.ac_h_cq 
(4, -6, 17), [0, 2, 1], 3.16.ac_j_aeu 
(1, -3, -4), [1, 1, 0], 3.16.ac_j_adw 
(5, -7, 28), [1, 1, 0], 3.16.ac_j_adg 
(0, -2, -7), [0, 2, 1], 3.16.ac_j_acm 
(-7, 5, 28), [1, 1, 0], 3.16.ac_j_abk 
(-1, -1, -8), [3, 3, 0], 3.16.ac_j_ay 
(-3, 1, -4), [1, 1, 0], 3.16.ac_j_bs 
(-4, 2, 1), [0, 2, 1], 3.16.ac_j_ci 
(4, -6, 19), [0, 2, 3], 3.16.ac_l_aem 
(0, -2, -5), [0, 2, 3], 3.16.ac_l_acm 
(4, -6, 21), [0, 2, 1], 3.16.ac_n_aee 
(1, -3, 0), [1, 1, 0], 3.16.ac_n_ads 
(-1, -1, -4), [3, 3, 0], 3.16.ac_n_abc 
(-3, 1, 0), [1, 1, 0], 3.16.ac_n_bg 
(-5, 3, 12), [3, 3, 0], 3.16.ac_n_bk 
(4, -6, 23), [0, 2, 3], 3.16.ac_p_adw 
(0, -2, -1), [0, 2, 3], 3.16.ac_p_acm 
(3, -5, 16), [3, 3, 0], 3.16.ac_r_aei 
(0, -2, 1), [0, 2, 1], 3.16.ac_r_acm 
(5, -7, 36), [1, 1, 0], 3.16.ac_r_abs 
(-1, -1, 0), [3, 3, 0], 3.16.ac_r_abg 
(-5, 3, 16), [3, 3, 0], 3.16.ac_r_q 
(-3, 1, 4), [1, 1, 0], 3.16.ac_r_u 
(4, -6, 27), [0, 2, 3], 3.16.ac_t_adg 
(0, -2, 3), [0, 2, 3], 3.16.ac_t_acm 
(3, -5, 20), [3, 3, 0], 3.16.ac_v_adw 
(4, -6, 29), [0, 2, 1], 3.16.ac_v_acy 
(0, -2, 5), [0, 2, 1], 3.16.ac_v_acm 
(-1, -1, 4), [3, 3, 0], 3.16.ac_v_abk 
(5, -7, 40), [1, 1, 0], 3.16.ac_v_ay 
(-5, 3, 20), [3, 3, 0], 3.16.ac_v_ae 
(-3, 1, 8), [1, 1, 0], 3.16.ac_v_i 
(-4, 2, 13), [0, 2, 1], 3.16.ac_v_m 
(4, -6, 31), [0, 2, 3], 3.16.ac_x_acq 
(0, -2, 7), [0, 2, 3], 3.16.ac_x_acm 
(-4, 2, 15), [0, 2, 3], 3.16.ac_x_e 
(3, -5, 24), [3, 3, 0], 3.16.ac_z_adk 
(1, -3, 12), [1, 1, 0], 3.16.ac_z_adg 
(0, -2, 9), [0, 2, 1], 3.16.ac_z_acm 
(4, -6, 33), [0, 2, 1], 3.16.ac_z_aci 
(-1, -1, 8), [3, 3, 0], 3.16.ac_z_abo 
(-5, 3, 24), [3, 3, 0], 3.16.ac_z_ay 
(0, -2, 11), [0, 2, 3], 3.16.ac_bb_acm 
(4, -6, 35), [0, 2, 3], 3.16.ac_bb_aca 
(-4, 2, 19), [0, 2, 3], 3.16.ac_bb_am 
(1, -3, 16), [1, 1, 0], 3.16.ac_bd_adc 
(3, -5, 28), [3, 3, 0], 3.16.ac_bd_acy 
(0, -2, 13), [0, 2, 1], 3.16.ac_bd_acm 
(-4, 2, 21), [0, 2, 1], 3.16.ac_bd_au 
(-3, 1, 16), [1, 1, 0], 3.16.ac_bd_aq 
(0, -2, 15), [0, 2, 3], 3.16.ac_bf_acm 
(4, -6, 39), [0, 2, 3], 3.16.ac_bf_abk 
