(0, 9, 44), [0, 1, 0], 3.23.j_cp_py 
(0, 9, 45), [0, 1, 1], 3.23.j_cq_py 
(0, 9, 47), [0, 1, 3], 3.23.j_cs_py 
(0, 9, 48), [0, 1, 0], 3.23.j_ct_py 
(0, 9, 49), [0, 1, 1], 3.23.j_cu_py 
(-1, 10, 69), [3, 2, 1], 3.23.j_de_pb 
(9, 1, -23), [1, 1, 1], 3.23.k_j_agf 
(9, 2, -23), [1, 2, 1], 3.23.l_s_ael 
(9, 2, 23), [1, 2, 3], 3.23.l_cm_ln 
(7, 4, 23), [3, 0, 3], 3.23.l_cw_nh 
(5, 6, 23), [1, 2, 3], 3.23.l_cy_pb 
(1, 10, 69), [1, 2, 1], 3.23.l_dy_uj 
(9, 4, 0), [1, 0, 0], 3.23.n_ch_hc 
(9, 4, 23), [1, 0, 3], 3.23.n_de_pb 
(8, 5, 23), [0, 1, 3], 3.23.n_di_py 
(7, 6, 23), [3, 2, 3], 3.23.n_dk_qv 
(3, 10, 69), [3, 2, 1], 3.23.n_es_zr 
(3, 11, 69), [3, 3, 1], 3.23.o_ev_bbl 
(4, 10, 69), [0, 2, 1], 3.23.o_fc_bci 
(9, 6, 23), [1, 2, 3], 3.23.p_dw_sp 
(4, 11, 69), [0, 3, 1], 3.23.p_fg_bec 
(5, 10, 69), [1, 2, 1], 3.23.p_fm_bez 
(6, 10, 69), [2, 2, 1], 3.23.q_fw_bhq 
(7, 10, 69), [3, 2, 1], 3.23.r_gg_bkh 
(8, 11, 69), [0, 3, 1], 3.23.t_gy_bos 
(9, 10, 69), [1, 2, 1], 3.23.t_ha_bpp 
(5, 14, 92), [1, 2, 0], 3.23.t_hd_bqm 
(6, 14, 92), [2, 2, 0], 3.23.u_hr_bua 
(7, 14, 92), [3, 2, 0], 3.23.v_if_bxo 
(8, 14, 92), [0, 2, 0], 3.23.w_it_cbc 
(9, 14, 92), [1, 2, 0], 3.23.x_jh_ceq 
