(-8, 1, 0), [0, 1, 0], 3.23.ah_p_bu 
(7, -14, 92), [3, 2, 0], 3.23.ah_r_a 
(-6, -1, 0), [2, 3, 0], 3.23.ah_bd_abu 
(-5, -2, 0), [3, 2, 0], 3.23.ah_bh_ado 
(-3, -4, 0), [1, 0, 0], 3.23.ah_bj_ahc 
(-4, -3, 0), [0, 1, 0], 3.23.ah_bj_afi 
(-8, 1, 23), [0, 1, 3], 3.23.ah_bm_afi 
(0, -7, 22), [0, 1, 2], 3.23.ah_bt_amk 
(0, -7, 24), [0, 1, 0], 3.23.ah_bv_amk 
(0, -7, 25), [0, 1, 1], 3.23.ah_bw_amk 
(4, -11, 69), [0, 1, 1], 3.23.ah_bw_aiw 
(0, -7, 26), [0, 1, 2], 3.23.ah_bx_amk 
(0, -7, 27), [0, 1, 3], 3.23.ah_by_amk 
(0, -7, 29), [0, 1, 1], 3.23.ah_ca_amk 
(-6, -1, 23), [2, 3, 3], 3.23.ah_ca_ahc 
(0, -7, 30), [0, 1, 2], 3.23.ah_cb_amk 
(0, -7, 31), [0, 1, 3], 3.23.ah_cc_amk 
(0, -7, 32), [0, 1, 0], 3.23.ah_cd_amk 
(0, -7, 33), [0, 1, 1], 3.23.ah_ce_amk 
(-2, -5, 23), [2, 3, 3], 3.23.ah_ce_akq 
(0, -7, 34), [0, 1, 2], 3.23.ah_cf_amk 
(0, -7, 35), [0, 1, 3], 3.23.ah_cg_amk 
(-4, -3, 23), [0, 1, 3], 3.23.ah_cg_aiw 
(0, -7, 36), [0, 1, 0], 3.23.ah_ch_amk 
(0, -7, 37), [0, 1, 1], 3.23.ah_ci_amk 
(0, -7, 39), [0, 1, 3], 3.23.ah_ck_amk 
(0, -7, 40), [0, 1, 0], 3.23.ah_cl_amk 
(0, -7, 41), [0, 1, 1], 3.23.ah_cm_amk 
(0, -7, 42), [0, 1, 2], 3.23.ah_cn_amk 
(0, -7, 50), [0, 1, 2], 3.23.ah_cv_amk 
(0, -7, 51), [0, 1, 3], 3.23.ah_cw_amk 
(0, -7, 53), [0, 1, 1], 3.23.ah_cy_amk 
(0, -7, 54), [0, 1, 2], 3.23.ah_cz_amk 
(0, -7, 55), [0, 1, 3], 3.23.ah_da_amk 
(0, -7, 57), [0, 1, 1], 3.23.ah_dc_amk 
(-8, 2, -23), [0, 2, 1], 3.23.ag_aq_kq 
(-7, 1, -23), [1, 1, 1], 3.23.ag_ah_hz 
(-9, 3, 0), [3, 3, 0], 3.23.ag_ae_fi 
(8, -14, 92), [0, 2, 0], 3.23.ag_d_do 
(-5, -1, -23), [3, 3, 1], 3.23.ag_f_cr 
(-8, 2, 0), [0, 2, 0], 3.23.ag_h_do 
(-4, -2, -23), [0, 2, 1], 3.23.ag_i_a 
(-7, 1, 0), [1, 1, 0], 3.23.ag_q_bu 
(-9, 3, 23), [3, 3, 3], 3.23.ag_t_acr 
(-5, -1, 0), [3, 3, 0], 3.23.ag_bc_abu 
(-8, 2, 23), [0, 2, 3], 3.23.ag_be_ado 
(-2, -4, 0), [2, 0, 0], 3.23.ag_bf_ahc 
(-4, -2, 0), [0, 2, 0], 3.23.ag_bf_ado 
(-3, -3, 0), [1, 1, 0], 3.23.ag_bg_afi 
(0, -6, 12), [0, 2, 0], 3.23.ag_bj_akq 
(0, -6, 13), [0, 2, 1], 3.23.ag_bk_akq 
(0, -6, 14), [0, 2, 2], 3.23.ag_bl_akq 
(5, -11, 69), [1, 1, 1], 3.23.ag_bl_agf 
(0, -6, 15), [0, 2, 3], 3.23.ag_bm_akq 
(1, -7, 23), [1, 1, 3], 3.23.ag_bn_aln 
(0, -6, 16), [0, 2, 0], 3.23.ag_bn_akq 
(-7, 1, 23), [1, 1, 3], 3.23.ag_bn_ael 
(0, -6, 17), [0, 2, 1], 3.23.ag_bo_akq 
(0, -6, 18), [0, 2, 2], 3.23.ag_bp_akq 
(0, -6, 20), [0, 2, 0], 3.23.ag_br_akq 
(0, -6, 21), [0, 2, 1], 3.23.ag_bs_akq 
(0, -6, 22), [0, 2, 2], 3.23.ag_bt_akq 
(0, -6, 24), [0, 2, 0], 3.23.ag_bv_akq 
(0, -6, 25), [0, 2, 1], 3.23.ag_bw_akq 
(0, -6, 26), [0, 2, 2], 3.23.ag_bx_akq 
(0, -6, 27), [0, 2, 3], 3.23.ag_by_akq 
(0, -6, 28), [0, 2, 0], 3.23.ag_bz_akq 
(-1, -5, 23), [3, 3, 3], 3.23.ag_bz_ajt 
(0, -6, 29), [0, 2, 1], 3.23.ag_ca_akq 
(4, -10, 69), [0, 2, 1], 3.23.ag_ca_ahc 
(0, -6, 31), [0, 2, 3], 3.23.ag_cc_akq 
(-2, -4, 23), [2, 0, 3], 3.23.ag_cc_aiw 
(-4, -2, 23), [0, 2, 3], 3.23.ag_cc_ahc 
(0, -6, 32), [0, 2, 0], 3.23.ag_cd_akq 
(-3, -3, 23), [1, 1, 3], 3.23.ag_cd_ahz 
(0, -6, 33), [0, 2, 1], 3.23.ag_ce_akq 
(0, -6, 34), [0, 2, 2], 3.23.ag_cf_akq 
(0, -6, 35), [0, 2, 3], 3.23.ag_cg_akq 
