(3, -4, 10), [3, 0, 2], 3.9.ab_h_abq 
(1, -2, 0), [1, 2, 0], 3.9.ab_h_abk 
(-2, 1, 0), [2, 1, 0], 3.9.ab_h_s 
(0, -1, -1), [0, 3, 3], 3.9.ab_i_as 
(0, -1, 1), [0, 3, 1], 3.9.ab_k_as 
(4, -5, 21), [0, 3, 1], 3.9.ab_k_ag 
(3, -4, 14), [3, 0, 2], 3.9.ab_l_abe 
(0, -1, 2), [0, 3, 2], 3.9.ab_l_as 
(-3, 2, 8), [1, 2, 0], 3.9.ab_l_m 
(1, -2, 6), [1, 2, 2], 3.9.ab_n_abe 
(3, -4, 16), [3, 0, 0], 3.9.ab_n_ay 
(0, -1, 4), [0, 3, 0], 3.9.ab_n_as 
(0, -1, 5), [0, 3, 1], 3.9.ab_o_as 
(0, -1, 7), [0, 3, 3], 3.9.ab_q_as 
(0, -1, 8), [0, 3, 0], 3.9.ab_r_as 
(3, -4, 20), [3, 0, 0], 3.9.ab_r_am 
(-3, 2, 14), [1, 2, 2], 3.9.ab_r_ag 
(0, -1, 10), [0, 3, 2], 3.9.ab_t_as 
(-3, 2, 16), [1, 2, 0], 3.9.ab_t_am 
(0, -1, 13), [0, 3, 1], 3.9.ab_w_as 
(0, -1, 14), [0, 3, 2], 3.9.ab_x_as 
(0, 0, -17), [0, 0, 3], 3.9.a_ai_a 
(0, 0, -14), [0, 0, 2], 3.9.a_af_a 
(0, 0, -13), [0, 0, 3], 3.9.a_ae_a 
(0, 0, -11), [0, 0, 1], 3.9.a_ac_a 
(5, -5, 15), [1, 3, 3], 3.9.a_ab_ap 
(0, 0, -10), [0, 0, 2], 3.9.a_ab_a 
(-5, 5, 15), [3, 1, 3], 3.9.a_ab_p 
(0, 0, -8), [0, 0, 0], 3.9.a_b_a 
(3, -3, 2), [3, 1, 2], 3.9.a_c_abw 
(4, -4, 9), [0, 0, 1], 3.9.a_c_abk 
(1, -1, -6), [1, 3, 2], 3.9.a_c_ay 
(-1, 1, -6), [3, 1, 2], 3.9.a_c_y 
(-4, 4, 9), [0, 0, 1], 3.9.a_c_bk 
(-3, 3, 2), [1, 3, 2], 3.9.a_c_bw 
(3, -3, 4), [3, 1, 0], 3.9.a_e_abq 
(0, 0, -5), [0, 0, 3], 3.9.a_e_a 
(-3, 3, 4), [1, 3, 0], 3.9.a_e_bq 
(2, -2, 0), [2, 2, 0], 3.9.a_f_abk 
(1, -1, -3), [1, 3, 1], 3.9.a_f_av 
(-5, 5, 21), [3, 1, 1], 3.9.a_f_ap 
(0, 0, -4), [0, 0, 0], 3.9.a_f_a 
(5, -5, 21), [1, 3, 1], 3.9.a_f_p 
(-1, 1, -3), [3, 1, 1], 3.9.a_f_v 
(-2, 2, 0), [2, 2, 0], 3.9.a_f_bk 
(3, -3, 7), [3, 1, 3], 3.9.a_h_abh 
(0, 0, -2), [0, 0, 2], 3.9.a_h_a 
(-3, 3, 7), [1, 3, 3], 3.9.a_h_bh 
(1, -1, 0), [1, 3, 0], 3.9.a_i_as 
(4, -4, 15), [0, 0, 3], 3.9.a_i_am 
(0, 0, -1), [0, 0, 3], 3.9.a_i_a 
(-4, 4, 15), [0, 0, 3], 3.9.a_i_m 
(-1, 1, 0), [3, 1, 0], 3.9.a_i_s 
(3, -3, 10), [3, 1, 2], 3.9.a_k_ay 
(0, 0, 1), [0, 0, 1], 3.9.a_k_a 
(-3, 3, 10), [1, 3, 2], 3.9.a_k_y 
(2, -2, 6), [2, 2, 2], 3.9.a_l_ay 
(3, -3, 11), [3, 1, 3], 3.9.a_l_av 
(1, -1, 3), [1, 3, 3], 3.9.a_l_ap 
(-1, 1, 3), [3, 1, 3], 3.9.a_l_p 
(-3, 3, 11), [1, 3, 3], 3.9.a_l_v 
(-2, 2, 6), [2, 2, 2], 3.9.a_l_y 
(3, -3, 13), [3, 1, 1], 3.9.a_n_ap 
(0, 0, 4), [0, 0, 0], 3.9.a_n_a 
(-3, 3, 13), [1, 3, 1], 3.9.a_n_p 
(0, 0, 5), [0, 0, 1], 3.9.a_o_a 
(3, -3, 16), [3, 1, 0], 3.9.a_q_ag 
(-3, 3, 16), [1, 3, 0], 3.9.a_q_g 
(2, -2, 12), [2, 2, 0], 3.9.a_r_am 
(1, -1, 9), [1, 3, 1], 3.9.a_r_aj 
(3, -3, 17), [3, 1, 1], 3.9.a_r_ad 
(0, 0, 8), [0, 0, 0], 3.9.a_r_a 
(-3, 3, 17), [1, 3, 1], 3.9.a_r_d 
(-1, 1, 9), [3, 1, 1], 3.9.a_r_j 
(-2, 2, 12), [2, 2, 0], 3.9.a_r_m 
(0, 0, 10), [0, 0, 2], 3.9.a_t_a 
(6, -5, 16), [2, 3, 0], 3.9.b_af_g 
(2, -1, -9), [2, 3, 3], 3.9.b_ac_abk 
(0, 1, -11), [0, 1, 1], 3.9.b_ac_s 
