(0, -11, 59), [0, 1, 3], 3.16.al_cx_ano 
(-4, -7, 31), [0, 1, 3], 3.16.al_cx_ank 
(-4, -7, 33), [0, 1, 1], 3.16.al_cz_ans 
(0, -11, 61), [0, 1, 1], 3.16.al_cz_ano 
(-4, -7, 35), [0, 1, 3], 3.16.al_db_aoa 
(-4, -7, 37), [0, 1, 1], 3.16.al_dd_aoi 
(-4, -7, 39), [0, 1, 3], 3.16.al_df_aoq 
(-4, -7, 41), [0, 1, 1], 3.16.al_dh_aoy 
(-4, -7, 43), [0, 1, 3], 3.16.al_dj_apg 
(-8, -2, -15), [0, 2, 1], 3.16.ak_r_ce 
(-8, -2, -13), [0, 2, 3], 3.16.ak_t_bo 
(-8, -2, -11), [0, 2, 1], 3.16.ak_v_y 
(-8, -2, -9), [0, 2, 3], 3.16.ak_x_i 
(-8, -2, -7), [0, 2, 1], 3.16.ak_z_ai 
(-8, -2, -5), [0, 2, 3], 3.16.ak_bb_ay 
(-8, -2, -1), [0, 2, 3], 3.16.ak_bf_ace 
(-8, -2, 1), [0, 2, 1], 3.16.ak_bh_acu 
(-8, -2, 3), [0, 2, 3], 3.16.ak_bj_adk 
(-8, -2, 5), [0, 2, 1], 3.16.ak_bl_aea 
(-7, -3, 0), [1, 1, 0], 3.16.ak_bl_ads 
(-8, -2, 7), [0, 2, 3], 3.16.ak_bn_aeq 
(-8, -2, 11), [0, 2, 3], 3.16.ak_br_afw 
(-8, -2, 13), [0, 2, 1], 3.16.ak_bt_agm 
(-8, -2, 15), [0, 2, 3], 3.16.ak_bv_ahc 
(-8, -2, 19), [0, 2, 3], 3.16.ak_bz_aii 
(-8, -2, 21), [0, 2, 1], 3.16.ak_cb_aiy 
(-8, -2, 23), [0, 2, 3], 3.16.ak_cd_ajo 
(-8, -2, 25), [0, 2, 1], 3.16.ak_cf_ake 
(-8, -2, 27), [0, 2, 3], 3.16.ak_ch_aku 
(-8, -2, 31), [0, 2, 3], 3.16.ak_cl_ama 
(-4, -6, 29), [0, 2, 1], 3.16.ak_cr_alw 
(-1, -9, 48), [3, 3, 0], 3.16.ak_cv_amy 
(-3, -7, 40), [1, 1, 0], 3.16.ak_cz_ang 
(-4, -6, 39), [0, 2, 3], 3.16.ak_db_ank 
(-8, -1, -23), [0, 3, 1], 3.16.aj_b_fw 
(-8, -1, -21), [0, 3, 3], 3.16.aj_d_fg 
(-8, -1, -19), [0, 3, 1], 3.16.aj_f_eq 
(-8, -1, -17), [0, 3, 3], 3.16.aj_h_ea 
(-8, -1, -15), [0, 3, 1], 3.16.aj_j_dk 
(-8, -1, -13), [0, 3, 3], 3.16.aj_l_cu 
(-8, -1, -11), [0, 3, 1], 3.16.aj_n_ce 
(-8, -1, -9), [0, 3, 3], 3.16.aj_p_bo 
(-8, -1, -7), [0, 3, 1], 3.16.aj_r_y 
(-8, -1, -5), [0, 3, 3], 3.16.aj_t_i 
(-8, -1, -3), [0, 3, 1], 3.16.aj_v_ai 
(-8, -1, -1), [0, 3, 3], 3.16.aj_x_ay 
(-8, -1, 1), [0, 3, 1], 3.16.aj_z_abo 
(-8, -1, 3), [0, 3, 3], 3.16.aj_bb_ace 
(-8, -1, 5), [0, 3, 1], 3.16.aj_bd_acu 
(-8, -1, 7), [0, 3, 3], 3.16.aj_bf_adk 
(-8, -1, 9), [0, 3, 1], 3.16.aj_bh_aea 
