(0, -3, 20), [0, 10, 7], 3.13.ad_bh_ada 
(0, -3, 21), [0, 10, 8], 3.13.ad_bi_ada 
(-7, 5, 13), [6, 5, 0], 3.13.ac_aj_bn 
(-3, 1, -13), [10, 1, 0], 3.13.ac_ad_cn 
(-5, 3, 0), [8, 3, 0], 3.13.ac_ac_da 
(-1, -1, -13), [12, 12, 0], 3.13.ac_b_an 
(0, -2, -11), [0, 11, 2], 3.13.ac_c_aca 
(-6, 4, 13), [7, 4, 0], 3.13.ac_c_ba 
(0, -2, -10), [0, 11, 3], 3.13.ac_d_aca 
(6, -8, 39), [6, 5, 0], 3.13.ac_e_ba 
(0, -2, -8), [0, 11, 5], 3.13.ac_f_aca 
(-4, 2, 0), [9, 2, 0], 3.13.ac_f_ca 
(0, -2, -7), [0, 11, 6], 3.13.ac_g_aca 
(0, -2, -6), [0, 11, 7], 3.13.ac_h_aca 
(0, -2, -5), [0, 11, 8], 3.13.ac_i_aca 
(0, -2, -4), [0, 11, 9], 3.13.ac_j_aca 
(1, -3, 0), [1, 10, 0], 3.13.ac_k_ada 
(0, -2, -3), [0, 11, 10], 3.13.ac_k_aca 
(-3, 1, 0), [10, 1, 0], 3.13.ac_k_ba 
(3, -5, 13), [3, 8, 0], 3.13.ac_l_adn 
(0, -2, -2), [0, 11, 11], 3.13.ac_l_aca 
(-5, 3, 13), [8, 3, 0], 3.13.ac_l_n 
(0, -2, -1), [0, 11, 12], 3.13.ac_m_aca 
(0, -2, 1), [0, 11, 1], 3.13.ac_o_aca 
(-1, -1, 0), [12, 12, 0], 3.13.ac_o_aba 
(0, -2, 3), [0, 11, 3], 3.13.ac_q_aca 
(0, -2, 4), [0, 11, 4], 3.13.ac_r_aca 
(0, -2, 5), [0, 11, 5], 3.13.ac_s_aca 
(-4, 2, 13), [9, 2, 0], 3.13.ac_s_a 
(0, -2, 6), [0, 11, 6], 3.13.ac_t_aca 
(0, -2, 7), [0, 11, 7], 3.13.ac_u_aca 
(0, -2, 8), [0, 11, 8], 3.13.ac_v_aca 
(0, -2, 9), [0, 11, 9], 3.13.ac_w_aca 
(1, -3, 13), [1, 10, 0], 3.13.ac_x_acn 
(0, -2, 10), [0, 11, 10], 3.13.ac_x_aca 
(0, -2, 12), [0, 11, 12], 3.13.ac_z_aca 
(0, -2, 14), [0, 11, 1], 3.13.ac_bb_aca 
(-1, -1, 13), [12, 12, 0], 3.13.ac_bb_abn 
(0, -2, 15), [0, 11, 2], 3.13.ac_bc_aca 
(0, -2, 16), [0, 11, 3], 3.13.ac_bd_aca 
(0, -2, 17), [0, 11, 4], 3.13.ac_be_aca 
(0, -2, 19), [0, 11, 6], 3.13.ac_bg_aca 
(0, -2, 20), [0, 11, 7], 3.13.ac_bh_aca 
(0, -2, 21), [0, 11, 8], 3.13.ac_bi_aca 
(0, -2, 22), [0, 11, 9], 3.13.ac_bj_aca 
(0, -2, 24), [0, 11, 11], 3.13.ac_bl_aca 
(0, -1, -18), [0, 12, 8], 3.13.ab_af_aba 
(0, -1, -17), [0, 12, 9], 3.13.ab_ae_aba 
(-6, 5, 13), [7, 5, 0], 3.13.ab_ae_ca 
(0, -1, -15), [0, 12, 11], 3.13.ab_ac_aba 
(-2, 1, -13), [11, 1, 0], 3.13.ab_ac_ca 
(0, -1, -14), [0, 12, 12], 3.13.ab_ab_aba 
(0, -1, -12), [0, 12, 1], 3.13.ab_b_aba 
(0, -1, -11), [0, 12, 2], 3.13.ab_c_aba 
(0, -1, -10), [0, 12, 3], 3.13.ab_d_aba 
(0, -1, -9), [0, 12, 4], 3.13.ab_e_aba 
(0, -1, -8), [0, 12, 5], 3.13.ab_f_aba 
(4, -5, 13), [4, 8, 0], 3.13.ab_g_ada 
(0, -1, -7), [0, 12, 6], 3.13.ab_g_aba 
(2, -3, 0), [2, 10, 0], 3.13.ab_h_ada 
(0, -1, -6), [0, 12, 7], 3.13.ab_h_aba 
(-3, 2, 0), [10, 2, 0], 3.13.ab_h_ca 
(0, -1, -5), [0, 12, 8], 3.13.ab_i_aba 
(0, -1, -3), [0, 12, 10], 3.13.ab_k_aba 
(1, -2, 0), [1, 11, 0], 3.13.ab_l_aca 
(0, -1, -2), [0, 12, 11], 3.13.ab_l_aba 
(-2, 1, 0), [11, 1, 0], 3.13.ab_l_ba 
(0, -1, -1), [0, 12, 12], 3.13.ab_m_aba 
(0, -1, 1), [0, 12, 1], 3.13.ab_o_aba 
(-4, 3, 13), [9, 3, 0], 3.13.ab_o_ba 
(0, -1, 2), [0, 12, 2], 3.13.ab_p_aba 
(0, -1, 3), [0, 12, 3], 3.13.ab_q_aba 
(0, -1, 4), [0, 12, 4], 3.13.ab_r_aba 
(0, -1, 5), [0, 12, 5], 3.13.ab_s_aba 
(0, -1, 7), [0, 12, 7], 3.13.ab_u_aba 
(0, -1, 8), [0, 12, 8], 3.13.ab_v_aba 
(0, -1, 9), [0, 12, 9], 3.13.ab_w_aba 
(0, -1, 10), [0, 12, 10], 3.13.ab_x_aba 
(0, -1, 11), [0, 12, 11], 3.13.ab_y_aba 
(-2, 1, 13), [11, 1, 0], 3.13.ab_y_a 
(0, -1, 12), [0, 12, 12], 3.13.ab_z_aba 
(0, -1, 15), [0, 12, 2], 3.13.ab_bc_aba 
(0, -1, 16), [0, 12, 3], 3.13.ab_bd_aba 
(0, -1, 17), [0, 12, 4], 3.13.ab_be_aba 
(0, -1, 18), [0, 12, 5], 3.13.ab_bf_aba 
(0, -1, 19), [0, 12, 6], 3.13.ab_bg_aba 
(0, -1, 21), [0, 12, 8], 3.13.ab_bi_aba 
(0, -1, 22), [0, 12, 9], 3.13.ab_bj_aba 
(0, 0, -25), [0, 0, 1], 3.13.a_am_a 
(0, 0, -24), [0, 0, 2], 3.13.a_al_a 
(0, 0, -22), [0, 0, 4], 3.13.a_aj_a 
(0, 0, -21), [0, 0, 5], 3.13.a_ai_a 
(0, 0, -20), [0, 0, 6], 3.13.a_ah_a 
(0, 0, -19), [0, 0, 7], 3.13.a_ag_a 
(0, 0, -18), [0, 0, 8], 3.13.a_af_a 
(0, 0, -17), [0, 0, 9], 3.13.a_ae_a 
(0, 0, -16), [0, 0, 10], 3.13.a_ad_a 
(0, 0, -15), [0, 0, 11], 3.13.a_ac_a 
(1, -1, -13), [1, 12, 0], 3.13.a_ab_abn 
(0, 0, -14), [0, 0, 12], 3.13.a_ab_a 
(-1, 1, -13), [12, 1, 0], 3.13.a_ab_bn 
(5, -5, 13), [5, 8, 0], 3.13.a_b_acn 
(0, 0, -12), [0, 0, 1], 3.13.a_b_a 
(-5, 5, 13), [8, 5, 0], 3.13.a_b_cn 
(0, 0, -11), [0, 0, 2], 3.13.a_c_a 
(3, -3, 0), [3, 10, 0], 3.13.a_e_ada 
(0, 0, -9), [0, 0, 4], 3.13.a_e_a 
(-3, 3, 0), [10, 3, 0], 3.13.a_e_da 
(0, 0, -8), [0, 0, 5], 3.13.a_f_a 
(0, 0, -7), [0, 0, 6], 3.13.a_g_a 
(0, 0, -6), [0, 0, 7], 3.13.a_h_a 
(0, 0, -5), [0, 0, 8], 3.13.a_i_a 
(2, -2, 0), [2, 11, 0], 3.13.a_j_aca 
(0, 0, -4), [0, 0, 9], 3.13.a_j_a 
