(-4, 5, 15), [0, 1, 3], 3.8.b_d_u 
(4, -3, 9), [0, 1, 1], 3.8.b_f_am 
(-4, 5, 17), [0, 1, 1], 3.8.b_f_m 
(0, 1, -3), [0, 1, 1], 3.8.b_f_q 
(4, -3, 11), [0, 1, 3], 3.8.b_h_ae 
(-4, 5, 19), [0, 1, 3], 3.8.b_h_e 
(0, 1, -1), [0, 1, 3], 3.8.b_h_q 
(-4, 5, 21), [0, 1, 1], 3.8.b_j_ae 
(4, -3, 13), [0, 1, 1], 3.8.b_j_e 
(0, 1, 1), [0, 1, 1], 3.8.b_j_q 
(4, -3, 15), [0, 1, 3], 3.8.b_l_m 
(0, 1, 3), [0, 1, 3], 3.8.b_l_q 
(0, 1, 5), [0, 1, 1], 3.8.b_n_q 
(4, -3, 17), [0, 1, 1], 3.8.b_n_u 
(0, 1, 7), [0, 1, 3], 3.8.b_p_q 
(0, 1, 9), [0, 1, 1], 3.8.b_r_q 
(0, 1, 11), [0, 1, 3], 3.8.b_t_q 
(0, 1, 13), [0, 1, 1], 3.8.b_v_q 
(0, 1, 15), [0, 1, 3], 3.8.b_x_q 
(3, -1, 8), [3, 3, 0], 3.8.c_n_i 
(0, 2, 15), [0, 2, 3], 3.8.c_x_bg 
(4, -1, -9), [0, 3, 3], 3.8.d_af_aca 
(4, -1, -7), [0, 3, 1], 3.8.d_ad_abs 
(4, -1, -5), [0, 3, 3], 3.8.d_ab_abk 
(4, -1, -3), [0, 3, 1], 3.8.d_b_abc 
(4, -1, -1), [0, 3, 3], 3.8.d_d_au 
(4, -1, 1), [0, 3, 1], 3.8.d_f_am 
(-4, 7, 25), [0, 3, 1], 3.8.d_f_m 
(4, -1, 3), [0, 3, 3], 3.8.d_h_ae 
(-4, 7, 27), [0, 3, 3], 3.8.d_h_e 
(4, -1, 5), [0, 3, 1], 3.8.d_j_e 
(0, 3, 1), [0, 3, 1], 3.8.d_j_bw 
(4, -1, 7), [0, 3, 3], 3.8.d_l_m 
(0, 3, 3), [0, 3, 3], 3.8.d_l_bw 
(4, -1, 9), [0, 3, 1], 3.8.d_n_u 
(0, 3, 5), [0, 3, 1], 3.8.d_n_bw 
(4, -1, 11), [0, 3, 3], 3.8.d_p_bc 
(0, 3, 7), [0, 3, 3], 3.8.d_p_bw 
(4, -1, 13), [0, 3, 1], 3.8.d_r_bk 
(0, 3, 9), [0, 3, 1], 3.8.d_r_bw 
(4, -1, 15), [0, 3, 3], 3.8.d_t_bs 
(0, 3, 11), [0, 3, 3], 3.8.d_t_bw 
(0, 3, 13), [0, 3, 1], 3.8.d_v_bw 
(0, 3, 15), [0, 3, 3], 3.8.d_x_bw 
(0, 3, 17), [0, 3, 1], 3.8.d_z_bw 
(5, -1, -8), [1, 3, 0], 3.8.e_af_ace 
(4, 0, -13), [0, 0, 3], 3.8.e_af_aca 
(4, 0, -7), [0, 0, 1], 3.8.e_b_abc 
(4, 0, -3), [0, 0, 1], 3.8.e_f_am 
(4, 0, -1), [0, 0, 3], 3.8.e_h_ae 
(4, 0, 1), [0, 0, 1], 3.8.e_j_e 
(4, 0, 3), [0, 0, 3], 3.8.e_l_m 
(4, 0, 5), [0, 0, 1], 3.8.e_n_u 
(3, 1, 8), [3, 1, 0], 3.8.e_t_bo 
(4, 0, 11), [0, 0, 3], 3.8.e_t_bs 
(0, 4, 13), [0, 0, 1], 3.8.e_v_cm 
(3, 1, 12), [3, 1, 0], 3.8.e_x_ca 
(0, 4, 15), [0, 0, 3], 3.8.e_x_cm 
(0, 4, 17), [0, 0, 1], 3.8.e_z_cm 
(4, 1, -9), [0, 1, 3], 3.8.f_d_au 
(4, 1, -7), [0, 1, 1], 3.8.f_f_am 
(4, 1, -5), [0, 1, 3], 3.8.f_h_ae 
(-4, 9, 35), [0, 1, 3], 3.8.f_h_e 
(4, 1, -3), [0, 1, 1], 3.8.f_j_e 
(4, 1, -1), [0, 1, 3], 3.8.f_l_m 
(4, 1, 1), [0, 1, 1], 3.8.f_n_u 
(4, 1, 3), [0, 1, 3], 3.8.f_p_bc 
(4, 1, 5), [0, 1, 1], 3.8.f_r_bk 
(4, 1, 7), [0, 1, 3], 3.8.f_t_bs 
(4, 1, 9), [0, 1, 1], 3.8.f_v_ca 
(0, 5, 13), [0, 1, 1], 3.8.f_v_dc 
