(2, 2, 7), [2, 2, 0], 3.7.e_s_bq 
(0, 4, 11), [0, 4, 4], 3.7.e_s_ce 
(0, 4, 12), [0, 4, 5], 3.7.e_t_ce 
(4, 1, -7), [4, 1, 0], 3.7.f_e_ao 
(3, 2, 0), [3, 2, 0], 3.7.f_n_bc 
(4, 1, 7), [4, 1, 0], 3.7.f_s_bq 
(2, 3, 7), [2, 3, 0], 3.7.f_u_ce 
(0, 5, 19), [0, 5, 5], 3.7.f_ba_cs 
(5, 1, 0), [5, 1, 0], 3.7.g_m_o 
(4, 2, 0), [4, 2, 0], 3.7.g_p_bc 
(5, 1, 7), [5, 1, 0], 3.7.g_t_bx 
(3, 3, 7), [3, 3, 0], 3.7.g_x_cl 
(0, 6, 18), [0, 6, 4], 3.7.g_z_dg 
(0, 6, 20), [0, 6, 6], 3.7.g_bb_dg 
(0, 7, 25), [0, 0, 4], 3.7.h_bg_du 
