(-2, 1, -11), [2, 1, 1], 3.11.ab_ac_bs 
(0, -1, -12), [0, 3, 0], 3.11.ab_ab_aw 
(-4, 3, 0), [0, 3, 0], 3.11.ab_ab_co 
(0, -1, -10), [0, 3, 2], 3.11.ab_b_aw 
(0, -1, -9), [0, 3, 3], 3.11.ab_c_aw 
(6, -7, 33), [2, 1, 1], 3.11.ab_c_bs 
(0, -1, -7), [0, 3, 1], 3.11.ab_e_aw 
(2, -3, 0), [2, 1, 0], 3.11.ab_f_aco 
(0, -1, -6), [0, 3, 2], 3.11.ab_f_aw 
(-3, 2, 0), [1, 2, 0], 3.11.ab_f_bs 
(0, -1, -5), [0, 3, 3], 3.11.ab_g_aw 
(0, -1, -4), [0, 3, 0], 3.11.ab_h_aw 
(0, -1, -3), [0, 3, 1], 3.11.ab_i_aw 
(1, -2, 0), [1, 2, 0], 3.11.ab_j_abs 
(0, -1, -2), [0, 3, 2], 3.11.ab_j_aw 
(-2, 1, 0), [2, 1, 0], 3.11.ab_j_w 
(0, -1, -1), [0, 3, 3], 3.11.ab_k_aw 
(-4, 3, 11), [0, 3, 3], 3.11.ab_k_w 
(0, -1, 1), [0, 3, 1], 3.11.ab_m_aw 
(0, -1, 3), [0, 3, 3], 3.11.ab_o_aw 
(0, -1, 4), [0, 3, 0], 3.11.ab_p_aw 
(0, -1, 5), [0, 3, 1], 3.11.ab_q_aw 
(0, -1, 6), [0, 3, 2], 3.11.ab_r_aw 
(0, -1, 7), [0, 3, 3], 3.11.ab_s_aw 
(0, -1, 8), [0, 3, 0], 3.11.ab_t_aw 
(0, -1, 9), [0, 3, 1], 3.11.ab_u_aw 
(-2, 1, 11), [2, 1, 3], 3.11.ab_u_a 
(0, -1, 12), [0, 3, 0], 3.11.ab_x_aw 
(0, -1, 13), [0, 3, 1], 3.11.ab_y_aw 
(0, -1, 14), [0, 3, 2], 3.11.ab_z_aw 
(0, -1, 15), [0, 3, 3], 3.11.ab_ba_aw 
(0, -1, 17), [0, 3, 1], 3.11.ab_bc_aw 
(0, -1, 18), [0, 3, 2], 3.11.ab_bd_aw 
(0, 0, -20), [0, 0, 0], 3.11.a_aj_a 
(0, 0, -19), [0, 0, 1], 3.11.a_ai_a 
