(-9, 10, 69), [14, 10, 0], 3.23.b_c_agf 
(5, -4, 0), [5, 19, 0], 3.23.b_d_ahc 
(7, -6, 23), [7, 17, 0], 3.23.b_e_ael 
(-5, 6, 23), [18, 6, 0], 3.23.b_q_gf 
(5, -4, 23), [5, 19, 0], 3.23.b_ba_acr 
(-3, 4, 23), [20, 4, 0], 3.23.b_bi_el 
(3, -2, 23), [3, 21, 0], 3.23.b_bo_ax 
(-1, 2, 23), [22, 2, 0], 3.23.b_bs_cr 
(0, 1, 43), [0, 1, 20], 3.23.b_co_bu 
(0, 1, 45), [0, 1, 22], 3.23.b_cq_bu 
(-3, 5, 23), [20, 5, 0], 3.23.c_bf_gf 
(4, -2, 23), [4, 21, 0], 3.23.c_bm_a 
(0, 2, 45), [0, 2, 22], 3.23.c_cq_do 
(5, -2, -23), [5, 21, 0], 3.23.d_ak_ahz 
(9, -6, 23), [9, 17, 0], 3.23.d_ai_acr 
(1, 2, -23), [1, 2, 0], 3.23.d_c_cr 
(7, -4, 23), [7, 19, 0], 3.23.d_s_ax 
(-7, 10, 69), [16, 10, 0], 3.23.d_w_ax 
(-3, 6, 23), [20, 6, 0], 3.23.d_bc_hz 
(5, -2, 23), [5, 21, 0], 3.23.d_bk_x 
(4, -1, 23), [4, 22, 0], 3.23.d_bq_bu 
(-1, 4, 23), [22, 4, 0], 3.23.d_bq_gf 
(1, 2, 23), [1, 2, 0], 3.23.d_bw_el 
(0, 3, 43), [0, 3, 20], 3.23.d_co_fi 
(0, 3, 44), [0, 3, 21], 3.23.d_cp_fi 
(0, 3, 45), [0, 3, 22], 3.23.d_cq_fi 
(0, 3, 47), [0, 3, 1], 3.23.d_cs_fi 
(0, 4, 45), [0, 4, 22], 3.23.e_cq_hc 
(0, 4, 47), [0, 4, 1], 3.23.e_cs_hc 
(7, -2, -23), [7, 21, 0], 3.23.f_ao_ajt 
(3, 2, -23), [3, 2, 0], 3.23.f_g_x 
(9, -4, 23), [9, 19, 0], 3.23.f_k_x 
(7, -2, 23), [7, 21, 0], 3.23.f_bg_cr 
(-1, 6, 23), [22, 6, 0], 3.23.f_bo_jt 
(-5, 10, 69), [18, 10, 0], 3.23.f_bq_el 
(1, 4, 23), [1, 4, 0], 3.23.f_by_hz 
