(-5, -8, 48), [3, 0, 0], 3.25.an_ej_ayq 
(-4, -9, 55), [0, 3, 3], 3.25.an_em_azu 
(-5, -8, 52), [3, 0, 0], 3.25.an_en_azk 
(-5, -8, 54), [3, 0, 2], 3.25.an_ep_azu 
(-4, -9, 60), [0, 3, 0], 3.25.an_er_abao 
(-5, -8, 58), [3, 0, 2], 3.25.an_et_abao 
(-10, -2, -22), [2, 2, 2], 3.25.am_x_eq 
(-10, -2, -14), [2, 2, 2], 3.25.am_bf_bo 
(-10, -2, -12), [2, 2, 0], 3.25.am_bh_u 
(-9, -3, -15), [3, 1, 1], 3.25.am_bl_ap 
(-10, -2, -6), [2, 2, 2], 3.25.am_bn_abo 
(-10, -2, -3), [2, 2, 1], 3.25.am_bq_acs 
(-10, -2, 6), [2, 2, 2], 3.25.am_bz_age 
(5, -17, 121), [1, 3, 1], 3.25.am_cj_ajl 
(-10, -2, 18), [2, 2, 2], 3.25.am_cl_aku 
(-10, -2, 19), [2, 2, 3], 3.25.am_cm_ale 
(-9, -3, 15), [3, 1, 3], 3.25.am_cp_akz 
(-8, -4, 10), [0, 0, 2], 3.25.am_cp_aku 
(-10, -2, 24), [2, 2, 0], 3.25.am_cr_anc 
(-9, -3, 20), [3, 1, 0], 3.25.am_cu_ams 
(-10, -2, 33), [2, 2, 1], 3.25.am_da_aqo 
(-10, -2, 34), [2, 2, 2], 3.25.am_db_aqy 
(-5, -7, 21), [3, 1, 1], 3.25.am_dd_arn 
(-6, -6, 20), [2, 2, 0], 3.25.am_dd_aqe 
(-5, -7, 22), [3, 1, 2], 3.25.am_de_ars 
(-9, -3, 30), [3, 1, 2], 3.25.am_de_aqe 
(-5, -7, 23), [3, 1, 3], 3.25.am_df_arx 
(-5, -7, 24), [3, 1, 0], 3.25.am_dg_asc 
(-5, -7, 26), [3, 1, 2], 3.25.am_di_asm 
(-5, -7, 27), [3, 1, 3], 3.25.am_dj_asr 
(-9, -3, 35), [3, 1, 3], 3.25.am_dj_arx 
(-8, -4, 30), [0, 0, 2], 3.25.am_dj_aqy 
(-5, -7, 28), [3, 1, 0], 3.25.am_dk_asw 
(-5, -7, 29), [3, 1, 1], 3.25.am_dl_atb 
(-5, -7, 31), [3, 1, 3], 3.25.am_dn_atl 
(-6, -6, 30), [2, 2, 2], 3.25.am_dn_asm 
(-4, -8, 35), [0, 0, 3], 3.25.am_do_auu 
(-5, -7, 33), [3, 1, 1], 3.25.am_dp_atv 
(-5, -7, 34), [3, 1, 2], 3.25.am_dq_aua 
(-5, -7, 36), [3, 1, 0], 3.25.am_ds_auk 
(-6, -6, 35), [2, 2, 3], 3.25.am_ds_atq 
(-3, -9, 45), [1, 3, 1], 3.25.am_dt_awn 
(1, -13, 85), [1, 3, 1], 3.25.am_dt_avt 
(-4, -8, 40), [0, 0, 0], 3.25.am_dt_avo 
(-9, -3, 45), [3, 1, 1], 3.25.am_dt_avj 
(-5, -7, 37), [3, 1, 1], 3.25.am_dt_aup 
(-8, -4, 40), [0, 0, 0], 3.25.am_dt_aua 
(-5, -7, 38), [3, 1, 2], 3.25.am_du_auu 
(-5, -7, 39), [3, 1, 3], 3.25.am_dv_auz 
(-5, -7, 41), [3, 1, 1], 3.25.am_dx_avj 
(-6, -6, 40), [2, 2, 0], 3.25.am_dx_auu 
(-4, -8, 45), [0, 0, 1], 3.25.am_dy_awi 
(-5, -7, 43), [3, 1, 3], 3.25.am_dz_avt 
(-5, -7, 44), [3, 1, 0], 3.25.am_ea_avy 
(-1, -11, 70), [3, 1, 2], 3.25.am_ec_axw 
(-5, -7, 46), [3, 1, 2], 3.25.am_ec_awi 
(-6, -6, 45), [2, 2, 1], 3.25.am_ec_avy 
(-3, -9, 55), [1, 3, 3], 3.25.am_ed_axr 
(-5, -7, 47), [3, 1, 3], 3.25.am_ed_awn 
(-5, -7, 48), [3, 1, 0], 3.25.am_ee_aws 
(-5, -7, 49), [3, 1, 1], 3.25.am_ef_awx 
(-3, -9, 60), [1, 3, 0], 3.25.am_ei_ayg 
(-4, -8, 55), [0, 0, 3], 3.25.am_ei_axw 
(-5, -7, 52), [3, 1, 0], 3.25.am_ei_axm 
(-5, -7, 54), [3, 1, 2], 3.25.am_ek_axw 
(-4, -8, 60), [0, 0, 0], 3.25.am_en_ayq 
(-10, -1, -8), [2, 3, 0], 3.25.al_bb_be 
(-10, -1, -4), [2, 3, 0], 3.25.al_bf_ak 
(-8, -3, -15), [0, 1, 1], 3.25.al_bi_abe 
(-8, -3, -10), [0, 1, 2], 3.25.al_bn_acs 
(-10, -1, 9), [2, 3, 1], 3.25.al_bs_afk 
(-10, -1, 14), [2, 3, 2], 3.25.al_bx_ahi 
(-9, -2, 10), [3, 2, 2], 3.25.al_cb_ahi 
(-8, -3, 5), [0, 1, 1], 3.25.al_cc_ahi 
(5, -16, 112), [1, 0, 0], 3.25.al_cf_ajg 
(-10, -1, 24), [2, 3, 0], 3.25.al_ch_ale 
(-9, -2, 20), [3, 2, 0], 3.25.al_cl_aku 
(-7, -4, 10), [1, 0, 2], 3.25.al_cl_akk 
(-8, -3, 15), [0, 1, 3], 3.25.al_cm_akk 
(-10, -1, 32), [2, 3, 0], 3.25.al_cp_aog 
(-5, -6, 12), [3, 2, 0], 3.25.al_cp_anw 
(-5, -6, 14), [3, 2, 2], 3.25.al_cr_aog 
(-8, -3, 20), [0, 1, 0], 3.25.al_cr_aly 
(-5, -6, 16), [3, 2, 0], 3.25.al_ct_aoq 
(-5, -6, 18), [3, 2, 2], 3.25.al_cv_apa 
(-9, -2, 30), [3, 2, 2], 3.25.al_cv_aog 
(-7, -4, 20), [1, 0, 0], 3.25.al_cv_anc 
(-10, -1, 41), [2, 3, 1], 3.25.al_cy_ars 
(-5, -6, 22), [3, 2, 2], 3.25.al_cz_apu 
(-5, -6, 24), [3, 2, 0], 3.25.al_db_aqe 
(-8, -3, 30), [0, 1, 2], 3.25.al_db_apa 
(-5, -6, 26), [3, 2, 2], 3.25.al_dd_aqo 
(-4, -7, 30), [0, 1, 2], 3.25.al_df_asc 
(-9, -2, 40), [3, 2, 0], 3.25.al_df_ars 
(-5, -6, 28), [3, 2, 0], 3.25.al_df_aqy 
(2, -13, 85), [2, 3, 1], 3.25.al_dg_asm 
(-8, -3, 35), [0, 1, 3], 3.25.al_dg_aqo 
(-5, -6, 32), [3, 2, 0], 3.25.al_dj_ars 
(-2, -9, 45), [2, 3, 1], 3.25.al_dk_auu 
(-4, -7, 35), [0, 1, 3], 3.25.al_dk_asw 
(-3, -8, 40), [1, 0, 0], 3.25.al_dl_aua 
