(-6, -11, 70), [2, 1, 2], 3.25.ar_gf_abli 
(-4, -13, 85), [0, 3, 1], 3.25.ar_gg_abmc 
(-5, -12, 78), [3, 0, 2], 3.25.ar_gh_abmc 
(-5, -12, 79), [3, 0, 3], 3.25.ar_gi_abmh 
(-5, -12, 81), [3, 0, 1], 3.25.ar_gk_abmr 
(-5, -12, 83), [3, 0, 3], 3.25.ar_gm_abnb 
(-5, -12, 84), [3, 0, 0], 3.25.ar_gn_abng 
(-10, -6, 11), [2, 2, 3], 3.25.aq_ds_apu 
(-10, -6, 12), [2, 2, 0], 3.25.aq_dt_aqe 
(-10, -6, 13), [2, 2, 1], 3.25.aq_du_aqo 
(-10, -6, 14), [2, 2, 2], 3.25.aq_dv_aqy 
(-10, -6, 16), [2, 2, 0], 3.25.aq_dx_ars 
(-10, -6, 17), [2, 2, 1], 3.25.aq_dy_asc 
(-10, -6, 21), [2, 2, 1], 3.25.aq_ec_atq 
(-10, -6, 22), [2, 2, 2], 3.25.aq_ed_aua 
(-10, -6, 24), [2, 2, 0], 3.25.aq_ef_auu 
(-10, -6, 27), [2, 2, 3], 3.25.aq_ei_avy 
(-10, -6, 29), [2, 2, 1], 3.25.aq_ek_aws 
(-10, -6, 31), [2, 2, 3], 3.25.aq_em_axm 
(-10, -6, 32), [2, 2, 0], 3.25.aq_en_axw 
(-10, -6, 33), [2, 2, 1], 3.25.aq_eo_ayg 
(-9, -7, 30), [3, 1, 2], 3.25.aq_eo_axw 
(-10, -6, 36), [2, 2, 0], 3.25.aq_er_azk 
(-10, -6, 38), [2, 2, 2], 3.25.aq_et_abae 
(-9, -7, 35), [3, 1, 3], 3.25.aq_et_azp 
(-10, -6, 39), [2, 2, 3], 3.25.aq_eu_abao 
(-10, -6, 41), [2, 2, 1], 3.25.aq_ew_abbi 
(-10, -6, 44), [2, 2, 0], 3.25.aq_ez_abcm 
(-10, -6, 47), [2, 2, 3], 3.25.aq_fc_abdq 
(-10, -6, 48), [2, 2, 0], 3.25.aq_fd_abea 
(-10, -6, 49), [2, 2, 1], 3.25.aq_fe_abek 
(-8, -8, 45), [0, 0, 1], 3.25.aq_fe_abdg 
(-10, -6, 51), [2, 2, 3], 3.25.aq_fg_abfe 
(-10, -6, 52), [2, 2, 0], 3.25.aq_fh_abfo 
(-10, -6, 53), [2, 2, 1], 3.25.aq_fi_abfy 
(-10, -6, 54), [2, 2, 2], 3.25.aq_fj_abgi 
(-10, -6, 56), [2, 2, 0], 3.25.aq_fl_abhc 
(-5, -11, 61), [3, 1, 1], 3.25.aq_fl_abgx 
(-10, -6, 57), [2, 2, 1], 3.25.aq_fm_abhm 
(-5, -11, 67), [3, 1, 3], 3.25.aq_fr_abib 
(-5, -11, 71), [3, 1, 3], 3.25.aq_fv_abiv 
(-7, -9, 65), [1, 3, 1], 3.25.aq_fx_abiv 
(-5, -11, 77), [3, 1, 1], 3.25.aq_gb_abjz 
(-5, -11, 79), [3, 1, 3], 3.25.aq_gd_abkj 
(-10, -5, 1), [2, 3, 1], 3.25.ap_cy_aka 
(-10, -5, 2), [2, 3, 2], 3.25.ap_cz_akk 
(-10, -5, 3), [2, 3, 3], 3.25.ap_da_aku 
(-10, -5, 4), [2, 3, 0], 3.25.ap_db_ale 
(-10, -5, 6), [2, 3, 2], 3.25.ap_dd_aly 
(-10, -5, 7), [2, 3, 3], 3.25.ap_de_ami 
(-10, -5, 8), [2, 3, 0], 3.25.ap_df_ams 
(-10, -5, 9), [2, 3, 1], 3.25.ap_dg_anc 
(-10, -5, 11), [2, 3, 3], 3.25.ap_di_anw 
(-10, -5, 12), [2, 3, 0], 3.25.ap_dj_aog 
(-10, -5, 13), [2, 3, 1], 3.25.ap_dk_aoq 
(-10, -5, 17), [2, 3, 1], 3.25.ap_do_aqe 
(-10, -5, 19), [2, 3, 3], 3.25.ap_dq_aqy 
(-10, -5, 21), [2, 3, 1], 3.25.ap_ds_ars 
(-10, -5, 22), [2, 3, 2], 3.25.ap_dt_asc 
(-10, -5, 23), [2, 3, 3], 3.25.ap_du_asm 
(-10, -5, 24), [2, 3, 0], 3.25.ap_dv_asw 
(-9, -6, 20), [3, 2, 0], 3.25.ap_dv_asm 
(-10, -5, 27), [2, 3, 3], 3.25.ap_dy_aua 
(-10, -5, 28), [2, 3, 0], 3.25.ap_dz_auk 
(-10, -5, 29), [2, 3, 1], 3.25.ap_ea_auu 
(-10, -5, 31), [2, 3, 3], 3.25.ap_ec_avo 
(-10, -5, 33), [2, 3, 1], 3.25.ap_ee_awi 
(-10, -5, 34), [2, 3, 2], 3.25.ap_ef_aws 
(-10, -5, 37), [2, 3, 1], 3.25.ap_ei_axw 
(-10, -5, 38), [2, 3, 2], 3.25.ap_ej_ayg 
(-10, -5, 39), [2, 3, 3], 3.25.ap_ek_ayq 
(-9, -6, 35), [3, 2, 3], 3.25.ap_ek_axr 
(-10, -5, 41), [2, 3, 1], 3.25.ap_em_azk 
(-7, -8, 35), [1, 0, 3], 3.25.ap_em_ayv 
(-10, -5, 42), [2, 3, 2], 3.25.ap_en_azu 
(-10, -5, 43), [2, 3, 3], 3.25.ap_eo_abae 
(-10, -5, 46), [2, 3, 2], 3.25.ap_er_abbi 
(-8, -7, 40), [0, 1, 0], 3.25.ap_er_azu 
(-10, -5, 47), [2, 3, 3], 3.25.ap_es_abbs 
(-9, -6, 45), [3, 2, 1], 3.25.ap_eu_abbd 
(-10, -5, 51), [2, 3, 3], 3.25.ap_ew_abdg 
(-5, -10, 51), [3, 2, 3], 3.25.ap_ew_abdb 
(-7, -8, 45), [1, 0, 1], 3.25.ap_ew_abbn 
(-8, -7, 45), [0, 1, 1], 3.25.ap_ew_abbi 
(-10, -5, 52), [2, 3, 0], 3.25.ap_ex_abdq 
(-10, -5, 53), [2, 3, 1], 3.25.ap_ey_abea 
(-5, -10, 53), [3, 2, 1], 3.25.ap_ey_abdl 
(-5, -10, 57), [3, 2, 1], 3.25.ap_fc_abef 
(-5, -10, 61), [3, 2, 1], 3.25.ap_fg_abez 
(-7, -8, 55), [1, 0, 3], 3.25.ap_fg_abef 
(-5, -10, 63), [3, 2, 3], 3.25.ap_fi_abfj 
(-7, -8, 60), [1, 0, 0], 3.25.ap_fl_abfo 
(-5, -10, 67), [3, 2, 3], 3.25.ap_fm_abgd 
(-5, -10, 69), [3, 2, 1], 3.25.ap_fo_abgn 
(-6, -9, 65), [2, 3, 1], 3.25.ap_fo_abgi 
(-5, -10, 72), [3, 2, 0], 3.25.ap_fr_abhc 
(-5, -10, 73), [3, 2, 1], 3.25.ap_fs_abhh 
(-10, -4, -9), [2, 0, 3], 3.25.ao_ce_aeg 
(-10, -4, -8), [2, 0, 0], 3.25.ao_cf_aeq 
(-10, -4, -7), [2, 0, 1], 3.25.ao_cg_afa 
(-10, -4, -6), [2, 0, 2], 3.25.ao_ch_afk 
(-10, -4, -4), [2, 0, 0], 3.25.ao_cj_age 
(-10, -4, -3), [2, 0, 1], 3.25.ao_ck_ago 
(-10, -4, 1), [2, 0, 1], 3.25.ao_co_aic 
(-10, -4, 3), [2, 0, 3], 3.25.ao_cq_aiw 
(-10, -4, 4), [2, 0, 0], 3.25.ao_cr_ajg 
(-10, -4, 7), [2, 0, 3], 3.25.ao_cu_akk 
(-10, -4, 8), [2, 0, 0], 3.25.ao_cv_aku 
(-10, -4, 9), [2, 0, 1], 3.25.ao_cw_ale 
(-10, -4, 11), [2, 0, 3], 3.25.ao_cy_aly 
(-10, -4, 12), [2, 0, 0], 3.25.ao_cz_ami 
(-10, -4, 13), [2, 0, 1], 3.25.ao_da_ams 
(-10, -4, 16), [2, 0, 0], 3.25.ao_dd_anw 
(-10, -4, 19), [2, 0, 3], 3.25.ao_dg_apa 
(-10, -4, 21), [2, 0, 1], 3.25.ao_di_apu 
(-10, -4, 23), [2, 0, 3], 3.25.ao_dk_aqo 
(-10, -4, 24), [2, 0, 0], 3.25.ao_dl_aqy 
(-10, -4, 27), [2, 0, 3], 3.25.ao_do_asc 
(-10, -4, 28), [2, 0, 0], 3.25.ao_dp_asm 
(-10, -4, 31), [2, 0, 3], 3.25.ao_ds_atq 
(-10, -4, 32), [2, 0, 0], 3.25.ao_dt_aua 
(-10, -4, 33), [2, 0, 1], 3.25.ao_du_auk 
(-10, -4, 36), [2, 0, 0], 3.25.ao_dx_avo 
(-10, -4, 37), [2, 0, 1], 3.25.ao_dy_avy 
(-10, -4, 41), [2, 0, 1], 3.25.ao_ec_axm 
(-10, -4, 42), [2, 0, 2], 3.25.ao_ed_axw 
(-10, -4, 43), [2, 0, 3], 3.25.ao_ee_ayg 
(-8, -6, 35), [0, 2, 3], 3.25.ao_ee_awi 
(-5, -9, 41), [3, 3, 1], 3.25.ao_eh_azf 
(-10, -4, 47), [2, 0, 3], 3.25.ao_ei_azu 
(-10, -4, 48), [2, 0, 0], 3.25.ao_ej_abae 
(-5, -9, 43), [3, 3, 3], 3.25.ao_ej_azp 
(-10, -4, 49), [2, 0, 1], 3.25.ao_ek_abao 
(-10, -4, 51), [2, 0, 3], 3.25.ao_em_abbi 
(-5, -9, 46), [3, 3, 2], 3.25.ao_em_abae 
(-10, -4, 52), [2, 0, 0], 3.25.ao_en_abbs 
(-7, -7, 45), [1, 1, 1], 3.25.ao_ep_azp 
(-5, -9, 51), [3, 3, 3], 3.25.ao_er_abbd 
