(4, 0, 5), [0, 0, 1], 3.4.e_j_u 
(3, 1, 4), [3, 1, 0], 3.4.e_l_u 
(0, 4, 9), [0, 0, 1], 3.4.e_n_bg 
(2, 2, 7), [2, 2, 3], 3.4.e_p_be 
(4, 1, -3), [0, 1, 1], 3.4.f_f_ae 
(4, 1, -1), [0, 1, 3], 3.4.f_h_e 
(4, 1, 1), [0, 1, 1], 3.4.f_j_m 
(4, 1, 3), [0, 1, 3], 3.4.f_l_u 
(4, 1, 5), [0, 1, 1], 3.4.f_n_bc 
(2, 3, 5), [2, 3, 1], 3.4.f_p_bi 
(4, 1, 7), [0, 1, 3], 3.4.f_p_bk 
(2, 3, 7), [2, 3, 3], 3.4.f_r_bm 
(0, 5, 13), [0, 1, 1], 3.4.f_r_bo 
(2, 3, 9), [2, 3, 1], 3.4.f_t_bq 
(4, 2, 1), [0, 2, 1], 3.4.g_n_u 
(4, 2, 3), [0, 2, 3], 3.4.g_p_bc 
(3, 3, 6), [3, 3, 2], 3.4.g_t_bq 
(4, 2, 7), [0, 2, 3], 3.4.g_t_bs 
(2, 4, 9), [2, 0, 1], 3.4.g_v_by 
(4, 3, 5), [0, 3, 1], 3.4.h_v_bs 
(4, 3, 7), [0, 3, 3], 3.4.h_x_ca 
(4, 3, 9), [0, 3, 1], 3.4.h_z_ci 
(2, 5, 13), [2, 1, 1], 3.4.h_bb_co 
(4, 4, 9), [0, 0, 1], 3.4.i_bd_cq 
(4, 5, 13), [0, 1, 1], 3.4.j_bl_do 
