(-3, -3, 16), [13, 13, 0], 3.16.ag_bp_afo 
(0, -6, 27), [0, 10, 11], 3.16.ag_br_ahk 
(-4, -2, 19), [12, 14, 3], 3.16.ag_br_afk 
(1, -7, 36), [1, 9, 4], 3.16.ag_bt_ahg 
(-1, -5, 24), [15, 11, 8], 3.16.ag_bt_ahc 
(-3, -3, 20), [13, 13, 4], 3.16.ag_bt_aga 
(-5, -1, 24), [11, 15, 8], 3.16.ag_bt_afw 
(-1, -5, 28), [15, 11, 12], 3.16.ag_bx_ahg 
(1, -7, 40), [1, 9, 8], 3.16.ag_bx_ahc 
(-5, -1, 28), [11, 15, 12], 3.16.ag_bx_agq 
(-3, -3, 24), [13, 13, 8], 3.16.ag_bx_agm 
(-4, 0, -29), [12, 0, 3], 3.16.ae_an_em 
(-4, 0, -27), [12, 0, 5], 3.16.ae_al_ee 
(-4, 0, -25), [12, 0, 7], 3.16.ae_aj_dw 
(-7, 3, -4), [9, 3, 12], 3.16.ae_aj_eu 
(-5, 1, -20), [11, 1, 12], 3.16.ae_aj_fc 
(-4, 0, -23), [12, 0, 9], 3.16.ae_ah_do 
(-4, 0, -21), [12, 0, 11], 3.16.ae_af_dg 
(-7, 3, 0), [9, 3, 0], 3.16.ae_af_ds 
(-5, 1, -16), [11, 1, 0], 3.16.ae_af_ei 
(-4, 0, -19), [12, 0, 13], 3.16.ae_ad_cy 
(-3, -1, -20), [13, 15, 12], 3.16.ae_ab_bc 
(-5, 1, -12), [11, 1, 4], 3.16.ae_ab_do 
(-8, 4, 17), [8, 4, 1], 3.16.ae_b_ai 
(-4, 0, -15), [12, 0, 1], 3.16.ae_b_ci 
(-3, -1, -16), [13, 15, 0], 3.16.ae_d_q 
(-4, 0, -13), [12, 0, 3], 3.16.ae_d_ca 
(-5, 1, -8), [11, 1, 8], 3.16.ae_d_cu 
(-4, 0, -11), [12, 0, 5], 3.16.ae_f_bs 
(-3, -1, -12), [13, 15, 4], 3.16.ae_h_e 
(-7, 3, 12), [9, 3, 12], 3.16.ae_h_m 
(-4, 0, -9), [12, 0, 7], 3.16.ae_h_bk 
(-5, 1, -4), [11, 1, 12], 3.16.ae_h_ca 
(-7, 3, 16), [9, 3, 0], 3.16.ae_l_aq 
(-3, -1, -8), [13, 15, 8], 3.16.ae_l_ai 
(-4, 0, -5), [12, 0, 11], 3.16.ae_l_u 
(-4, 0, -3), [12, 0, 13], 3.16.ae_n_m 
(-1, -3, -4), [15, 13, 12], 3.16.ae_p_ado 
(5, -9, 44), [5, 7, 12], 3.16.ae_p_acq 
(-7, 3, 20), [9, 3, 4], 3.16.ae_p_abs 
(-3, -1, -4), [13, 15, 12], 3.16.ae_p_au 
(-4, 0, -1), [12, 0, 15], 3.16.ae_p_e 
(0, -4, 1), [0, 12, 1], 3.16.ae_r_aey 
(4, -8, 33), [4, 8, 1], 3.16.ae_r_aeu 
(-4, 0, 1), [12, 0, 1], 3.16.ae_r_ae 
(0, -4, 3), [0, 12, 3], 3.16.ae_t_aey 
(4, -8, 35), [4, 8, 3], 3.16.ae_t_aem 
(-1, -3, 0), [15, 13, 0], 3.16.ae_t_ads 
(-7, 3, 24), [9, 3, 8], 3.16.ae_t_acu 
(5, -9, 48), [5, 7, 0], 3.16.ae_t_abw 
(-3, -1, 0), [13, 15, 0], 3.16.ae_t_abg 
(-4, 0, 3), [12, 0, 3], 3.16.ae_t_am 
(-5, 1, 8), [11, 1, 8], 3.16.ae_t_ai 
(0, -4, 5), [0, 12, 5], 3.16.ae_v_aey 
(4, -8, 37), [4, 8, 5], 3.16.ae_v_aee 
(-4, 0, 5), [12, 0, 5], 3.16.ae_v_au 
(1, -5, 12), [1, 11, 12], 3.16.ae_x_afs 
(3, -7, 28), [3, 9, 12], 3.16.ae_x_afk 
(0, -4, 7), [0, 12, 7], 3.16.ae_x_aey 
(-3, -1, 4), [13, 15, 4], 3.16.ae_x_abs 
(0, -4, 9), [0, 12, 9], 3.16.ae_z_aey 
(4, -8, 41), [4, 8, 9], 3.16.ae_z_ado 
(-4, 0, 9), [12, 0, 9], 3.16.ae_z_abk 
(1, -5, 16), [1, 11, 0], 3.16.ae_bb_afo 
(4, -8, 43), [4, 8, 11], 3.16.ae_bb_adg 
(-3, -1, 8), [13, 15, 8], 3.16.ae_bb_ace 
(-5, 1, 16), [11, 1, 0], 3.16.ae_bb_abw 
(-4, 0, 11), [12, 0, 11], 3.16.ae_bb_abs 
(0, -4, 13), [0, 12, 13], 3.16.ae_bd_aey 
(4, -8, 45), [4, 8, 13], 3.16.ae_bd_acy 
(1, -5, 20), [1, 11, 4], 3.16.ae_bf_afk 
(0, -4, 15), [0, 12, 15], 3.16.ae_bf_aey 
(3, -7, 36), [3, 9, 4], 3.16.ae_bf_aem 
(-1, -3, 12), [15, 13, 12], 3.16.ae_bf_aee 
(0, -4, 17), [0, 12, 1], 3.16.ae_bh_aey 
(0, -4, 19), [0, 12, 3], 3.16.ae_bj_aey 
(-1, -3, 16), [15, 13, 0], 3.16.ae_bj_aei 
(3, -7, 40), [3, 9, 8], 3.16.ae_bj_aea 
(-5, 1, 24), [11, 1, 8], 3.16.ae_bj_adk 
(-3, -1, 16), [13, 15, 0], 3.16.ae_bj_adc 
(0, -4, 21), [0, 12, 5], 3.16.ae_bl_aey 
(-4, 0, 21), [12, 0, 5], 3.16.ae_bl_adg 
(0, -4, 23), [0, 12, 7], 3.16.ae_bn_aey 
(-1, -3, 20), [15, 13, 4], 3.16.ae_bn_aem 
(-5, 1, 28), [11, 1, 12], 3.16.ae_bn_aee 
