(-6, -1, 3), [11, 16, 3], 3.17.ae_bk_aeo 
(-6, 1, 1), [11, 1, 1], 3.17.ae_bo_afm 
(-5, -2, 3), [12, 15, 3], 3.17.ae_bo_aec 
(-4, -3, 3), [13, 14, 3], 3.17.ae_bq_adw 
(-5, -1, 2), [12, 16, 2], 3.17.ae_bs_aew 
(-4, -2, 2), [13, 15, 2], 3.17.ae_bv_aeq 
(-3, -3, 2), [14, 14, 2], 3.17.ae_bw_aeo 
(-4, -1, 1), [13, 16, 1], 3.17.ae_by_afc 
(-3, -2, 1), [14, 15, 1], 3.17.ae_ca_afa 
(-8, -3, 8), [9, 14, 8], 3.17.ad_an_dm 
(-7, -4, 8), [10, 13, 8], 3.17.ad_aj_es 
(-6, -5, 8), [11, 12, 8], 3.17.ad_ah_fi 
(-8, -2, 7), [9, 15, 7], 3.17.ad_ad_k 
(-8, -1, 6), [9, 16, 6], 3.17.ad_f_acc 
(-6, -4, 7), [11, 13, 7], 3.17.ad_f_co 
(-7, -2, 6), [10, 15, 6], 3.17.ad_l_as 
(-8, 1, 4), [9, 1, 4], 3.17.ad_p_afe 
(-6, -3, 6), [11, 14, 6], 3.17.ad_p_g 
(-8, 2, 3), [9, 2, 3], 3.17.ad_r_afu 
(-5, -4, 6), [12, 13, 6], 3.17.ad_r_s 
(-6, -2, 5), [11, 15, 5], 3.17.ad_x_abq 
(-7, 2, 2), [10, 2, 2], 3.17.ad_bb_afa 
(-4, -4, 5), [13, 13, 5], 3.17.ad_bb_aw 
(-6, -1, 4), [11, 16, 4], 3.17.ad_bd_ada 
(-5, -2, 4), [12, 15, 4], 3.17.ad_bh_ack 
(-6, 1, 2), [11, 1, 2], 3.17.ad_bj_aek 
(-4, -3, 4), [13, 14, 4], 3.17.ad_bj_acc 
(-4, -2, 3), [13, 15, 3], 3.17.ad_bp_ada 
(-4, -1, 2), [13, 16, 2], 3.17.ad_bt_adq 
(-3, -2, 2), [14, 15, 2], 3.17.ad_bv_adm 
(-8, -2, 8), [9, 15, 8], 3.17.ac_an_ci 
(-7, -3, 8), [10, 14, 8], 3.17.ac_ai_dw 
(-6, -4, 8), [11, 13, 8], 3.17.ac_af_eu 
(-8, -1, 7), [9, 16, 7], 3.17.ac_ae_am 
(-5, -5, 8), [12, 12, 8], 3.17.ac_ae_fc 
(-7, -2, 7), [10, 15, 7], 3.17.ac_c_be 
(-6, -3, 7), [11, 14, 7], 3.17.ac_g_cg 
(-8, 1, 5), [9, 1, 5], 3.17.ac_i_aee 
(-5, -4, 7), [12, 13, 7], 3.17.ac_i_cu 
(-7, -1, 6), [10, 16, 6], 3.17.ac_k_aba 
(-8, 2, 4), [9, 2, 4], 3.17.ac_l_afc 
(-8, 3, 3), [9, 3, 3], 3.17.ac_m_afk 
(-6, -2, 6), [11, 15, 6], 3.17.ac_p_e 
(-5, -3, 6), [12, 14, 6], 3.17.ac_s_w 
(-4, -4, 6), [13, 13, 6], 3.17.ac_t_bc 
(-7, 1, 4), [10, 1, 4], 3.17.ac_u_ads 
(-7, 2, 3), [10, 2, 3], 3.17.ac_w_aeg 
(-6, -1, 5), [11, 16, 5], 3.17.ac_w_abm 
(-5, -2, 5), [12, 15, 5], 3.17.ac_ba_as 
(-4, -3, 5), [13, 14, 5], 3.17.ac_bc_ai 
(-6, 1, 3), [11, 1, 3], 3.17.ac_be_adi 
