(-4, 2, 6), [9, 2, 6], 3.13.e_t_ce 
(-2, -1, 7), [11, 12, 7], 3.13.e_u_eo 
(-4, 3, 5), [9, 3, 5], 3.13.e_w_bs 
(-4, 4, 4), [9, 4, 4], 3.13.e_x_bo 
(-3, 1, 6), [10, 1, 6], 3.13.e_y_di 
(-3, 2, 5), [10, 2, 5], 3.13.e_bc_cw 
(-1, -1, 6), [12, 12, 6], 3.13.e_bc_eg 
(-3, 3, 4), [10, 3, 4], 3.13.e_be_cq 
(-2, 1, 5), [11, 1, 5], 3.13.e_bg_dq 
(-2, 2, 4), [11, 2, 4], 3.13.e_bj_dk 
(-2, 3, 3), [11, 3, 3], 3.13.e_bk_di 
(-1, 1, 4), [12, 1, 4], 3.13.e_bm_dw 
(-1, 2, 3), [12, 2, 3], 3.13.e_bo_du 
(-7, 6, 6), [6, 6, 6], 3.13.f_aj_aes 
(-6, 4, 7), [7, 4, 7], 3.13.f_b_abm 
(-6, 5, 6), [7, 5, 6], 3.13.f_d_aby 
(-5, 4, 6), [8, 4, 6], 3.13.f_n_k 
(-4, 2, 7), [9, 2, 7], 3.13.f_r_cw 
(-4, 3, 6), [9, 3, 6], 3.13.f_v_cg 
(-4, 4, 5), [9, 4, 5], 3.13.f_x_by 
(-3, 2, 6), [10, 2, 6], 3.13.f_bb_dq 
(-3, 4, 4), [10, 4, 4], 3.13.f_bf_de 
(-2, 1, 6), [11, 1, 6], 3.13.f_bf_eo 
(-2, 2, 5), [11, 2, 5], 3.13.f_bj_eg 
(-2, 3, 4), [11, 3, 4], 3.13.f_bl_ec 
(-1, 2, 4), [12, 2, 4], 3.13.f_bp_es 
(-7, 6, 7), [6, 6, 7], 3.13.g_ak_afi 
(-6, 5, 7), [7, 5, 7], 3.13.g_c_acc 
(-6, 6, 6), [7, 6, 6], 3.13.g_d_aci 
(-5, 4, 7), [8, 4, 7], 3.13.g_m_q 
(-5, 5, 6), [8, 5, 6], 3.13.g_o_g 
(-4, 3, 7), [9, 3, 7], 3.13.g_u_cu 
(-4, 4, 6), [9, 4, 6], 3.13.g_x_ci 
(-4, 5, 5), [9, 5, 5], 3.13.g_y_ce 
(-3, 2, 7), [10, 2, 7], 3.13.g_ba_ek 
(-3, 3, 6), [10, 3, 6], 3.13.g_be_dy 
(-2, 1, 7), [11, 1, 7], 3.13.g_be_fm 
(-3, 4, 5), [10, 4, 5], 3.13.g_bg_ds 
(-2, 2, 6), [11, 2, 6], 3.13.g_bj_fc 
(-2, 3, 5), [11, 3, 5], 3.13.g_bm_ew 
(-1, 1, 6), [12, 1, 6], 3.13.g_bm_fu 
(-2, 4, 4), [11, 4, 4], 3.13.g_bn_eu 
(-1, 2, 5), [12, 2, 5], 3.13.g_bq_fq 
(-1, 3, 4), [12, 3, 4], 3.13.g_bs_fo 
(1, 1, 4), [1, 1, 4], 3.13.g_bw_ge 
(2, 2, 2), [2, 2, 2], 3.13.g_bz_gi 
(-6, 6, 7), [7, 6, 7], 3.13.h_d_acs 
(-5, 6, 6), [8, 6, 6], 3.13.h_p_c 
(-4, 4, 7), [9, 4, 7], 3.13.h_x_cs 
(-4, 5, 6), [9, 5, 6], 3.13.h_z_ck 
(-3, 4, 6), [10, 4, 6], 3.13.h_bh_eg 
(-2, 2, 7), [11, 2, 7], 3.13.h_bj_fy 
(-2, 3, 6), [11, 3, 6], 3.13.h_bn_fq 
(-2, 4, 5), [11, 4, 5], 3.13.h_bp_fm 
(-1, 2, 6), [12, 2, 6], 3.13.h_br_go 
(-1, 4, 4), [12, 4, 4], 3.13.h_bv_gk 
(-6, 7, 7), [7, 7, 7], 3.13.i_e_adi 
(-5, 6, 7), [8, 6, 7], 3.13.i_q_ac 
(-4, 5, 7), [9, 5, 7], 3.13.i_ba_cq 
(-4, 6, 6), [9, 6, 6], 3.13.i_bb_cm 
(-3, 4, 7), [10, 4, 7], 3.13.i_bi_eu 
(-3, 5, 6), [10, 5, 6], 3.13.i_bk_eo 
(-2, 3, 7), [11, 3, 7], 3.13.i_bo_gk 
(-2, 4, 6), [11, 4, 6], 3.13.i_br_ge 
(-2, 5, 5), [11, 5, 5], 3.13.i_bs_gc 
(-1, 2, 7), [12, 2, 7], 3.13.i_bs_hm 
(-1, 3, 6), [12, 3, 6], 3.13.i_bw_hi 
(-1, 4, 5), [12, 4, 5], 3.13.i_by_hg 
(1, 1, 6), [1, 1, 6], 3.13.i_ca_ig 
(1, 2, 5), [1, 2, 5], 3.13.i_ce_ik 
(1, 3, 4), [1, 3, 4], 3.13.i_cg_im 
(-4, 6, 7), [9, 6, 7], 3.13.j_bd_co 
(-3, 6, 6), [10, 6, 6], 3.13.j_bn_ew 
(-2, 4, 7), [11, 4, 7], 3.13.j_bt_gw 
(-2, 5, 6), [11, 5, 6], 3.13.j_bv_gs 
(-1, 4, 6), [12, 4, 6], 3.13.j_cb_ic 
(1, 2, 6), [1, 2, 6], 3.13.j_ch_jm 
(-4, 7, 7), [9, 7, 7], 3.13.k_bg_cm 
(-3, 6, 7), [10, 6, 7], 3.13.k_bq_fe 
(-2, 5, 7), [11, 5, 7], 3.13.k_by_hi 
(-2, 6, 6), [11, 6, 6], 3.13.k_bz_hg 
(-1, 4, 7), [12, 4, 7], 3.13.k_ce_iy 
